window,family,index_name,field_name,kind,expected_meaning,expected_type,expected_note,n_samples,n_high_samples,n_low_samples,high_threshold,low_threshold,expected_contrast,expected_contrast_z,expected_sign_pass,composite_effect_size,field_r2_weighted,eof_alignment_max_abs_corr,eof_alignment_best_pc,eof_cumulative_variance_topk,eof_status,bootstrap_pattern_corr_median,bootstrap_pattern_positive_rate,bootstrap_valid_reps,composite_score_0_1,field_r2_score_0_1,eof_alignment_score_0_1,bootstrap_score_0_1,overall_score,representativeness_tier,risk_flag
T3,P,P_main_band_share,precip,band_share,Main rain-band share: Main(24-35N)/Total(10-40N),main_gt_other,expected main-band positive relative to south-band,495,124,124,0.436838192036691,0.21437301062520825,14.334579733768098,2.142155517689534,True,1.0339354276392863,0.1068676318368186,0.8073495403639289,1,0.4496520183805486,ok,0.9768929835617074,1.0,200,1.0,0.8905635986401551,1.0,1.0,0.978112719728031,strong,low
T3,P,P_south_band_share_18_24,precip,band_share,South rain-band share: South(18-24N)/Total(10-40N),south_gt_main,expected south-band positive relative to main-band,495,124,124,0.30752873466129993,0.12219087727057565,15.528081295014067,2.344974300506176,True,1.023149643806766,0.08670108727047043,0.7937156950430916,1,0.4496520183805486,ok,0.9757852515194136,1.0,200,1.0,0.7225090605872536,1.0,1.0,0.9445018121174507,strong,low
T3,P,P_main_minus_south,precip,band_difference,Main-band minus south-band share,main_gt_south,expected main-band positive relative to south-band,495,124,124,0.294014082177791,-0.09380802894802025,16.63413376793505,2.336284192593086,True,1.1001045677544117,0.10647790069182252,0.888570638605066,1,0.4496520183805486,ok,0.980098916878711,1.0,200,1.0,0.887315839098521,1.0,1.0,0.9774631678197041,strong,low
T3,P,P_spread_lat,precip,spread,Latitudinal spread of precipitation over 10-40N,spread_like,spread-like index; use absolute edge-vs-center contrast,495,124,124,9.022245913232297,7.560245938916534,1.0150837324398752,0.22005427082803836,True,0.7127406272196731,0.0536608165945662,0.543338170128637,3,0.4496520183805486,ok,0.9517625653511631,1.0,200,0.7,0.44717347162138504,0.9878875820520673,1.0,0.7814065898372937,strong,low
T3,P,P_north_band_share_35_45,precip,band_share,North rain-band share: North(35-45N)/Total(10-50N),north_gt_main,expected north-band positive relative to main-band,495,124,124,0.22059180875763745,0.12361749223418955,6.010398961033503,1.4102212281063708,True,0.658529904839631,0.05210473109990365,0.4824369157559644,4,0.4496520183805486,ok,0.9468539750035756,1.0,200,1.0,0.4342060924991971,0.8771580286472079,1.0,0.8561307256616415,strong,low
T3,P,P_north_minus_main_35_45,precip,band_difference,North-band share minus main-band share,north_gt_main,expected north-band positive relative to main-band,495,124,124,0.01424532492852695,-0.2212444079912185,8.966271047534736,1.677821804212282,True,0.8257060716867322,0.07643398825434448,0.5762412527966096,4,0.4496520183805486,ok,0.9608977497363334,1.0,200,1.0,0.6369499021195374,1.0,1.0,0.9273899804239074,strong,low
T3,P,P_total_centroid_lat_10_50,precip,position,Precipitation centroid latitude over 10-50N,north_gt_south,expected northern part positive relative to southern part,495,124,124,28.127020036387115,24.422097856026593,11.068440173731275,1.721449682084601,True,0.9934626359553319,0.09065962492004222,0.7670718891233285,1,0.4496520183805486,ok,0.9772349442018149,1.0,200,1.0,0.7554968743336852,1.0,1.0,0.9510993748667371,strong,low
T3,V,V_strength,v850,strength,Mean V over 10-30N,domain_mean_positive,expected domain-mean high-low composite to be positive,495,124,124,3.913036772254732,2.2791404255646133,2.910431602128106,1.5502173299160034,True,0.7197509067503227,0.22510716460423078,0.7958913304084595,1,0.788679639319099,ok,0.9713455231480748,1.0,200,1.0,1.0,1.0,1.0,1.0,strong,low
T3,V,V_pos_centroid_lat,v850,position,Positive-v850 centroid latitude over 10-30N,north_gt_south,expected northern part positive relative to southern part,495,124,124,23.02545121771295,21.047114784739392,,,False,1.0285432779341748,0.16134895714087963,0.5758838873814501,1,0.788679639319099,ok,0.9863883658817875,1.0,200,0.7,1.0,1.0,1.0,0.895,strong,low
T3,V,V_NS_diff,v850,lat_difference,North minus south V: sum 15-30N minus sum 10-15N,north_gt_south_v,expected northern part positive relative to southern part,495,124,124,240.06395873459664,116.4361093943352,,,False,0.9491726182183663,0.23085654362706778,0.948703159271449,1,0.788679639319099,ok,0.9823098824410197,1.0,200,0.7,1.0,1.0,1.0,0.895,strong,low
T3,H,H_strength,z500,strength,H/z500 core strength,domain_mean_positive,expected domain-mean high-low composite to be positive,495,124,124,5908.177202665049,5883.707206264666,29.02818292361008,1.8643960389686496,True,0.6701661445702599,0.26600328895571657,0.6666721559577216,2,0.8996089823116609,ok,0.9610851928799539,1.0,200,1.0,1.0,1.0,1.0,1.0,strong,low
T3,H,H_centroid_lat,z500,position,Latitude centroid of H core,north_gt_south,expected northern part positive relative to southern part,495,124,124,31.417620467157814,25.626260542993172,80.90830392241719,2.4459954758758258,True,1.4237648030912313,0.12945648738055174,0.7008293851003425,1,0.8996089823116609,ok,0.9955041959080781,1.0,200,1.0,1.0,1.0,1.0,1.0,strong,low
T3,H,H_west_extent_lon,z500,extent,Western extent longitude of H core; direction is definition-sensitive,generic_pattern,"generic/boundary-sensitive index; use composite amplitude, not sign",495,129,126,131.75,121.75,14.99294496755518,1.0,True,0.6453387621197573,0.03588061862470846,0.6160592752904228,3,0.8996089823116609,ok,0.9682884004473737,1.0,200,1.0,0.29900515520590387,1.0,1.0,0.8598010310411808,strong,low
T3,H,H_zonal_width,z500,width,Zonal width of H core; boundary-sensitive,generic_pattern,"generic/boundary-sensitive index; use composite amplitude, not sign",495,133,129,9.5,6.75,11.428366421746396,1.0,True,0.4919092183437427,0.019694892861608394,0.25994441703314586,3,0.8996089823116609,ok,0.9681174256218166,1.0,200,1.0,0.16412410718006995,0.47262621278753786,1.0,0.7009813746328986,moderate,low
T3,Je,Je_strength,u200,strength,Downstream jet strength,domain_mean_positive,expected domain-mean high-low composite to be positive,495,124,124,31.48268203180608,21.206050620150727,3.4678831476925898,0.3512517038949776,True,1.0735621781485698,0.1761552740434893,0.5640602261621568,1,0.8451895932056229,ok,0.9835252066839094,1.0,200,0.7,1.0,1.0,1.0,0.895,strong,low
