window,index_name,reason,figure_path,cartopy_used
S1,P_total_centroid_lat_10_50,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S1__P_total_centroid_lat_10_50__composite_map.png,True
S1,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S1__V_strength__composite_map.png,True
S2,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S2__H_strength__composite_map.png,True
S2,Je_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S2__Je_axis_lat__composite_map.png,True
S2,Jw_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S2__Jw_axis_lat__composite_map.png,True
S2,P_total_centroid_lat_10_50,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S2__P_total_centroid_lat_10_50__composite_map.png,True
S2,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S2__V_strength__composite_map.png,True
S3,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S3__H_strength__composite_map.png,True
S3,Je_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S3__Je_strength__composite_map.png,True
S3,Jw_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S3__Jw_strength__composite_map.png,True
S3,P_main_band_share,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S3__P_main_band_share__composite_map.png,True
S3,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S3__V_strength__composite_map.png,True
S4,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S4__H_strength__composite_map.png,True
S4,Je_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S4__Je_strength__composite_map.png,True
S4,Jw_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S4__Jw_strength__composite_map.png,True
S4,P_main_band_share,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S4__P_main_band_share__composite_map.png,True
S4,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S4__V_strength__composite_map.png,True
S5,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S5__H_strength__composite_map.png,True
S5,Je_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S5__Je_strength__composite_map.png,True
