window,index_name,reason,priority
T3,H_centroid_lat,T3_all_indices,0
T3,H_strength,T3_all_indices,0
T3,H_west_extent_lon,T3_all_indices,0
T3,H_zonal_width,T3_all_indices,0
T3,Je_axis_lat,T3_all_indices,0
T3,Je_meridional_width,T3_all_indices,0
T3,Je_strength,T3_all_indices,0
T3,Jw_axis_lat,T3_all_indices,0
T3,Jw_meridional_width,T3_all_indices,0
T3,Jw_strength,T3_all_indices,0
T3,P_main_band_share,T3_all_indices,0
T3,P_main_minus_south,T3_all_indices,0
T3,P_north_band_share_35_45,T3_all_indices,0
T3,P_north_minus_main_35_45,T3_all_indices,0
T3,P_south_band_share_18_24,T3_all_indices,0
T3,P_spread_lat,T3_all_indices,0
T3,P_total_centroid_lat_10_50,T3_all_indices,0
T3,V_NS_diff,T3_all_indices,0
T3,V_pos_centroid_lat,T3_all_indices,0
T3,V_strength,T3_all_indices,0
S1,H_strength,window_family_best_index,1
S1,Je_axis_lat,window_family_best_index,1
S1,Jw_strength,window_family_best_index,1
S1,P_total_centroid_lat_10_50,window_family_best_index,1
S1,V_strength,window_family_best_index,1
S2,H_strength,window_family_best_index,1
S2,Je_axis_lat,window_family_best_index,1
S2,Jw_axis_lat,window_family_best_index,1
S2,P_total_centroid_lat_10_50,window_family_best_index,1
S2,V_strength,window_family_best_index,1
S3,H_strength,window_family_best_index,1
S3,Je_strength,window_family_best_index,1
S3,Jw_strength,window_family_best_index,1
S3,P_main_band_share,window_family_best_index,1
S3,V_strength,window_family_best_index,1
S4,H_strength,window_family_best_index,1
S4,Je_strength,window_family_best_index,1
S4,Jw_strength,window_family_best_index,1
S4,P_main_band_share,window_family_best_index,1
S4,V_strength,window_family_best_index,1
S5,H_strength,window_family_best_index,1
S5,Je_strength,window_family_best_index,1
S5,Jw_axis_lat,window_family_best_index,1
S5,P_total_centroid_lat_10_50,window_family_best_index,1
S5,V_strength,window_family_best_index,1
T1,H_strength,window_family_best_index,1
T1,Je_axis_lat,window_family_best_index,1
T1,Jw_axis_lat,window_family_best_index,1
T1,P_main_band_share,window_family_best_index,1
T1,V_strength,window_family_best_index,1
T2,H_strength,window_family_best_index,1
T2,Je_strength,window_family_best_index,1
T2,Jw_axis_lat,window_family_best_index,1
T2,P_main_band_share,window_family_best_index,1
T2,V_strength,window_family_best_index,1
T4,H_strength,window_family_best_index,1
T4,Je_strength,window_family_best_index,1
T4,Jw_strength,window_family_best_index,1
T4,P_main_band_share,window_family_best_index,1
T4,V_strength,window_family_best_index,1
