window_id,baseline_config,plot_type,branch,file_name,source_csv
W045,C0_full_stage,state_curves,dist,H_Jw_state_curves__C0_full_stage__dist.png,object_state_curves_W045.csv
W045,C0_full_stage,delta_curve,dist,H_minus_Jw_delta__C0_full_stage__dist.png,pairwise_delta_state_curves_W045.csv
W045,C0_full_stage,state_curves,pattern,H_Jw_state_curves__C0_full_stage__pattern.png,object_state_curves_W045.csv
W045,C0_full_stage,delta_curve,pattern,H_minus_Jw_delta__C0_full_stage__pattern.png,pairwise_delta_state_curves_W045.csv
W045,C1_buffered_stage,state_curves,dist,H_Jw_state_curves__C1_buffered_stage__dist.png,object_state_curves_W045.csv
W045,C1_buffered_stage,delta_curve,dist,H_minus_Jw_delta__C1_buffered_stage__dist.png,pairwise_delta_state_curves_W045.csv
W045,C1_buffered_stage,state_curves,pattern,H_Jw_state_curves__C1_buffered_stage__pattern.png,object_state_curves_W045.csv
W045,C1_buffered_stage,delta_curve,pattern,H_minus_Jw_delta__C1_buffered_stage__pattern.png,pairwise_delta_state_curves_W045.csv
W045,C2_immediate_pre,state_curves,dist,H_Jw_state_curves__C2_immediate_pre__dist.png,object_state_curves_W045.csv
W045,C2_immediate_pre,delta_curve,dist,H_minus_Jw_delta__C2_immediate_pre__dist.png,pairwise_delta_state_curves_W045.csv
W045,C2_immediate_pre,state_curves,pattern,H_Jw_state_curves__C2_immediate_pre__pattern.png,object_state_curves_W045.csv
W045,C2_immediate_pre,delta_curve,pattern,H_minus_Jw_delta__C2_immediate_pre__pattern.png,pairwise_delta_state_curves_W045.csv
