window,source_variable,n_pairs,n_stable_lag_dominant,n_tau0_coupled,n_audit_sensitive,n_failed_or_not_candidate,mean_T_pos,mean_T_0,mean_T_neg,mean_D_pos_0,mean_D_pos_neg,mean_margin_pos
S1,V_NS_diff,7,5,0,0,2,0.5754352615239698,0.5001482434801299,0.397882956523945,0.05943847330767556,0.1710806176669766,0.4171003280654911
S1,V_pos_centroid_lat,7,4,2,0,1,0.364783603767584,0.2563611161753168,0.18368427135718784,0.09099454367179316,0.17550577866020395,0.22074405753448836
S1,V_strength,7,3,2,0,2,0.5074487089178958,0.4602340336508382,0.3652969766282303,0.030477935028210456,0.1372806510104079,0.3435940485210818
T1,V_NS_diff,7,0,5,0,2,0.5776097772416154,0.5655254063235452,0.48436332580611857,-0.005824009159852628,0.09818712576923523,0.3233386910773238
T1,V_pos_centroid_lat,7,0,4,0,3,0.4772328501952266,0.4588974767894882,0.39766122967226913,-0.005172893249331214,0.08115385320445566,0.2390675735963039
T1,V_strength,7,0,5,0,2,0.47469918823773366,0.4527826678852165,0.3721631884484535,0.002604350236568172,0.09948511134666815,0.22291800661288708
S2,V_NS_diff,7,4,1,0,2,0.542081826973728,0.5119436633382088,0.4289132204481575,0.01773723307600617,0.1117893287263066,0.348807632946361
S2,V_pos_centroid_lat,7,1,5,0,1,0.5327538168902501,0.5119933763772009,0.4369545975828753,0.007044322009774742,0.09327864391234893,0.36148177557839023
S2,V_strength,7,4,1,0,2,0.4255192545837473,0.39449642962038683,0.31924529159531295,0.01947362268208757,0.10854543359888945,0.2352001600637015
T2,V_NS_diff,7,5,1,0,1,0.539106246421447,0.45490672641310326,0.34776585685317507,0.07041495996588742,0.19344294822245717,0.29091964682871335
T2,V_pos_centroid_lat,7,3,1,0,3,0.47558249529869523,0.43846937073748765,0.352943505433206,0.017466526887716476,0.12355495847132349,0.2331266349676059
T2,V_strength,7,5,0,0,2,0.46702626479722165,0.34849380758608944,0.2414478104606632,0.10096873796008739,0.22324270897051537,0.21775211285978704
S3,V_NS_diff,7,3,2,0,2,0.37145061535055424,0.3251217217002527,0.274349150946358,0.03420277043923593,0.09699813835753002,0.15076699038716415
S3,V_pos_centroid_lat,7,0,1,0,6,0.32575054673564047,0.3497287186433815,0.3474572717209509,-0.03791443573150543,-0.02079488675478956,0.1141932409295017
S3,V_strength,7,5,1,0,1,0.3312454600376868,0.218816524430799,0.15776388542332967,0.10174824134314121,0.17820244130070928,0.1162831214594801
T3,V_NS_diff,7,2,1,0,4,0.2951965455400355,0.22892303257721627,0.16935828213734908,0.05166533713019801,0.12370804477051213,0.03971938712064117
T3,V_pos_centroid_lat,7,0,1,0,6,0.3277328906909081,0.3312833541704559,0.3152074775014307,-0.02789063351618239,0.0061386723232677255,0.07572576228046908
T3,V_strength,7,0,0,0,7,0.19164635465660948,0.06986585214764547,0.09594366866268544,0.10169229298919914,0.09292704549397601,-0.062060573990680754
S4,V_NS_diff,7,3,2,0,2,0.2315620053400094,0.18123097767231197,0.14814028367103543,0.041999753432442236,0.08406984141528996,0.053574463059277044
S4,V_pos_centroid_lat,7,2,1,0,4,0.26533310891832734,0.26133886243998383,0.23203199329929194,-0.0070273388698995284,0.03357213588263951,0.10010105688468529
S4,V_strength,7,1,0,0,6,0.15750303633732957,0.09077181973230343,0.0912382922257067,0.05746636598150036,0.06579961639652895,-0.018364282585484695
T4,V_NS_diff,7,1,3,0,3,0.4223272486978842,0.3719585581117227,0.3137365108363514,0.033748948195814914,0.11040632944445017,0.16774644690849763
T4,V_pos_centroid_lat,7,0,1,0,6,0.39197465157139716,0.39399248383267793,0.361735784233051,-0.024148043025948942,0.026806158737515382,0.14116653514728186
T4,V_strength,7,2,2,0,3,0.3532864360237295,0.22787957968700032,0.20678421863805885,0.10459904275857083,0.14348346931463274,0.09347634723771707
S5,V_NS_diff,7,4,1,0,2,0.332878378403696,0.27887374872057336,0.22579743561815094,0.0412364073379139,0.12358099516553614,0.10796767728473085
S5,V_pos_centroid_lat,7,0,4,0,3,0.3827327474894163,0.3616454991360339,0.3102722951465355,0.0036358205187449998,0.08764321422348718,0.16731540215847632
S5,V_strength,7,2,0,2,3,0.2598136087242477,0.14723328025615395,0.1266201509529571,0.09775652316183857,0.14554603014883422,0.036169055596415575
