source_variable,target_variable,max_positive_lag,max_positive_signed_r,max_positive_abs_r,lag0_signed_r,lag0_abs_r,max_negative_lag,max_negative_signed_r,max_negative_abs_r,profile_type
V_NS_diff,P_main_band_share,1,0.1932221553022965,0.1932221553022965,0.1806793992533153,0.1806793992533153,-1,0.1352380262308652,0.1352380262308652,weak_all_lags
V_NS_diff,P_main_minus_south,2,0.2853047857026468,0.2853047857026468,0.2321049119422994,0.2321049119422994,-1,0.1508779875147615,0.1508779875147615,positive_peak_clear
V_NS_diff,P_north_band_share_35_45,1,0.3295067583839107,0.3295067583839107,0.3057504054268388,0.3057504054268388,-1,0.254611846543134,0.254611846543134,flat_lag0_positive_close
V_NS_diff,P_north_minus_main_35_45,5,0.1393400147514207,0.1393400147514207,0.0162997818127092,0.0162997818127092,-3,0.0360627793306417,0.0360627793306417,weak_all_lags
V_NS_diff,P_south_band_share_18_24,2,-0.3785882666271917,0.3785882666271917,-0.2481401235953344,0.2481401235953344,-1,-0.1373312852236651,0.1373312852236651,positive_peak_clear
V_NS_diff,P_spread_lat,2,0.4003044190028558,0.4003044190028558,0.3003349455034189,0.3003349455034189,-1,0.2115366022019709,0.2115366022019709,positive_peak_clear
V_NS_diff,P_total_centroid_lat_10_50,1,0.3401094190099263,0.3401094190099263,0.3191516605065977,0.3191516605065977,-1,0.2598494479164051,0.2598494479164051,flat_lag0_positive_close
V_pos_centroid_lat,P_main_band_share,5,-0.2079188397481362,0.2079188397481362,0.1137348478163833,0.1137348478163833,-2,0.1544459413165844,0.1544459413165844,positive_peak_clear
V_pos_centroid_lat,P_main_minus_south,1,0.2246409772744709,0.2246409772744709,0.2732298149168155,0.2732298149168155,-1,0.2660904868795506,0.2660904868795506,lag0_peak
V_pos_centroid_lat,P_north_band_share_35_45,1,0.3922719002457649,0.3922719002457649,0.4394908526800413,0.4394908526800413,-1,0.4372652930538175,0.4372652930538175,lag0_peak
V_pos_centroid_lat,P_north_minus_main_35_45,3,0.2161217164397434,0.2161217164397434,0.1442989437760827,0.1442989437760827,-1,0.1152111250472155,0.1152111250472155,positive_peak_clear
V_pos_centroid_lat,P_south_band_share_18_24,1,-0.4164502734188247,0.4164502734188247,-0.4254510364761468,0.4254510364761468,-1,-0.3620410335555723,0.3620410335555723,flat_lag0_positive_close
V_pos_centroid_lat,P_spread_lat,1,0.5697633549128992,0.5697633549128992,0.5618676570977882,0.5618676570977882,-1,0.4779381084213059,0.4779381084213059,flat_lag0_positive_close
V_pos_centroid_lat,P_total_centroid_lat_10_50,1,0.2669631727965173,0.2669631727965173,0.3609103264299336,0.3609103264299336,-1,0.3934603542359687,0.3934603542359687,reverse_peak
V_strength,P_main_band_share,2,0.1312001515424415,0.1312001515424415,0.0462046807635247,0.0462046807635247,-4,-0.1141518355135263,0.1141518355135263,weak_all_lags
V_strength,P_main_minus_south,4,0.1863399073805091,0.1863399073805091,0.0423558397581797,0.0423558397581797,-3,-0.1192132565343166,0.1192132565343166,weak_all_lags
V_strength,P_north_band_share_35_45,4,0.2295314087110107,0.2295314087110107,0.1349990718422728,0.1349990718422728,-1,0.0894494444152236,0.0894494444152236,positive_peak_clear
V_strength,P_north_minus_main_35_45,5,0.0540235149317172,0.0540235149317172,0.0349805432926267,0.0349805432926267,-3,0.0895612847360597,0.0895612847360597,weak_all_lags
V_strength,P_south_band_share_18_24,5,-0.2531746182209919,0.2531746182209919,-0.0274503109207566,0.0274503109207566,-3,0.1008920441587263,0.1008920441587263,positive_peak_clear
V_strength,P_spread_lat,5,0.2400051097152036,0.2400051097152036,0.0839821839452392,0.0839821839452392,-1,0.0545637404748189,0.0545637404748189,positive_peak_clear
V_strength,P_total_centroid_lat_10_50,3,0.2472497720943924,0.2472497720943924,0.1190883345109186,0.1190883345109186,-4,-0.1037740748061268,0.1037740748061268,positive_peak_clear
