scope,object,config_id,candidate_id,point_day,month_day,band_start_day,band_end_day,band_center_day,peak_score,peak_prominence,support_floor,global_floor,left_stop_reason,right_stop_reason,is_formal_primary,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
Jw_only,Jw,DET_WIDTH_24,CP001,42,05-13,38,48,43,17.930325573446215,13.748549194486706,11.99712622342551,11.99712622342551,support_floor,support_floor,True,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,DET_WIDTH_24,CP002,83,06-23,78,87,82,22.952320115825017,9.576742653354918,18.163948789147558,11.99712622342551,support_floor,support_floor,True,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,DET_WIDTH_24,CP003,105,07-15,97,114,106,39.32602427852923,34.01648282919405,22.31778286393221,11.99712622342551,support_floor,support_floor,True,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,DET_WIDTH_24,CP004,131,08-10,127,136,132,31.98319839876074,16.965529426557172,23.500433685482157,11.99712622342551,support_floor,support_floor,True,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,DET_WIDTH_24,CP005,153,09-01,148,156,152,18.730850693090474,3.1781134365897934,17.141793974795576,11.99712622342551,support_floor,support_floor,True,detector_width,detector_width,24,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
