window,source_object,target_object,pair_direction,k_eof,lag,n_samples,n_years,train_canonical_r,abs_train_canonical_r,cv_canonical_r,abs_cv_canonical_r,cv_fold_count,cca_status,cv_status,sample_status
S1,V,P,V→P,5,0,1665,45,0.8949363064690916,0.8949363064690916,0.8864171456148787,0.8864171456148787,5,ok,ok,ok
S1,V,P,V→P,5,1,1620,45,0.8738280901417937,0.8738280901417937,0.8612232834026187,0.8612232834026187,5,ok,ok,ok
S1,V,P,V→P,5,2,1575,45,0.8238752858586049,0.8238752858586049,0.8075008357262454,0.8075008357262454,5,ok,ok,ok
S1,V,P,V→P,5,3,1530,45,0.7135570972055613,0.7135570972055613,0.6844617948915761,0.6844617948915761,5,ok,ok,ok
S1,V,P,V→P,5,4,1485,45,0.5824049952994149,0.5824049952994149,0.5323316356387084,0.5323316356387084,5,ok,ok,ok
S1,V,P,V→P,5,5,1440,45,0.4599734043537379,0.4599734043537379,0.3856336534785349,0.3856336534785349,5,ok,ok,ok
S1,H,P,H→P,5,0,1665,45,0.6538406986212907,0.6538406986212907,0.6289493638602993,0.6289493638602993,5,ok,ok,ok
S1,H,P,H→P,5,1,1620,45,0.6176701261120263,0.6176701261120263,0.5894087134242842,0.5894087134242842,5,ok,ok,ok
S1,H,P,H→P,5,2,1575,45,0.5382472121039925,0.5382472121039925,0.4899267409561488,0.4899267409561488,5,ok,ok,ok
S1,H,P,H→P,5,3,1530,45,0.4569883371814858,0.4569883371814858,0.37419909825175734,0.37419909825175734,5,ok,ok,ok
S1,H,P,H→P,5,4,1485,45,0.4104052994006232,0.4104052994006232,0.32011493340372527,0.32011493340372527,5,ok,ok,ok
S1,H,P,H→P,5,5,1440,45,0.3856230082325903,0.3856230082325903,0.30139070052919287,0.30139070052919287,5,ok,ok,ok
S1,H,V,H→V,5,0,1665,45,0.730483286263632,0.730483286263632,0.6610362306197622,0.6610362306197622,5,ok,ok,ok
S1,H,V,H→V,5,1,1620,45,0.6538340656687698,0.6538340656687698,0.5888129579276844,0.5888129579276844,5,ok,ok,ok
S1,H,V,H→V,5,2,1575,45,0.5805629777212343,0.5805629777212343,0.49230980524276596,0.49230980524276596,5,ok,ok,ok
S1,H,V,H→V,5,3,1530,45,0.5170483150053753,0.5170483150053753,0.41823827342705233,0.41823827342705233,5,ok,ok,ok
S1,H,V,H→V,5,4,1485,45,0.4629578677668786,0.4629578677668786,0.36155975395947726,0.36155975395947726,5,ok,ok,ok
S1,H,V,H→V,5,5,1440,45,0.42487744284914153,0.42487744284914153,0.34200949510103057,0.34200949510103057,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,0,1665,45,0.5943002714052322,0.5943002714052322,0.5674702977483239,0.5674702977483239,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,1,1620,45,0.6906591861612233,0.6906591861612233,0.6545887697970747,0.6545887697970747,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,2,1575,45,0.7439189902736418,0.7439189902736418,0.7139683241763957,0.7139683241763957,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,3,1530,45,0.7425752344801863,0.7425752344801863,0.7151504494820801,0.7151504494820801,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,4,1485,45,0.6998238483137176,0.6998238483137176,0.6729903491671942,0.6729903491671942,5,ok,ok,ok
S1,Jw,Je,Jw→Je,5,5,1440,45,0.6334984650473622,0.6334984650473622,0.6030811798897064,0.6030811798897064,5,ok,ok,ok
S1,Je,H,Je→H,5,0,1665,45,0.8822051675082683,0.8822051675082683,0.8763463081053593,0.8763463081053593,5,ok,ok,ok
S1,Je,H,Je→H,5,1,1620,45,0.8230648828699403,0.8230648828699403,0.8164533041257257,0.8164533041257257,5,ok,ok,ok
S1,Je,H,Je→H,5,2,1575,45,0.7272585729599432,0.7272585729599432,0.7129499582421064,0.7129499582421064,5,ok,ok,ok
S1,Je,H,Je→H,5,3,1530,45,0.6339119056406203,0.6339119056406203,0.6065157776257571,0.6065157776257571,5,ok,ok,ok
S1,Je,H,Je→H,5,4,1485,45,0.5549094845242484,0.5549094845242484,0.5025535237300038,0.5025535237300038,5,ok,ok,ok
S1,Je,H,Je→H,5,5,1440,45,0.4925344591070633,0.4925344591070633,0.41394665761318156,0.41394665761318156,5,ok,ok,ok
T1,V,P,V→P,5,0,405,45,0.9383554312951702,0.9383554312951702,0.9290245339351575,0.9290245339351575,5,ok,ok,ok
T1,V,P,V→P,5,1,405,45,0.883526999471526,0.883526999471526,0.8506143502133797,0.8506143502133797,5,ok,ok,ok
T1,V,P,V→P,5,2,405,45,0.7919851510408826,0.7919851510408826,0.7118909981319768,0.7118909981319768,5,ok,ok,ok
T1,V,P,V→P,5,3,405,45,0.6761278011239759,0.6761278011239759,0.5099156094080246,0.5099156094080246,5,ok,ok,ok
T1,V,P,V→P,5,4,405,45,0.5504723889738576,0.5504723889738576,0.31706424426699176,0.31706424426699176,5,ok,ok,ok
T1,V,P,V→P,5,5,405,45,0.5116216602149795,0.5116216602149795,0.3552324330556333,0.3552324330556333,5,ok,ok,ok
T1,H,P,H→P,5,0,405,45,0.7059020043489874,0.7059020043489874,0.5488894999533074,0.5488894999533074,5,ok,ok,ok
T1,H,P,H→P,5,1,405,45,0.7056881588901149,0.7056881588901149,0.5021179035849735,0.5021179035849735,5,ok,ok,ok
T1,H,P,H→P,5,2,405,45,0.6862578425140914,0.6862578425140914,0.44624807256295224,0.44624807256295224,5,ok,ok,ok
T1,H,P,H→P,5,3,405,45,0.6487182033368174,0.6487182033368174,0.40009473036435117,0.40009473036435117,5,ok,ok,ok
T1,H,P,H→P,5,4,405,45,0.5944613144327323,0.5944613144327323,0.3540812364127299,0.3540812364127299,5,ok,ok,ok
T1,H,P,H→P,5,5,405,45,0.5301726330048887,0.5301726330048887,0.2840726796410391,0.2840726796410391,5,ok,ok,ok
T1,H,V,H→V,5,0,405,45,0.7872185486612927,0.7872185486612927,0.5915619546561474,0.5915619546561474,5,ok,ok,ok
T1,H,V,H→V,5,1,405,45,0.7407229828747561,0.7407229828747561,0.5183427655780095,0.5183427655780095,5,ok,ok,ok
T1,H,V,H→V,5,2,405,45,0.698852283038415,0.698852283038415,0.4772772510838302,0.4772772510838302,5,ok,ok,ok
T1,H,V,H→V,5,3,405,45,0.6673578353543813,0.6673578353543813,0.45794092437972417,0.45794092437972417,5,ok,ok,ok
