window,source_object,target_object,pair_direction,k_eof,best_lag_for_bootstrap,bootstrap_median_train_r,bootstrap_q025_train_r,bootstrap_q975_train_r,bootstrap_frac_abs_r_ge_threshold,bootstrap_abs_r_threshold,n_bootstrap,bootstrap_mode
S1,V,P,V→P,5,0,0.898448969797094,0.8760407659439656,0.9173929339587057,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,H,P,H→P,5,0,0.6670498445207675,0.6073303158593606,0.7217883071778587,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,H,V,H→V,5,0,0.7518559692801133,0.7163391035411634,0.7857024915293404,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,Jw,Je,Jw→Je,5,3,0.7544580590789287,0.7105855317105211,0.7841612453738936,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,Je,H,Je→H,5,0,0.8864294628525184,0.8637823348866327,0.9047972722752238,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,V,P,V→P,5,0,0.9432224463124946,0.9168907298188512,0.9603550889351706,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,H,P,H→P,5,0,0.7496545275186046,0.6671789562465076,0.8283316947079342,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,H,V,H→V,5,0,0.8130612342418471,0.7482332699301394,0.8608432682988941,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,Jw,Je,Jw→Je,5,2,0.8074059959387099,0.7472264058253238,0.86891765338412,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,Je,H,Je→H,5,0,0.8902078527699088,0.8545319972738045,0.9237350255465903,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,V,P,V→P,5,0,0.9247163077030675,0.9081954488778883,0.9378909078416642,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,H,P,H→P,5,0,0.6854741682357206,0.6180625919383747,0.7360050146649452,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,H,V,H→V,5,0,0.7000233157104854,0.654265151334002,0.755163843969855,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,Jw,Je,Jw→Je,5,2,0.7340020434191792,0.6876192353741013,0.7898424902560695,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,Je,H,Je→H,5,0,0.8918646557914839,0.8707905453336918,0.9129029965870155,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,V,P,V→P,5,1,0.9101002497495961,0.8862660144544079,0.9307940596620851,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,H,P,H→P,5,1,0.8247334084357221,0.7581823871939287,0.8831158153118925,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,H,V,H→V,5,0,0.8015165466774488,0.7508076782239971,0.8603826695223425,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,Jw,Je,Jw→Je,5,2,0.6975671815150164,0.6019981148076582,0.7999142820802797,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,Je,H,Je→H,5,0,0.8756784607888787,0.844723943438023,0.9082058057317681,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,V,P,V→P,5,0,0.898495667527627,0.8775158810127041,0.9162126117248961,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,H,P,H→P,5,1,0.7929669416709827,0.7449752724621824,0.8370679663507622,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,H,V,H→V,5,1,0.7628737879422887,0.7122398100213397,0.8210110578463533,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,Jw,Je,Jw→Je,5,0,0.6546618202765631,0.5911232653071987,0.7155904319373847,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,Je,H,Je→H,5,0,0.8813089639210272,0.8459735340330139,0.9075882876827207,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,V,P,V→P,5,0,0.8732320999907024,0.8313044918749873,0.9054353916038683,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,H,P,H→P,5,0,0.8394813074332954,0.7817485789919697,0.8896689843238272,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,H,V,H→V,5,0,0.8310438841532455,0.7752707564146052,0.883008607869305,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,Jw,Je,Jw→Je,5,1,0.7095431472855529,0.6230931558773,0.7962235849648837,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,Je,H,Je→H,5,0,0.9115224288889043,0.8784966311074627,0.9336033265594877,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,V,P,V→P,5,0,0.8635206146655403,0.8373804850820614,0.8832415877392262,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,H,P,H→P,5,0,0.8165132100166992,0.7783600888729432,0.8505008178413714,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,H,V,H→V,5,0,0.7928667432382828,0.7566259317232462,0.8284994424720572,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,Jw,Je,Jw→Je,5,0,0.598550430579399,0.5380800498829167,0.66865647945251,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,Je,H,Je→H,5,0,0.7986271970478609,0.7605990221413093,0.8343627445155538,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,V,P,V→P,5,0,0.9127763694855554,0.8886145321626673,0.9333700508448184,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,H,P,H→P,5,0,0.7824613512166368,0.7224339990765722,0.8356878347932268,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,H,V,H→V,5,1,0.7936967059452092,0.723315981623319,0.8512183437338926,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,Jw,Je,Jw→Je,5,1,0.7726077310760822,0.7215038387449828,0.8366468442840453,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,Je,H,Je→H,5,0,0.8657059109936833,0.8209751536807213,0.8947055110474588,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,V,P,V→P,5,0,0.9178121069743779,0.8977782991568821,0.937786852870111,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,H,P,H→P,5,0,0.7631736121056224,0.7003058341287557,0.815062957895466,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,H,V,H→V,5,1,0.7906506619993989,0.7118084614684038,0.8378177944418739,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,Jw,Je,Jw→Je,5,0,0.8006059950204778,0.7446074930716977,0.8532790935067025,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,Je,H,Je→H,5,0,0.8389738673682694,0.8005513635139326,0.8783696698322077,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,V,P,V→P,3,0,0.8801003085781287,0.8547387233057387,0.8983017359174245,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,H,P,H→P,3,1,0.5808212135605605,0.5201846537244792,0.6398797217872819,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,H,V,H→V,3,0,0.6288253795720686,0.574561756865442,0.6754389129121017,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,Jw,Je,Jw→Je,3,3,0.6340130491358795,0.5652473917102443,0.6903873849051839,1.0,0.3,200,year_block_resample_at_observed_best_lag
S1,Je,H,Je→H,3,0,0.8474714148005642,0.8174424438898878,0.8763071287639473,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,V,P,V→P,3,0,0.8995300855054589,0.8460205960339954,0.9430603902514161,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,H,P,H→P,3,1,0.6897180708825283,0.5742983678393391,0.8196559223999783,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,H,V,H→V,3,0,0.690109181263585,0.5958155655306834,0.7659321168421743,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,Jw,Je,Jw→Je,3,2,0.7049506881077596,0.6058047830783773,0.7833917455755778,1.0,0.3,200,year_block_resample_at_observed_best_lag
T1,Je,H,Je→H,3,0,0.8190522863598533,0.7536641151746681,0.8643951810621376,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,V,P,V→P,3,0,0.882202248254329,0.8560249107314217,0.9039578363548452,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,H,P,H→P,3,1,0.5614364945444354,0.48107224565126855,0.6520650131859493,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,H,V,H→V,3,0,0.6226753345311276,0.5638836218057603,0.6838844676258016,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,Jw,Je,Jw→Je,3,2,0.6694550695084909,0.5862485089877112,0.7393326374991821,1.0,0.3,200,year_block_resample_at_observed_best_lag
S2,Je,H,Je→H,3,0,0.7957546787133458,0.7597197734522367,0.8272574795531464,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,V,P,V→P,3,1,0.9016595292230899,0.8706978425498405,0.9246286207093282,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,H,P,H→P,3,2,0.6652593630536947,0.5420520719974605,0.7583264612710974,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,H,V,H→V,3,1,0.7110231054881133,0.6197934135534514,0.790836805802711,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,Jw,Je,Jw→Je,3,0,0.5234432136124689,0.4089249599828893,0.6375160123697573,1.0,0.3,200,year_block_resample_at_observed_best_lag
T2,Je,H,Je→H,3,0,0.7852876896210532,0.7184790492596201,0.8412944215270342,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,V,P,V→P,3,0,0.8531893328836568,0.8266578524868853,0.8815491668818073,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,H,P,H→P,3,1,0.7369644549319614,0.6710216465716987,0.7951684613061348,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,H,V,H→V,3,1,0.7197585210059477,0.6301510625765857,0.7817974817176634,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,Jw,Je,Jw→Je,3,2,0.5400176343117247,0.42691406329817844,0.638121937315303,1.0,0.3,200,year_block_resample_at_observed_best_lag
S3,Je,H,Je→H,3,0,0.7775292417904172,0.715420776761365,0.8271843362179616,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,V,P,V→P,3,0,0.8281436906504861,0.7865230751101413,0.8705562749820622,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,H,P,H→P,3,2,0.6491692083583454,0.5588353414949964,0.7416604637715246,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,H,V,H→V,3,1,0.7434061380664452,0.6035443959105782,0.836375137107217,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,Jw,Je,Jw→Je,3,0,0.5615606613226045,0.4516492107738117,0.6728462731365745,1.0,0.3,200,year_block_resample_at_observed_best_lag
T3,Je,H,Je→H,3,0,0.845366841549906,0.7883242174440214,0.8898049695393112,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,V,P,V→P,3,0,0.8043237827728007,0.7731403994287105,0.8352681866357874,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,H,P,H→P,3,1,0.6028810027697007,0.5308265606552153,0.6785631623956269,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,H,V,H→V,3,1,0.7746921095718999,0.7251939809312892,0.8140005912731492,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,Jw,Je,Jw→Je,3,0,0.5316232613563383,0.45704826136108767,0.6032176589452011,1.0,0.3,200,year_block_resample_at_observed_best_lag
S4,Je,H,Je→H,3,0,0.7308396847619683,0.6803800236915262,0.785856423670615,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,V,P,V→P,3,0,0.831932957310164,0.7797427222863353,0.8765082480178212,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,H,P,H→P,3,0,0.614229375209772,0.5359508701818757,0.7039590882679793,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,H,V,H→V,3,0,0.6628716147769789,0.5548493309367992,0.7532141427463475,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,Jw,Je,Jw→Je,3,1,0.6772012340246457,0.5686443210676672,0.7865738403957471,1.0,0.3,200,year_block_resample_at_observed_best_lag
T4,Je,H,Je→H,3,0,0.8103254351822547,0.7481912164084463,0.8639626082091273,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,V,P,V→P,3,0,0.8603998550465233,0.8161790723624675,0.8895671202538575,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,H,P,H→P,3,0,0.45247526330507715,0.3491727473213939,0.550841605774435,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,H,V,H→V,3,0,0.657345928177498,0.5215026793090803,0.7410780380016154,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,Jw,Je,Jw→Je,3,1,0.7792030937786514,0.7290928428619606,0.8290971178217701,1.0,0.3,200,year_block_resample_at_observed_best_lag
S5,Je,H,Je→H,3,0,0.7978250826635463,0.7422332479266488,0.8506787874666621,1.0,0.3,200,year_block_resample_at_observed_best_lag
