window,object,mode,explained_variance_ratio,singular_value,quality_flag_pc1_object,n_train_samples,n_valid_gridpoints,n_total_gridpoints,missing_fraction,notes
S1,P,1,0.1855522473261639,7061.433043852398,pc1_low_variance,1755,13041,13041,0.05128205128205132,
S1,P,2,0.13438931408826219,6009.552102429545,pc1_low_variance,1755,13041,13041,0.05128205128205132,
S1,P,3,0.07729577633964232,4557.614812211685,pc1_low_variance,1755,13041,13041,0.05128205128205132,
S1,P,4,0.05752312578496365,3931.705453222586,pc1_low_variance,1755,13041,13041,0.05128205128205132,
S1,P,5,0.04024222038172761,3288.521637306954,pc1_low_variance,1755,13041,13041,0.05128205128205132,
S1,V,1,0.5058069804039994,5006.318768304369,pc1_good,1755,6561,6561,0.05128205128205132,
S1,V,2,0.18088339637336862,2993.8183211220016,pc1_good,1755,6561,6561,0.05128205128205132,
S1,V,3,0.0731760110986676,1904.1907702570238,pc1_good,1755,6561,6561,0.05128205128205132,
S1,V,4,0.05491233572678938,1649.5331519677402,pc1_good,1755,6561,6561,0.05128205128205132,
S1,V,5,0.032476679745825215,1268.5625937613838,pc1_good,1755,6561,6561,0.05128205128205132,
S1,H,1,0.6197226208206511,113740.1369565316,pc1_good,1755,14641,14641,0.05128205128205132,
S1,H,2,0.1658639291270776,58842.49064784313,pc1_good,1755,14641,14641,0.05128205128205132,
S1,H,3,0.10344894610545911,46470.58158274873,pc1_good,1755,14641,14641,0.05128205128205132,
S1,H,4,0.037829397666006875,28101.51833388283,pc1_good,1755,14641,14641,0.05128205128205132,
S1,H,5,0.024603543928152918,22662.817757172324,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Je,1,0.4635688283819569,28544.947286201746,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Je,2,0.2319212677276305,20190.283677490537,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Je,3,0.07981380668727733,11844.347623894553,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Je,4,0.06029712630653803,10294.859883157167,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Je,5,0.046736850140645596,9063.623410948416,pc1_good,1755,14641,14641,0.05128205128205132,
S1,Jw,1,0.3108868337452324,21246.046544842397,pc1_moderate,1755,14641,14641,0.05128205128205132,
S1,Jw,2,0.2556834821679619,19267.630087738024,pc1_moderate,1755,14641,14641,0.05128205128205132,
S1,Jw,3,0.12043152722449937,13223.519517886563,pc1_moderate,1755,14641,14641,0.05128205128205132,
S1,Jw,4,0.1000344325336973,12051.79456590544,pc1_moderate,1755,14641,14641,0.05128205128205132,
S1,Jw,5,0.05773009386590063,9155.416276626342,pc1_moderate,1755,14641,14641,0.05128205128205132,
T1,P,1,0.24338306715701352,5874.784111142662,pc1_moderate,405,13041,13041,0.0,
T1,P,2,0.10987495422171811,3947.263195658368,pc1_moderate,405,13041,13041,0.0,
T1,P,3,0.08463833459422415,3464.4179994866804,pc1_moderate,405,13041,13041,0.0,
T1,P,4,0.05770863620073754,2860.665887370921,pc1_moderate,405,13041,13041,0.0,
T1,P,5,0.0445806743523945,2514.3170966916437,pc1_moderate,405,13041,13041,0.0,
T1,V,1,0.42017540538876336,2589.9483473710375,pc1_good,405,6561,6561,0.0,
T1,V,2,0.18941610175265577,1738.9385533305458,pc1_good,405,6561,6561,0.0,
T1,V,3,0.10781330021693149,1311.9339144597823,pc1_good,405,6561,6561,0.0,
T1,V,4,0.06855675680560265,1046.166769892251,pc1_good,405,6561,6561,0.0,
T1,V,5,0.039296721122405856,792.0524585044276,pc1_good,405,6561,6561,0.0,
T1,H,1,0.6120363568866078,49346.85569293819,pc1_good,405,14641,14641,0.0,
T1,H,2,0.13068124587450358,22802.239753593592,pc1_good,405,14641,14641,0.0,
T1,H,3,0.10493364868263003,20432.81776570145,pc1_good,405,14641,14641,0.0,
T1,H,4,0.0583716863131538,15239.544786198747,pc1_good,405,14641,14641,0.0,
T1,H,5,0.026599198364078584,10287.388679846461,pc1_good,405,14641,14641,0.0,
T1,Je,1,0.4653123748699067,13990.514783983906,pc1_good,405,14641,14641,0.0,
T1,Je,2,0.2261904885504822,9754.35512301615,pc1_good,405,14641,14641,0.0,
T1,Je,3,0.0958263223439618,6348.977732638819,pc1_good,405,14641,14641,0.0,
T1,Je,4,0.055569168099974614,4834.798080680769,pc1_good,405,14641,14641,0.0,
T1,Je,5,0.04529414435682394,4364.981660662923,pc1_good,405,14641,14641,0.0,
T1,Jw,1,0.3010365395489544,10083.22388887718,pc1_moderate,405,14641,14641,0.0,
T1,Jw,2,0.2613421909312711,9394.952045804024,pc1_moderate,405,14641,14641,0.0,
T1,Jw,3,0.1341840125942511,6731.939297392714,pc1_moderate,405,14641,14641,0.0,
T1,Jw,4,0.08454288534830383,5343.531042739178,pc1_moderate,405,14641,14641,0.0,
T1,Jw,5,0.06945733294395423,4843.383471830938,pc1_moderate,405,14641,14641,0.0,
S2,P,1,0.19734012600392128,9567.47653746877,pc1_low_variance,1170,13041,13041,0.0,
S2,P,2,0.1420033386846627,8115.942901376471,pc1_low_variance,1170,13041,13041,0.0,
S2,P,3,0.0714553254398284,5757.142856159585,pc1_low_variance,1170,13041,13041,0.0,
S2,P,4,0.05193531049704742,4908.1866685127225,pc1_low_variance,1170,13041,13041,0.0,
S2,P,5,0.04403479881398307,4519.47213966505,pc1_low_variance,1170,13041,13041,0.0,
S2,V,1,0.3945141040637759,4052.007847519483,pc1_good,1170,6561,6561,0.0,
S2,V,2,0.18689339060027563,2788.9195218230348,pc1_good,1170,6561,6561,0.0,
S2,V,3,0.09821209500773784,2021.7222856922976,pc1_good,1170,6561,6561,0.0,
S2,V,4,0.06372663883388378,1628.544076379197,pc1_good,1170,6561,6561,0.0,
S2,V,5,0.0520522878203289,1471.8343081587861,pc1_good,1170,6561,6561,0.0,
S2,H,1,0.5327559269861208,72602.44360155173,pc1_good,1170,14641,14641,0.0,
S2,H,2,0.18645864296397247,42951.5017145845,pc1_good,1170,14641,14641,0.0,
S2,H,3,0.11671240247636666,33981.73881680758,pc1_good,1170,14641,14641,0.0,
S2,H,4,0.061165280745393416,24600.25335389329,pc1_good,1170,14641,14641,0.0,
S2,H,5,0.03127191673658457,17589.939416846497,pc1_good,1170,14641,14641,0.0,
S2,Je,1,0.4045012476927509,21976.05489057572,pc1_good,1170,14641,14641,0.0,
S2,Je,2,0.27321569298131737,18061.034357358665,pc1_good,1170,14641,14641,0.0,
S2,Je,3,0.1057351177533284,11235.681638803944,pc1_good,1170,14641,14641,0.0,
S2,Je,4,0.0527177473125273,7933.562007199078,pc1_good,1170,14641,14641,0.0,
S2,Je,5,0.04473965135746512,7308.632017398431,pc1_good,1170,14641,14641,0.0,
S2,Jw,1,0.4054142203099709,17547.123527020005,pc1_good,1170,14641,14641,0.0,
S2,Jw,2,0.20670021347158996,12529.302854988524,pc1_good,1170,14641,14641,0.0,
S2,Jw,3,0.11326499331658911,9274.794510306623,pc1_good,1170,14641,14641,0.0,
S2,Jw,4,0.08212676907874798,7897.666913893323,pc1_good,1170,14641,14641,0.0,
