window_id,target_name,permutation_percentile,permutation_empirical_p,permutation_level,observed_abs_corr
W160,W160_P_vs_V_delta_peak,1.0,0.0,strict_99,0.29343182933158607
W160,W160_P_vs_H_delta_peak,1.0,0.0,strict_99,0.3533449089618572
W160,W160_P_vs_Je_delta_peak,1.0,0.0,strict_99,0.4941283939407963
W160,W160_P_vs_Jw_delta_peak,1.0,0.0,strict_99,0.46077766830218053
W160,W160_V_vs_H_delta_peak,1.0,0.0,strict_99,0.3473493347596021
W160,W160_V_vs_Je_delta_peak,1.0,0.0,strict_99,0.4920794633878059
W160,W160_Jw_vs_V_delta_peak,1.0,0.0,strict_99,0.42774163892251665
W160,W160_H_vs_Je_delta_peak,1.0,0.0,strict_99,0.3653104438786924
W160,W160_H_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4402530532276265
W160,W160_Je_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4103800334867875
