window_id,metric,n_valid,field_a,field_b,field_early_candidate,field_late_candidate,prob_a_center_before_b,prob_b_center_before_a,prob_center_early_before_late,prob_separated_early_before_late,prob_shifted_early_before_late,prob_sync_or_overlap,median_center_lag_late_minus_early,q025_center_lag_late_minus_early,q975_center_lag_late_minus_early,iqr_center_lag_late_minus_early,median_overlap_ratio,loyo_prob_center_early_before_late,loyo_median_center_lag_late_minus_early,loyo_prob_sync_or_overlap,boundary_limited_flag,interval_order_label,usable_as_interval_order,caution
W002,prepost_contrast,1000,V,Jw,Jw,V,0.367,0.633,0.633,0.174,0.483,0.233,2.146202203532134,-14.649619525291838,15.663719127458037,7.6805693158317485,0.25,1.0,3.9146543427415637,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W002,prepost_contrast,1000,H,Je,H,Je,0.755,0.245,0.755,0.701,0.723,0.085,8.835509326091405,-11.55568688329604,19.748693433986464,10.282304608252307,0.0,1.0,9.300741299733929,0.0,H_left_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W002,prepost_contrast,1000,H,Jw,H,Jw,0.725,0.275,0.725,0.43,0.676,0.074,5.4849918124683406,-17.515493146224305,16.371454830465172,11.196751979297813,0.0,1.0,5.822664130666482,0.0,H_left_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W002,prepost_contrast,1000,Je,Jw,Jw,Je,0.32,0.68,0.68,0.237,0.581,0.13,3.2795156536803276,-14.507204129239947,16.57917885687055,8.7764666673848,0.11805555555555555,1.0,3.5596331568617146,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,P,V,V,P,0.132,0.868,0.868,0.351,0.595,0.345,3.1450825800936997,-3.501139684787205,25.197327667641183,10.583206162021686,0.3333333333333333,1.0,2.1003230474031085,0.5333333333333333,none,moderate_shifted_order,True,candidate_interval_order_only
W003,detector_score,1000,P,H,H,P,0.441,0.559,0.559,0.198,0.443,0.137,1.763047079861309,-16.729128030889797,18.240088392077837,16.53876060206918,0.0,0.4,12.476687321222485,0.0,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,P,Je,P,Je,0.741,0.259,0.741,0.515,0.645,0.186,6.946817760062487,-12.607924205486256,17.360759701114272,12.7205816577376,0.0,1.0,11.308628432602163,0.0,Je_right_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W003,detector_score,1000,P,Jw,P,Jw,0.616,0.384,0.616,0.278,0.447,0.31,1.8122771630304655,-17.58316866236983,16.653473717986106,9.866183136035318,0.23076923076923078,0.8222222222222222,0.9139114480433506,1.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,V,H,V,H,0.612,0.388,0.612,0.5,0.536,0.272,6.935175067092615,-6.946913662031345,27.37814186196193,16.417467952747746,0.0,0.6,15.008313368480358,0.15555555555555556,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,V,Je,V,Je,0.879,0.121,0.879,0.741,0.84,0.081,13.123198386176789,-6.109080159472001,26.976549803077635,11.093212406693986,0.0,1.0,14.047637894206645,0.0,Je_right_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W003,detector_score,1000,V,Jw,V,Jw,0.862,0.138,0.862,0.501,0.733,0.175,7.071367841371085,-7.183811606844593,27.638122637594797,12.50809918298561,0.0,1.0,3.017924860243184,0.1111111111111111,none,separated_order,True,
W003,detector_score,1000,H,Je,H,Je,0.608,0.392,0.608,0.39,0.483,0.317,1.851062000156162,-15.147268941249715,21.36153041744008,15.436858176948995,0.07142857142857142,0.4,1.3462720212395425,0.4444444444444444,H_right_boundary;Je_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,H,Jw,H,Jw,0.608,0.392,0.608,0.293,0.485,0.168,1.8652459049302834,-19.060831578628623,20.092849888316785,16.392872335011138,0.0,0.4,11.567618601268848,0.0,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,detector_score,1000,Je,Jw,Jw,Je,0.373,0.627,0.627,0.363,0.498,0.278,2.430725058587541,-14.54085764186766,18.767885037623625,12.435041879181163,0.07142857142857142,1.0,10.441903033552705,0.0,Je_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,P,V,V,P,0.306,0.694,0.694,0.319,0.448,0.337,1.7271448875537772,-17.68826014551314,24.590188437619833,9.596036194539163,0.11805555555555555,0.5777777777777777,0.4977924358120305,0.4,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,P,H,P,H,0.546,0.454,0.546,0.487,0.504,0.206,2.518013577714626,-18.097269992539193,19.877163591243345,15.449386510309559,0.0,0.9777777777777777,12.506703551779196,0.022222222222222223,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,P,Je,P,Je,0.628,0.372,0.628,0.462,0.551,0.196,4.053260266330561,-16.481704632746418,20.069724545671175,14.9537226559092,0.0,0.9333333333333333,12.248320494223051,0.022222222222222223,Je_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,P,Jw,P,Jw,0.567,0.433,0.567,0.267,0.417,0.271,1.0104910186164133,-18.570958871407125,16.475292824709022,9.29900842134936,0.16666666666666666,0.6,0.4330259815474875,0.7555555555555555,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,V,H,V,H,0.652,0.348,0.652,0.517,0.536,0.31,7.55009316343132,-10.487686168683547,27.51452860726948,15.313497290301378,0.0,1.0,17.119404824618414,0.022222222222222223,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,V,Je,V,Je,0.742,0.258,0.742,0.56,0.661,0.149,7.727616655102075,-16.173757370408918,27.616539953971728,16.46898628615183,0.0,0.9555555555555556,16.74532840307353,0.044444444444444446,Je_right_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W003,prepost_contrast,1000,V,Jw,V,Jw,0.665,0.335,0.665,0.39,0.553,0.186,3.4992458706914533,-16.57148137697584,24.718769929646374,13.022071252291472,0.0,0.5777777777777777,5.021688379553069,0.3111111111111111,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,H,Je,H,Je,0.535,0.465,0.535,0.272,0.362,0.313,0.31114284569039796,-21.088404580102843,21.593933217212378,12.826344918790038,0.0,0.4222222222222223,0.08030754713237798,0.9333333333333333,H_right_boundary;Je_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,H,Jw,Jw,H,0.435,0.565,0.565,0.461,0.519,0.122,3.1260152889604527,-18.318020465958366,21.89817988232933,17.73284528047626,0.0,0.9777777777777777,12.01445022435324,0.0,H_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W003,prepost_contrast,1000,Je,Jw,Jw,Je,0.361,0.639,0.639,0.411,0.513,0.215,2.5822860137748194,-16.53561919682117,20.376676713712996,14.264477791265936,0.0,0.9111111111111111,11.97715918800317,0.0,Je_right_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W005,detector_score,1000,P,V,P,V,0.811,0.189,0.811,0.571,0.696,0.197,10.863711525407027,-6.444340604635796,21.737955537303826,13.694771902649162,0.0,1.0,15.51130274972408,0.08888888888888889,P_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W005,detector_score,1000,P,H,P,H,0.844,0.156,0.844,0.498,0.631,0.304,6.9754025548286975,-3.9967014662395957,17.5000716834453,13.730071062874678,0.0,1.0,15.515391061937365,0.08888888888888889,P_left_boundary,boundary_limited_interval_order,True,interval_near_analysis_boundary;relative_direction_supported_but_interval_may_be_censored
W005,detector_score,1000,P,Je,P,Je,0.652,0.348,0.652,0.45,0.52,0.305,3.914223715474165,-5.9621756295131885,14.182842010068155,11.619746813171613,0.14285714285714285,0.8666666666666667,11.560832883102563,0.08888888888888889,P_left_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W005,detector_score,1000,P,Jw,P,Jw,0.622,0.378,0.622,0.407,0.553,0.111,3.5325469281071875,-11.969276479581879,28.691808294919827,14.336924060035834,0.0,0.8666666666666667,6.551752839403832,0.0,P_left_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W005,detector_score,1000,V,H,H,V,0.465,0.535,0.535,0.075,0.199,0.674,0.09020446000361204,-12.798703578474719,14.642964845508676,2.999222531107577,0.6666666666666666,0.5555555555555556,0.0075657313045383034,1.0,none,sync_or_overlap,True,active_intervals_overlap_do_not_force_order
W005,detector_score,1000,V,Je,Je,V,0.149,0.851,0.851,0.217,0.675,0.244,3.9913332737672533,-9.964150631024706,14.580944331470612,5.191144478491829,0.23076923076923078,1.0,3.963696153929945,0.022222222222222223,none,shifted_overlap_order,True,
W005,detector_score,1000,V,Jw,Jw,V,0.26,0.74,0.74,0.531,0.712,0.047,7.810412755494632,-15.181808460549279,18.596350967911796,11.758220061257454,0.0,1.0,8.982871152727796,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W005,detector_score,1000,H,Je,Je,H,0.087,0.913,0.913,0.085,0.673,0.25,3.8057123406502527,-9.496391868084192,11.595560853779729,3.1684081268272415,0.3333333333333333,1.0,3.9710500708145275,0.0,none,shifted_overlap_order,True,
W005,detector_score,1000,H,Jw,Jw,H,0.255,0.745,0.745,0.506,0.711,0.034,7.133449280834263,-14.97960091497759,13.982148420039001,11.732967359565308,0.0,1.0,8.990818875116716,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W005,detector_score,1000,Je,Jw,Jw,Je,0.3,0.7,0.7,0.206,0.572,0.181,3.5357148828090885,-19.593358736078955,10.8397019947871,7.798131639899648,0.14285714285714285,1.0,5.023127494402829,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W005,prepost_contrast,1000,P,V,P,V,0.73,0.27,0.73,0.589,0.641,0.2,11.91687527096613,-13.05433866449323,25.106601101446277,14.82273852234416,0.0,1.0,13.981652281461464,0.044444444444444446,P_left_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W005,prepost_contrast,1000,P,H,P,H,0.792,0.208,0.792,0.538,0.627,0.288,10.641455646947861,-7.4633912180890825,27.77042065593545,14.370857076274149,0.0,1.0,14.708448097836424,0.044444444444444446,P_left_boundary,moderate_shifted_order,True,interval_near_analysis_boundary;candidate_interval_order_only
W005,prepost_contrast,1000,P,Je,P,Je,0.651,0.349,0.651,0.485,0.531,0.25,5.049198315599213,-11.42429397489326,15.587784245264364,12.253274674661728,0.0,0.9555555555555556,11.522958928497687,0.0,P_left_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W005,prepost_contrast,1000,P,Jw,P,Jw,0.679,0.321,0.679,0.518,0.614,0.111,4.725379019158666,-14.610306548697608,28.10143418493297,15.086151345239514,0.0,0.9555555555555556,3.6138689521338705,0.0,P_left_boundary,ambiguous_interval_order,False,interval_near_analysis_boundary;insufficient_or_conflicting_interval_order_support
W005,prepost_contrast,1000,V,H,V,H,0.631,0.369,0.631,0.101,0.215,0.552,0.5471875214153741,-13.89939767103007,16.039749890408213,3.1085806108650758,0.6,1.0,0.9901149576619162,1.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W005,prepost_contrast,1000,V,Je,Je,V,0.248,0.752,0.752,0.254,0.587,0.254,3.4489341561146176,-10.117548530022122,17.02351834013468,6.817920303890919,0.25,1.0,2.5719304522145734,0.4444444444444444,none,moderate_shifted_order,True,candidate_interval_order_only
W005,prepost_contrast,1000,V,Jw,Jw,V,0.344,0.656,0.656,0.451,0.605,0.072,5.048521426009252,-16.094072038601915,21.573007175361656,22.02390000971932,0.0,0.9555555555555556,10.087595023732163,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W005,prepost_contrast,1000,H,Je,Je,H,0.178,0.821,0.821,0.196,0.594,0.307,3.626642551132093,-9.601791501474215,20.135337124976388,5.117431064042503,0.3333333333333333,1.0,3.9814388955470292,0.044444444444444446,none,moderate_shifted_order,True,candidate_interval_order_only
W005,prepost_contrast,1000,H,Jw,Jw,H,0.331,0.669,0.669,0.466,0.629,0.049,5.453670323815203,-15.826327395878764,23.447079640400144,22.724666370207792,0.0,0.9555555555555556,11.071939445114907,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W005,prepost_contrast,1000,Je,Jw,Jw,Je,0.413,0.587,0.587,0.266,0.48,0.177,1.8923421223575474,-19.71157020759254,12.960509762679031,19.763780592767098,0.0,0.9333333333333333,7.42873661063922,0.1111111111111111,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,P,V,P,V,0.827,0.173,0.827,0.246,0.583,0.259,3.029054537842569,-4.113313603340998,12.829579088568668,4.057509639333915,0.25,1.0,3.9620639037033243,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W007,detector_score,1000,P,H,H,P,0.315,0.685,0.685,0.268,0.515,0.211,2.540637804344172,-12.172842380639608,12.54245709743695,7.110982531757834,0.09090909090909091,1.0,2.9424325926297286,0.08888888888888889,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,P,Je,P,Je,0.811,0.189,0.811,0.361,0.661,0.145,4.0407471161421995,-12.587027207828978,11.006802400146094,5.44265867257436,0.09090909090909091,1.0,4.094240319470714,0.0,none,shifted_overlap_order,True,
W007,detector_score,1000,P,Jw,Jw,P,0.424,0.576,0.576,0.356,0.505,0.12,2.1719969389642557,-12.298388367889185,14.851326663570747,13.430316183322255,0.0,0.8444444444444444,5.077398515264747,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,V,H,H,V,0.216,0.784,0.784,0.654,0.757,0.051,6.9757190408265615,-11.593807868417464,13.60037510601875,6.324916698791526,0.0,1.0,6.865096596255,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W007,detector_score,1000,V,Je,Je,V,0.475,0.525,0.525,0.119,0.275,0.403,0.06345531422174133,-10.962206027918104,15.095892165637725,4.989848110863882,0.3333333333333333,0.06666666666666665,0.9015407743401624,1.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,V,Jw,Jw,V,0.331,0.669,0.669,0.509,0.613,0.124,5.516626790778318,-10.333363296984858,16.617181597984775,12.690825970599782,0.0,0.8444444444444444,9.074347981705074,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,H,Je,H,Je,0.756,0.244,0.756,0.593,0.735,0.032,6.121828984805177,-9.989994491476113,15.589860980951181,6.994706227208312,0.0,1.0,7.029483465014351,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W007,detector_score,1000,H,Jw,Jw,H,0.472,0.527,0.527,0.257,0.414,0.189,0.2848515613876117,-14.912958338955864,18.63428179869164,13.47118345377443,0.0,0.8444444444444444,2.248293709260082,0.2222222222222222,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,detector_score,1000,Je,Jw,Jw,Je,0.39,0.61,0.61,0.522,0.585,0.057,5.997936227787747,-9.661115723450967,16.673364545991607,15.097463392563633,0.0,0.8444444444444444,9.524340213173303,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,P,V,P,V,0.761,0.239,0.761,0.299,0.633,0.215,4.001707360113215,-11.033757784496537,20.015226493511875,7.474879643380056,0.2,1.0,5.155733101584673,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W007,prepost_contrast,1000,P,H,H,P,0.437,0.563,0.563,0.214,0.386,0.256,0.915659999004589,-16.514291064295847,18.307934293775737,10.557912696635363,0.1111111111111111,1.0,0.8847980448788917,1.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,P,Je,P,Je,0.689,0.311,0.689,0.246,0.577,0.143,3.9611539571723995,-12.423471878913444,11.824301635615956,9.277223585608056,0.07692307692307693,1.0,5.1811008961512925,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,P,Jw,Jw,P,0.469,0.531,0.531,0.294,0.452,0.128,0.9523864569412694,-19.028327509719766,21.609031626752223,15.932597628041265,0.0,0.6,4.443637733558745,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,V,H,H,V,0.234,0.766,0.766,0.472,0.738,0.05,6.094268214468784,-11.922489952437616,19.059644148389598,6.552016364670855,0.0,1.0,6.090029519966038,0.0,none,moderate_shifted_order,True,candidate_interval_order_only
W007,prepost_contrast,1000,V,Je,Je,V,0.33,0.67,0.67,0.285,0.403,0.408,1.5406520441967189,-11.956152721411593,15.028616306795232,9.521688503842725,0.4444444444444444,0.4222222222222223,0.0665012527758222,1.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,V,Jw,Jw,V,0.349,0.651,0.651,0.473,0.597,0.123,5.4218535328362805,-13.536116797342283,23.374472071931667,14.138705776388292,0.0,0.6,9.600549617970017,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,H,Je,H,Je,0.659,0.341,0.659,0.333,0.633,0.026,4.869449141979217,-12.111316006665634,14.640242369800855,13.873957627303717,0.0,1.0,6.4103583967495865,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,H,Jw,Jw,H,0.455,0.545,0.545,0.3,0.487,0.108,1.763654420179975,-19.495872710944315,21.311756683815997,15.86439298832704,0.0,0.6,3.5309975129457314,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
W007,prepost_contrast,1000,Je,Jw,Jw,Je,0.472,0.528,0.528,0.404,0.495,0.074,2.1352066038212456,-15.498956586684411,16.318909185623696,16.01764390119196,0.0,0.6,9.987283772890862,0.0,none,ambiguous_interval_order,False,insufficient_or_conflicting_interval_order_support
