window_id,field,metric,n_valid_samples,onset_median,onset_q025,onset_q975,center_median,center_q025,center_q975,center_iqr,center_modal_rounded_day,support_center_within_2d_of_modal,support_center_within_3d_of_modal,end_median,end_q025,end_q975,duration_median,duration_iqr,support_near_boundary,support_multiple_active_segments
W002,P,detector_score,45,40.0,40.0,40.0,43.5974283623409,43.50000954547314,43.72521984834213,0.11120669825437801,44.0,1.0,1.0,47.0,47.0,47.0,8.0,0.0,0.0,0.0
W003,P,detector_score,45,78.0,77.0,79.0,81.53866832185012,80.45472502811955,82.55823451977106,0.1223215394573316,82.0,1.0,1.0,85.0,84.0,86.0,8.0,0.0,0.0,0.0
W005,P,detector_score,45,98.0,98.0,110.0,98.9250676676598,98.51342181020007,112.55027484996836,0.42167986127758184,99.0,0.8666666666666667,0.8666666666666667,100.0,99.1,115.0,3.0,1.0,0.43333333333333335,1.0
W007,P,detector_score,45,155.0,154.0,155.0,157.4663561571434,156.54958472255254,157.5470780621898,0.9007941201259371,157.0,1.0,1.0,160.0,159.0,160.0,6.0,0.0,0.0,0.0
W002,P,prepost_contrast,45,41.0,40.0,41.0,44.424652239241354,43.655829666569616,44.580834007262965,0.7739247239250133,44.0,1.0,1.0,48.0,47.0,48.0,8.0,0.0,0.0,0.0
W003,P,prepost_contrast,45,79.0,74.0,81.0,81.54176330616137,76.02241661544274,83.53981972446718,3.017104193836687,83.0,0.6444444444444445,0.6666666666666666,84.0,78.0,86.0,6.0,2.0,0.0,0.7777777777777778
W005,P,prepost_contrast,45,98.0,98.0,108.79999999999998,98.85697200083217,98.45468577465299,111.09656703374563,0.04195173032202604,99.0,0.9555555555555556,0.9555555555555556,100.0,99.0,113.49999999999997,3.0,0.0,0.4777777777777778,1.0
W007,P,prepost_contrast,45,152.0,152.0,153.0,155.53780643041824,155.37794312616063,156.45566142864976,0.13790112011810152,156.0,1.0,1.0,159.0,159.0,160.0,8.0,0.0,0.0,0.0
W002,V,detector_score,45,41.0,41.0,42.0,44.6249127744907,44.48906165790112,45.49540024370749,0.81712390023079,45.0,1.0,1.0,48.0,48.0,49.0,8.0,0.0,0.0,0.0
W003,V,detector_score,45,76.0,74.1,76.0,79.46666659716001,77.65737717494402,79.60741666349779,0.959839841017839,79.0,1.0,1.0,83.0,81.1,83.0,8.0,0.0,0.0,0.0
W005,V,detector_score,45,111.0,111.0,112.0,114.47651546571919,114.36937602287065,115.4102391996346,0.12159803164438188,114.0,1.0,1.0,118.0,118.0,119.0,8.0,0.0,0.0,0.0
W007,V,detector_score,45,159.0,158.0,159.0,161.45384297954348,160.52434088521494,161.53831903131874,0.9096770015894151,161.0,1.0,1.0,164.0,163.0,164.0,6.0,0.0,0.0,0.0
W002,V,prepost_contrast,45,41.0,41.0,42.0,44.53291135425079,44.38445743048355,45.47075347845391,0.926346177725847,45.0,1.0,1.0,48.0,48.0,49.0,8.0,0.0,0.0,0.0
