window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,field,metric,left_out_year_index,peak_day,onset_day,center_day,end_day,duration,active_threshold,n_active_segments,has_multiple_active_segments,near_left_boundary,near_right_boundary,inside_accepted_window_any,near_excluded_candidate_days,interval_status,left_out_year
W002,45,40,48,30,60,P,detector_score,0,45,40,43.661056905804614,47,8,0.6294638767854037,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,P,detector_score,0,82,79,82.47920109830082,86,8,0.7301468984634883,1,False,False,False,True,none,ok,1979
W005,113,107,117,98,128,P,detector_score,0,98,98,99.37640519736361,101,4,0.6192495002984373,2,True,True,False,False,96,ok,1979
W007,160,155,164,145,175,P,detector_score,0,158,155,157.46602857311686,160,6,0.742667035832832,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,P,prepost_contrast,0,45,41,44.57592142962593,48,8,0.5446716709928235,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,P,prepost_contrast,0,83,80,82.99316936137657,86,7,0.7514619558882408,2,True,False,False,True,none,ok,1979
W005,113,107,117,98,128,P,prepost_contrast,0,98,98,98.87818927623796,100,3,0.5,2,True,True,False,False,96,ok,1979
W007,160,155,164,145,175,P,prepost_contrast,0,156,152,155.54931187642347,159,8,0.6627811480940338,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,V,detector_score,0,46,42,45.511960344999,49,8,0.6318019340485577,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,V,detector_score,0,81,76,79.60188610837447,83,8,0.7718783059141046,1,False,False,False,True,none,ok,1979
W005,113,107,117,98,128,V,detector_score,0,114,111,114.54845875930218,118,8,0.7236112648056203,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,V,detector_score,0,161,159,161.47573757922467,164,6,0.7999766912995325,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,V,prepost_contrast,0,45,42,45.520267658763046,49,8,0.7449059511481383,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,V,prepost_contrast,0,84,83,84.4571426341083,86,4,0.6370032959446753,3,True,False,False,True,none,ok,1979
W005,113,107,117,98,128,V,prepost_contrast,0,113,110,113.34758585310418,117,8,0.6355496577002728,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,V,prepost_contrast,0,162,158,161.08816596051884,164,7,0.5980992403207926,2,True,False,False,True,none,ok,1979
W002,45,40,48,30,60,H,detector_score,0,35,31,34.471553500371186,38,8,0.7534843063705118,1,False,True,False,False,none,ok,1979
W003,81,75,86,66,96,H,detector_score,0,95,92,94.20046148556122,96,5,0.5813124956694324,2,True,False,True,False,96,ok,1979
W005,113,107,117,98,128,H,detector_score,0,115,111,114.53224462024363,118,8,0.5623181455417215,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,H,detector_score,0,155,152,154.49887985016682,157,6,0.5427778699230872,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,H,prepost_contrast,0,36,32,35.570568467613384,39,8,0.6766846970235443,1,False,False,False,False,none,ok,1979
W003,81,75,86,66,96,H,prepost_contrast,0,94,92,94.12794386663968,96,5,0.5,1,False,False,True,False,96,ok,1979
W005,113,107,117,98,128,H,prepost_contrast,0,114,110,113.58433957270587,117,8,0.6350055906075056,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,H,prepost_contrast,0,155,152,154.54613179078294,157,6,0.5934916611492072,2,True,False,False,True,none,ok,1979
W002,45,40,48,30,60,Je,detector_score,0,46,43,46.037433628577084,49,7,0.5,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,Je,detector_score,0,94,89,92.64068447996432,96,8,0.7989909235089091,1,False,False,True,False,96,ok,1979
W005,113,107,117,98,128,Je,detector_score,0,110,107,110.46515592187885,114,8,0.8197970362369615,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,Je,detector_score,0,161,159,161.52369132440725,164,6,0.7341042810727031,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,Je,prepost_contrast,0,45,42,44.532955526131325,47,6,0.5714021874431843,2,True,False,False,True,none,ok,1979
W003,81,75,86,66,96,Je,prepost_contrast,0,96,92,94.07829501424253,96,5,0.7839946904931574,2,True,False,True,False,96,ok,1979
W005,113,107,117,98,128,Je,prepost_contrast,0,108,106,109.41588215634894,113,8,0.7842839128918611,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,Je,prepost_contrast,0,161,157,160.60932825121026,164,8,0.6101033666793858,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,Jw,detector_score,0,42,40,43.44708430860145,47,8,0.8436270289519876,1,False,False,False,True,none,ok,1979
W003,81,75,86,66,96,Jw,detector_score,0,83,79,82.49429871212789,86,8,0.6502464646708084,1,False,False,False,True,none,ok,1979
W005,113,107,117,98,128,Jw,detector_score,0,104,102,105.45349217201944,109,8,0.9024689243382241,1,False,False,False,True,none,ok,1979
W007,160,155,164,145,175,Jw,detector_score,0,153,151,153.43225141654423,156,6,0.658633451899625,1,False,False,False,True,none,ok,1979
W002,45,40,48,30,60,Jw,prepost_contrast,0,41,40,41.47603026001232,43,4,0.8090472204213183,2,True,False,False,True,none,ok,1979
W003,81,75,86,66,96,Jw,prepost_contrast,0,83,79,82.11349364228644,85,7,0.5,1,False,False,False,True,none,ok,1979
W005,113,107,117,98,128,Jw,prepost_contrast,0,102,100,102.47792243282403,105,6,0.8593265425323715,2,True,False,False,False,none,ok,1979
W007,160,155,164,145,175,Jw,prepost_contrast,0,151,149,151.0359114438686,153,5,0.761810991321739,2,True,False,False,False,none,ok,1979
W002,45,40,48,30,60,P,detector_score,1,45,40,43.61402385428327,47,8,0.6334291850639044,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,P,detector_score,1,82,78,81.53866832185012,85,8,0.7586099973421583,1,False,False,False,True,none,ok,1980
W005,113,107,117,98,128,P,detector_score,1,98,98,98.90372439517044,100,3,0.711882689963575,2,True,True,False,False,96,ok,1980
W007,160,155,164,145,175,P,detector_score,1,158,155,157.4558043298537,160,6,0.7669877896466082,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,P,prepost_contrast,1,45,41,44.47914015768054,48,8,0.5518778552030305,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,P,prepost_contrast,1,82,79,81.56347322495844,84,6,0.8557736770102198,2,True,False,False,True,none,ok,1980
W005,113,107,117,98,128,P,prepost_contrast,1,98,98,98.45927282415093,99,2,0.6455714240247117,2,True,True,False,False,96,ok,1980
W007,160,155,164,145,175,P,prepost_contrast,1,154,152,155.4376401770176,159,8,0.6535009467015371,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,V,detector_score,1,45,41,44.58610051648589,48,8,0.6347171371564657,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,V,detector_score,1,80,76,79.46986587706554,83,8,0.7829984668829648,1,False,False,False,True,none,ok,1980
W005,113,107,117,98,128,V,detector_score,1,114,111,114.3966721739902,118,8,0.6775327746685058,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,V,detector_score,1,161,159,161.4622592480063,164,6,0.7876861831557164,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,V,prepost_contrast,1,44,41,44.49463824830317,48,8,0.7515324291102963,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,V,prepost_contrast,1,76,74,76.0366553854386,78,5,0.716290510291341,2,True,False,False,True,none,ok,1980
W005,113,107,117,98,128,V,prepost_contrast,1,113,109,112.55769249918292,116,8,0.6320616833476667,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,V,prepost_contrast,1,161,158,161.39246807587753,165,8,0.5931084768842557,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,H,detector_score,1,35,31,34.48637191719826,38,8,0.7491312217265813,1,False,True,False,False,none,ok,1980
W003,81,75,86,66,96,H,detector_score,1,95,94,95.03129797901933,96,3,0.7894899789954044,2,True,False,True,False,96,ok,1980
W005,113,107,117,98,128,H,detector_score,1,115,111,114.49620461950973,118,8,0.5694468750855601,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,H,detector_score,1,155,152,154.62669952384903,157,6,0.5926890831588938,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,H,prepost_contrast,1,36,32,35.544638603335564,39,8,0.6803970973610198,1,False,False,False,False,none,ok,1980
W003,81,75,86,66,96,H,prepost_contrast,1,95,92,94.1652475400079,96,5,0.5825994985805797,2,True,False,True,False,96,ok,1980
W005,113,107,117,98,128,H,prepost_contrast,1,114,110,113.61173887196215,117,8,0.6024304176491035,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,H,prepost_contrast,1,155,152,155.04784287774717,158,7,0.5,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,Je,detector_score,1,46,43,45.98322247286681,49,7,0.5,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,Je,detector_score,1,94,89,92.90658220491022,96,8,0.5514517728873863,1,False,False,True,False,96,ok,1980
W005,113,107,117,98,128,Je,detector_score,1,112,107,110.56498162049901,114,8,0.8275177167020507,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,Je,detector_score,1,161,159,161.46625458027117,164,6,0.6817835347003176,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,Je,prepost_contrast,1,44,42,44.80856234934942,48,7,0.5107539906732547,2,True,False,False,True,none,ok,1980
W003,81,75,86,66,96,Je,prepost_contrast,1,95,92,94.08493999287552,96,5,0.6732602726077229,2,True,False,True,False,96,ok,1980
W005,113,107,117,98,128,Je,prepost_contrast,1,109,107,110.47167681937458,114,8,0.9216373348048029,1,False,False,False,True,none,ok,1980
W007,160,155,164,145,175,Je,prepost_contrast,1,160,157,160.53254903616423,164,8,0.5764856315590647,1,False,False,False,True,none,ok,1980
W002,45,40,48,30,60,Jw,detector_score,1,41,38,41.4934047649545,45,8,0.7477029089787928,1,False,False,False,True,none,ok,1980
W003,81,75,86,66,96,Jw,detector_score,1,81,78,81.41757811623565,85,8,0.7087805138282717,1,False,False,False,True,none,ok,1980
