window_id,n_total_pairs,n_separated_order,n_shifted_overlap_order,n_moderate_shifted_order,n_sync_or_overlap,n_ambiguous_interval_order,n_boundary_limited_interval_order,order_pair_fraction,sync_pair_fraction,ambiguous_pair_fraction,boundary_limited_fraction,early_group,middle_or_uncertain_group,late_group,window_interval_order_class,window_level_result,caution
W002,10,0,0,2,1,3,4,0.6,0.1,0.3,0.4,H,P;V;Jw,Je,boundary_limited_window,"Some relative order exists, but active intervals are often boundary-limited.",timing_order_only_not_causality; detector_score_is_main_metric; contrast_metric_is_diagnostic
W003,10,1,0,2,0,6,1,0.4,0.0,0.6,0.1,V,P;H;Jw,Je,weak_partial_order_window,"Partial interval timing structure: early=V, late=Je, middle_or_uncertain=P;H;Jw.",timing_order_only_not_causality; detector_score_is_main_metric; contrast_metric_is_diagnostic
W005,10,0,2,3,1,2,2,0.7,0.1,0.2,0.2,P,Je;Jw,V;H,weak_partial_order_window,"Partial interval timing structure: early=P, late=V;H, middle_or_uncertain=Je;Jw.",timing_order_only_not_causality; detector_score_is_main_metric; contrast_metric_is_diagnostic
W007,10,0,1,3,0,6,0,0.4,0.0,0.6,0.0,H,P;Jw,V;Je,weak_partial_order_window,"Partial interval timing structure: early=H, late=V;Je, middle_or_uncertain=P;Jw.",timing_order_only_not_causality; detector_score_is_main_metric; contrast_metric_is_diagnostic
