window_id,anchor_day,field,metric,day,curve_value
W002,45,P,detector_score,30,8.389789530196829
W002,45,P,detector_score,31,9.815016554538133
W002,45,P,detector_score,32,11.145659761972743
W002,45,P,detector_score,33,12.462368205611261
W002,45,P,detector_score,34,13.170076876576445
W002,45,P,detector_score,35,13.114661530740165
W002,45,P,detector_score,36,13.15575449419936
W002,45,P,detector_score,37,13.809761551829801
W002,45,P,detector_score,38,15.011627201822623
W002,45,P,detector_score,39,17.080891456966242
W002,45,P,detector_score,40,19.606601774515653
W002,45,P,detector_score,41,21.79119492278679
W002,45,P,detector_score,42,23.51065727098314
W002,45,P,detector_score,43,24.99091024803176
W002,45,P,detector_score,44,26.249595777159243
W002,45,P,detector_score,45,26.563465838769993
W002,45,P,detector_score,46,24.791612115879776
W002,45,P,detector_score,47,20.931446314397853
W002,45,P,detector_score,48,16.08892037930392
W002,45,P,detector_score,49,11.20824222418974
W002,45,P,detector_score,50,7.393165815863778
W002,45,P,detector_score,51,4.783355078776255
W002,45,P,detector_score,52,2.8933462785328246
W002,45,P,detector_score,53,1.7931582192807323
W002,45,P,detector_score,54,1.5953803456584774
W002,45,P,detector_score,55,2.0799144253422295
W002,45,P,detector_score,56,2.9928667429706213
W002,45,P,detector_score,57,3.7408248717407524
W002,45,P,detector_score,58,4.206564344173297
W002,45,P,detector_score,59,4.748904709708889
W002,45,P,detector_score,60,5.970888744511425
W003,81,P,detector_score,66,16.442026226089567
W003,81,P,detector_score,67,15.652891658139161
W003,81,P,detector_score,68,15.396772346471572
W003,81,P,detector_score,69,15.603562636796514
W003,81,P,detector_score,70,16.519254054800943
W003,81,P,detector_score,71,18.615251456416885
W003,81,P,detector_score,72,22.354239563128925
W003,81,P,detector_score,73,28.01234876973806
W003,81,P,detector_score,74,34.430005012433526
W003,81,P,detector_score,75,40.62255928180666
W003,81,P,detector_score,76,45.725257719434694
W003,81,P,detector_score,77,49.44429681814528
W003,81,P,detector_score,78,52.333653359340815
W003,81,P,detector_score,79,54.95677182721146
W003,81,P,detector_score,80,57.09541841398471
W003,81,P,detector_score,81,58.71217332743492
W003,81,P,detector_score,82,59.21762425438138
W003,81,P,detector_score,83,58.00973149781387
W003,81,P,detector_score,84,55.83504790998616
W003,81,P,detector_score,85,52.70639802808164
W003,81,P,detector_score,86,48.87683040567832
W003,81,P,detector_score,87,44.62173444681972
W003,81,P,detector_score,88,39.976874062524615
W003,81,P,detector_score,89,36.251938447045816
W003,81,P,detector_score,90,33.413095917496236
W003,81,P,detector_score,91,31.270637153828254
W003,81,P,detector_score,92,30.562137097006705
W003,81,P,detector_score,93,30.702665346380595
W003,81,P,detector_score,94,31.94510795982129
W003,81,P,detector_score,95,33.259216108942724
W003,81,P,detector_score,96,32.994221043483265
W005,113,P,detector_score,98,29.902456617930497
W005,113,P,detector_score,99,27.51516719871219
W005,113,P,detector_score,100,24.64531199323807
W005,113,P,detector_score,101,21.611810490018666
W005,113,P,detector_score,102,18.50314315134385
W005,113,P,detector_score,103,15.772442171278987
W005,113,P,detector_score,104,13.740892948490607
W005,113,P,detector_score,105,12.945740777614425
W005,113,P,detector_score,106,13.455465940622437
W005,113,P,detector_score,107,14.710068210967837
W005,113,P,detector_score,108,16.69232731530477
W005,113,P,detector_score,109,19.532468537395868
W005,113,P,detector_score,110,22.61836252400773
W005,113,P,detector_score,111,25.13601319028118
W005,113,P,detector_score,112,26.589265892094993
W005,113,P,detector_score,113,26.616812351441734
W005,113,P,detector_score,114,25.430997477767583
W005,113,P,detector_score,115,23.211290500824617
W005,113,P,detector_score,116,20.29151449874449
W005,113,P,detector_score,117,16.49916859590669
W005,113,P,detector_score,118,12.54963409782051
W005,113,P,detector_score,119,9.193929744315138
W005,113,P,detector_score,120,6.415011750851125
W005,113,P,detector_score,121,4.440561909888679
W005,113,P,detector_score,122,3.673402390120544
W005,113,P,detector_score,123,4.114930349490551
W005,113,P,detector_score,124,5.063082738573638
W005,113,P,detector_score,125,5.803192241952834
W005,113,P,detector_score,126,5.946778876241709
W005,113,P,detector_score,127,5.6047712228159
W005,113,P,detector_score,128,4.976338133502907
W007,160,P,detector_score,145,2.198428515753669
W007,160,P,detector_score,146,2.543575497183328
W007,160,P,detector_score,147,3.1405372567094716
W007,160,P,detector_score,148,3.833110468817182
W007,160,P,detector_score,149,5.07149493603472
W007,160,P,detector_score,150,7.084108572219209
W007,160,P,detector_score,151,9.520710598123664
W007,160,P,detector_score,152,12.349912490840335
W007,160,P,detector_score,153,14.93534115250964
W007,160,P,detector_score,154,17.103740042524826
W007,160,P,detector_score,155,18.739719715808558
W007,160,P,detector_score,156,20.038379639918126
W007,160,P,detector_score,157,21.02810941477442
W007,160,P,detector_score,158,21.186921722771807
W007,160,P,detector_score,159,19.749519002548524
W007,160,P,detector_score,160,17.76029095214629
W007,160,P,detector_score,161,15.618548639594898
W007,160,P,detector_score,162,13.572455514006393
W007,160,P,detector_score,163,11.92922475353723
W007,160,P,detector_score,164,10.320547307747235
W007,160,P,detector_score,165,8.885666155393693
W007,160,P,detector_score,166,7.470763330079012
W007,160,P,detector_score,167,6.3463306988578285
W007,160,P,detector_score,168,5.983400825831138
