window_id,field,detector_center_observed,contrast_center_observed,center_difference_days,bootstrap_center_correlation,agreement_label
W002,P,43.612070175055926,43.78747794169069,0.17540776663476265,0.43843193663887575,good
W003,P,81.51897728608863,82.49539030544504,0.9764130193564142,0.6749140109052766,good
W005,P,98.91868721595948,98.85869119573918,0.059996020220296487,0.6944184814495917,good
W007,P,157.46694869634928,155.54055563294847,1.926393063400809,0.23256389313795875,good
W002,V,44.623852251216434,44.53469885749101,0.08915339372542519,0.6176564756055957,good
W003,V,78.60640687632697,76.03819628547107,2.568210590855898,0.4312469768359698,good
W005,V,114.47555996798575,112.56335165347369,1.912208314512057,0.5610981936146927,good
W007,V,161.4516498734187,161.02117366464353,0.43047620877516124,0.2909828113113811,good
W002,H,34.47081870616239,35.527160613249855,1.0563419070874644,0.4885451141361858,good
W003,H,94.98750577473372,94.09137604893345,0.8961297258002645,0.716135755471429,good
W005,H,114.48387171458097,113.56660267461372,0.9172690399672518,0.46029530278237274,good
W007,H,154.51388434147424,154.89158309314752,0.3776987516732788,0.5157054268701938,good
W002,Je,46.02801780587438,44.84010848764306,1.1879093182313198,0.5564255655183741,good
W003,Je,92.78346865630998,94.13802308114028,1.3545544248302974,0.619953557911754,good
W005,Je,110.50109509675208,110.39226069192821,0.10883440482386675,0.637596592913594,good
W007,Je,161.53838693216215,161.34699600605924,0.19139092610291186,0.6977424531917538,good
W002,Jw,42.3936322180384,41.011200750208715,1.382431467829683,0.6772230041183032,good
W003,Jw,82.47473240098729,82.09891675630293,0.3758156446843657,0.5866581622329927,good
W005,Jw,105.48739057626213,102.48109849176349,3.0062920844986394,0.6761164045708302,moderate
W007,Jw,152.38113535943162,150.90578181063944,1.4753535487921852,0.5175121991047826,good
