window_id,field,metric,n_valid_samples,onset_median,onset_q025,onset_q975,center_median,center_q025,center_q975,center_iqr,center_modal_rounded_day,support_center_within_2d_of_modal,support_center_within_3d_of_modal,end_median,end_q025,end_q975,duration_median,duration_iqr,support_near_boundary,support_multiple_active_segments
W002,P,detector_score,1000,40.0,30.975,45.0,43.56817708703393,32.929350307340705,48.42962811888516,2.172261989624431,44.0,0.709,0.837,47.0,35.0,52.0,8.0,1.0,0.0295,0.224
W003,P,detector_score,1000,79.0,73.0,94.0,81.63923190109679,75.56426013889744,95.07944228742804,5.915497467754136,79.0,0.352,0.479,85.0,78.0,96.0,8.0,1.0,0.0505,0.24
W005,P,detector_score,1000,99.0,98.0,113.0,101.63836178083032,98.42734520832218,115.95456969890182,13.181683625808546,99.0,0.459,0.501,105.0,99.0,119.0,6.0,4.0,0.2555,0.484
W007,P,detector_score,1000,155.0,150.0,163.0,157.47435751622436,152.33960703693361,165.65767351417594,2.1108664003986917,158.0,0.618,0.764,160.0,154.0,168.0,6.0,0.0,0.006,0.11
W002,P,prepost_contrast,1000,41.0,30.0,52.0,44.010036982390346,31.26503228993882,53.01517523628023,2.3971274944647405,44.0,0.73,0.836,47.0,33.0,54.049999999999955,7.0,2.0,0.0465,0.435
W003,P,prepost_contrast,1000,79.0,72.0,95.0,81.5949461580941,73.93547504760723,95.55162172356258,7.52640938176674,84.0,0.284,0.367,85.0,76.0,96.0,6.0,3.0,0.062,0.587
W005,P,prepost_contrast,1000,98.0,98.0,119.02499999999998,101.27634065958193,98.4104706097326,120.45363287783053,13.722504827608091,99.0,0.49,0.514,105.0,99.0,122.04999999999995,5.0,4.0,0.263,0.687
W007,P,prepost_contrast,1000,153.0,149.0,172.0,156.5198163684108,151.4946963020244,173.4989677348695,5.567578245514881,156.0,0.509,0.616,160.0,153.0,175.0,6.0,3.0,0.048499999999999995,0.538
W002,V,detector_score,1000,41.0,30.0,46.0,44.578559832199446,30.888364771469583,49.64490756964525,2.8673824069002123,45.0,0.664,0.823,48.0,32.0,53.0,8.0,0.0,0.032,0.17
W003,V,detector_score,1000,74.0,66.0,83.0,77.56420722842591,66.94263470883868,85.60034333184588,8.110769732148427,78.0,0.379,0.494,81.0,68.0,88.0,8.0,2.0,0.1185,0.287
W005,V,detector_score,1000,111.0,98.0,121.0,114.45873136836767,98.85595068572846,123.07065670411345,3.816197366254542,114.0,0.562,0.702,118.0,100.0,126.0,8.0,0.0,0.035,0.226
W007,V,detector_score,1000,159.0,150.0,166.0,161.45464700022066,152.55328168717298,167.0870025721085,3.034632350853002,161.0,0.545,0.676,164.0,155.0,168.0,6.0,0.0,0.0055,0.1
W002,V,prepost_contrast,1000,41.0,30.0,48.0,44.42590058375281,30.41384324720444,50.49687631802717,3.4742203678860193,44.0,0.57,0.735,48.0,31.0,53.0,8.0,1.0,0.0475,0.358
W003,V,prepost_contrast,1000,75.0,66.0,94.0,77.44507065380651,66.43513430410408,95.11526304091468,10.5784275270655,67.0,0.169,0.183,81.0,67.0,96.0,6.0,3.0,0.1555,0.716
W005,V,prepost_contrast,1000,110.0,98.0,123.0,113.11227857691392,98.45721597595562,124.50781354076756,3.3808663336317295,113.0,0.598,0.717,116.0,99.0,126.0,7.0,3.0,0.035,0.545
W007,V,prepost_contrast,1000,158.0,150.0,172.0,161.54603029309098,151.936419684327,173.4916110390498,5.972208335591546,161.0,0.586,0.649,165.0,154.0,175.0,7.0,3.0,0.105,0.451
W002,H,detector_score,1000,31.0,30.0,53.0,33.668878972656216,31.926283629875712,55.03243142528843,2.2498767557516004,33.0,0.677,0.795,37.0,34.0,57.0,8.0,1.0,0.34,0.206
W003,H,detector_score,1000,76.0,67.0,95.0,79.32853539985283,69.51321633726984,95.55480072226916,17.532405657490557,94.0,0.412,0.424,82.0,72.0,96.0,6.0,3.0,0.21350000000000002,0.378
W005,H,detector_score,1000,111.0,98.0,114.0,114.40245494632333,98.7994635882906,117.39267101244161,2.067575331839592,114.0,0.747,0.877,118.0,100.0,121.0,8.0,0.0,0.029500000000000002,0.148
W007,H,detector_score,1000,152.0,145.0,167.0,154.5862199477019,146.78155449940013,167.6090197610048,3.0228933550073407,155.0,0.56,0.66,157.0,149.0,168.0,6.0,1.0,0.0345,0.173
W002,H,prepost_contrast,1000,33.0,30.0,53.0,35.577027207602846,31.41330484023382,54.90626820329506,3.777095696652715,36.0,0.528,0.722,39.0,33.0,57.0,7.0,3.0,0.187,0.479
W003,H,prepost_contrast,1000,90.0,66.0,94.0,92.65501172675057,68.11640686431217,95.16345202849936,17.75216597016947,94.0,0.546,0.565,95.0,70.0,96.0,5.0,3.0,0.2805,0.584
W005,H,prepost_contrast,1000,110.5,98.0,127.0,113.63353935892135,98.82230139765213,127.54987290371886,2.457216079684045,114.0,0.673,0.796,117.0,100.0,128.0,8.0,1.0,0.0485,0.378
W007,H,prepost_contrast,1000,153.0,146.0,170.0,155.46715007736043,149.5304160037303,171.88244572732128,13.070668897645305,155.0,0.598,0.652,158.0,152.975,174.0,6.0,2.0,0.0385,0.523
W002,Je,detector_score,1000,43.0,30.975,56.0,46.05614082514879,32.941513171765266,58.14368463734772,2.547147194000246,46.0,0.664,0.787,49.0,35.0,60.0,7.0,2.0,0.0455,0.3
W003,Je,detector_score,1000,89.0,70.0,94.0,91.69921618687428,73.47985644772166,95.17356750226331,9.42770344477347,93.0,0.492,0.606,95.0,76.0,96.0,7.0,3.0,0.2745,0.398
W005,Je,detector_score,1000,107.0,98.0,111.0,110.48121410854552,100.68409199862334,114.48519221412253,3.9588086307925465,112.0,0.541,0.69,114.0,103.0,118.0,8.0,0.0,0.02,0.083
W007,Je,detector_score,1000,159.0,145.0,163.0,161.50440492700847,145.44697620881448,165.5302876528868,2.032183620249441,162.0,0.724,0.837,164.0,146.0,168.0,6.0,0.0,0.0385,0.101
W002,Je,prepost_contrast,1000,42.0,30.0,56.0,44.491118848768465,32.47479305526585,58.00949773139558,2.0743893637289617,44.0,0.679,0.764,47.0,34.0,60.0,6.0,2.0,0.052,0.651
W003,Je,prepost_contrast,1000,86.0,66.0,95.0,89.05702523557952,68.19183391803516,95.58347401115086,13.859031107815028,95.0,0.326,0.39,92.0,70.0,96.0,5.0,2.0,0.21500000000000002,0.688
W005,Je,prepost_contrast,1000,107.0,99.0,114.0,109.52786717877221,100.98898251178574,116.00827708548242,4.714147257643489,108.0,0.453,0.563,113.0,102.0,119.0,8.0,1.0,0.017499999999999998,0.276
W007,Je,prepost_contrast,1000,158.0,145.0,163.0,160.9371133459815,145.45009236624333,166.47378107365927,2.9195905367909347,161.0,0.669,0.831,164.0,146.0,169.0,8.0,1.0,0.032,0.283
W002,Jw,detector_score,1000,39.0,30.0,49.0,42.002004355424305,31.887117460144022,51.56107932741159,5.290579411382403,40.0,0.421,0.539,45.0,34.0,55.0,8.0,1.0,0.023,0.19
W003,Jw,detector_score,1000,81.0,70.975,95.0,83.9010755611611,73.60686450142396,95.61525973624008,9.048907353536137,84.0,0.312,0.43,87.0,77.0,96.0,7.0,2.0,0.116,0.394
W005,Jw,detector_score,1000,103.0,98.0,127.0,106.52037578000723,100.51468938141109,127.59959848314965,7.0139169689648355,128.0,0.193,0.194,110.0,103.0,128.0,8.0,3.0,0.1785,0.452
W007,Jw,detector_score,1000,152.0,145.0,167.0,154.53714349902225,145.935844080533,167.53613056997114,15.012643637177462,166.0,0.293,0.311,157.0,147.0,168.0,6.0,1.0,0.0825,0.223
W002,Jw,prepost_contrast,1000,38.0,30.0,49.0,41.42836063896695,30.442822895399384,51.01456880758241,7.078364166304567,40.0,0.431,0.526,44.0,31.0,54.0,7.0,3.0,0.058499999999999996,0.484
W003,Jw,prepost_contrast,1000,80.0,69.0,95.0,82.5561001010712,71.5091280705656,95.52056197276808,5.463373266741513,83.0,0.396,0.521,85.0,74.0,96.0,7.0,2.0,0.0605,0.472
W005,Jw,prepost_contrast,1000,106.0,98.0,127.0,108.4929559816595,100.00414276759976,127.52127153570075,23.165154472000467,127.0,0.271,0.285,111.0,102.0,128.0,5.0,3.0,0.224,0.766
W007,Jw,prepost_contrast,1000,154.0,145.0,172.0,156.97950561715768,146.47398593367373,173.63051758949908,15.14805455365385,165.0,0.212,0.255,160.0,148.0,175.0,6.0,3.0,0.151,0.614
