window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,field,metric,peak_day,onset_day,center_day,end_day,duration,active_threshold,n_active_segments,has_multiple_active_segments,near_left_boundary,near_right_boundary,inside_accepted_window_any,near_excluded_candidate_days,interval_status
W002,45,40,48,30,60,P,detector_score,45,40,43.612070175055926,47,8,0.6323408579218538,1,False,False,False,True,none,ok
W003,81,75,86,66,96,P,detector_score,82,78,81.51897728608863,85,8,0.7740671608048328,1,False,False,False,True,none,ok
W005,113,107,117,98,128,P,detector_score,98,98,98.91868721595948,100,3,0.7100479916524071,2,True,True,False,False,96,ok
W007,160,155,164,145,175,P,detector_score,158,155,157.46694869634928,160,6,0.7482674300570775,1,False,False,False,True,none,ok
W002,45,40,48,30,60,P,prepost_contrast,45,40,43.78747794169069,47,8,0.5453485179689962,1,False,False,False,True,none,ok
W003,81,75,86,66,96,P,prepost_contrast,83,80,82.49539030544504,85,6,0.8844936849851439,2,True,False,False,True,none,ok
W005,113,107,117,98,128,P,prepost_contrast,98,98,98.85869119573918,100,3,0.6055157419757886,2,True,True,False,False,96,ok
W007,160,155,164,145,175,P,prepost_contrast,156,152,155.54055563294847,159,8,0.6675300931692265,1,False,False,False,True,none,ok
W002,45,40,48,30,60,V,detector_score,45,41,44.623852251216434,48,8,0.6143610279335536,1,False,False,False,True,none,ok
W003,81,75,86,66,96,V,detector_score,80,75,78.60640687632697,82,8,0.7740775481387445,1,False,False,False,True,none,ok
W005,113,107,117,98,128,V,detector_score,114,111,114.47555996798575,118,8,0.7280241979944518,1,False,False,False,True,none,ok
W007,160,155,164,145,175,V,detector_score,161,159,161.4516498734187,164,6,0.7992163203202286,1,False,False,False,True,none,ok
W002,45,40,48,30,60,V,prepost_contrast,44,41,44.53469885749101,48,8,0.745783743077153,1,False,False,False,True,none,ok
W003,81,75,86,66,96,V,prepost_contrast,76,74,76.03819628547107,78,5,0.7210327637863365,2,True,False,False,True,none,ok
W005,113,107,117,98,128,V,prepost_contrast,113,109,112.56335165347369,116,8,0.6403620220764459,1,False,False,False,True,none,ok
W007,160,155,164,145,175,V,prepost_contrast,161,158,161.02117366464353,164,7,0.6369828442705969,2,True,False,False,True,none,ok
W002,45,40,48,30,60,H,detector_score,35,31,34.47081870616239,38,8,0.7402063409781449,1,False,True,False,False,none,ok
W003,81,75,86,66,96,H,detector_score,95,94,94.98750577473372,96,3,0.8414820654450719,2,True,False,True,False,96,ok
W005,113,107,117,98,128,H,detector_score,115,111,114.48387171458097,118,8,0.5806329700862288,1,False,False,False,True,none,ok
W007,160,155,164,145,175,H,detector_score,155,152,154.51388434147424,157,6,0.5467524189080026,1,False,False,False,True,none,ok
W002,45,40,48,30,60,H,prepost_contrast,36,32,35.527160613249855,39,8,0.6653380768278501,1,False,False,False,False,none,ok
W003,81,75,86,66,96,H,prepost_contrast,94,92,94.09137604893345,96,5,0.6004636820181624,2,True,False,True,False,96,ok
W005,113,107,117,98,128,H,prepost_contrast,114,110,113.56660267461372,117,8,0.6492868459143367,1,False,False,False,True,none,ok
W007,160,155,164,145,175,H,prepost_contrast,155,152,154.89158309314752,158,7,0.5,2,True,False,False,True,none,ok
W002,45,40,48,30,60,Je,detector_score,46,43,46.02801780587438,49,7,0.5,1,False,False,False,True,none,ok
W003,81,75,86,66,96,Je,detector_score,94,89,92.78346865630998,96,8,0.6755844978550744,1,False,False,True,False,96,ok
W005,113,107,117,98,128,Je,detector_score,111,107,110.50109509675208,114,8,0.8358763942153913,1,False,False,False,True,none,ok
W007,160,155,164,145,175,Je,detector_score,162,159,161.53838693216215,164,6,0.7326285989873642,1,False,False,False,True,none,ok
W002,45,40,48,30,60,Je,prepost_contrast,44,42,44.84010848764306,48,7,0.5267103314866031,2,True,False,False,True,none,ok
W003,81,75,86,66,96,Je,prepost_contrast,96,92,94.13802308114028,96,5,0.65577824785561,2,True,False,True,False,96,ok
W005,113,107,117,98,128,Je,prepost_contrast,108,107,110.39226069192821,114,8,0.850669781920282,1,False,False,False,True,none,ok
W007,160,155,164,145,175,Je,prepost_contrast,161,158,161.34699600605924,165,8,0.6121057776990404,1,False,False,False,True,none,ok
W002,45,40,48,30,60,Jw,detector_score,41,39,42.3936322180384,46,8,0.755935870283813,1,False,False,False,True,none,ok
W003,81,75,86,66,96,Jw,detector_score,83,79,82.47473240098729,86,8,0.6602893983585465,1,False,False,False,True,none,ok
W005,113,107,117,98,128,Jw,detector_score,104,102,105.48739057626213,109,8,0.926955349750699,1,False,False,False,True,none,ok
W007,160,155,164,145,175,Jw,detector_score,152,150,152.38113535943162,155,6,0.665262640137401,1,False,False,False,True,none,ok
W002,45,40,48,30,60,Jw,prepost_contrast,41,38,41.011200750208715,44,7,0.6999260994466153,2,True,False,False,True,none,ok
W003,81,75,86,66,96,Jw,prepost_contrast,83,79,82.09891675630293,85,7,0.5,1,False,False,False,True,none,ok
W005,113,107,117,98,128,Jw,prepost_contrast,102,101,102.48109849176349,104,4,0.8700871811833703,2,True,False,False,False,none,ok
W007,160,155,164,145,175,Jw,prepost_contrast,150,149,150.90578181063944,153,5,0.7138201183487456,3,True,False,False,False,none,ok
