object_name,feature_count,applied_block_weight,standardized_rms,weighted_rms,weighted_to_standardized_rms_ratio,standardized_daily_energy_mean,weighted_daily_energy_mean
P,13,0.2773500981126146,1.0,0.2773500981126145,0.2773500981126145,0.9999999999999997,0.07692307692307691
V,11,0.30151134457776363,1.0,0.30151134457776363,0.30151134457776363,1.0000000000000002,0.09090909090909094
H,11,0.30151134457776363,0.9999999999999997,0.3015113445777636,0.3015113445777637,0.9999999999999996,0.09090909090909087
Je,11,0.30151134457776363,0.9999999999999994,0.30151134457776346,0.30151134457776363,0.9999999999999989,0.09090909090909083
Jw,11,0.30151134457776363,0.9999999999999997,0.3015113445777636,0.3015113445777637,0.9999999999999997,0.09090909090909087
