window_id,occurrence_rate,anchor_dispersion,yearwise_pass,yearwise_status
GW01,0.9555555555555556,2.483923618634413,True,yearwise_pass
GW02,0.9333333333333333,2.9544693074880453,True,yearwise_pass
GW03,0.9333333333333333,6.569815000120054,True,yearwise_pass
GW04,0.9333333333333333,4.774107117088189,True,yearwise_pass
GW05,0.8666666666666667,4.461301365806082,True,yearwise_pass
GW06,0.9555555555555556,3.9496835316262997,True,yearwise_pass
GW07,0.8444444444444444,4.034419810812521,True,yearwise_pass
GW08,0.9777777777777777,3.938164014165628,True,yearwise_pass
GW09,0.8222222222222222,3.263263533472111,True,yearwise_pass
GW10,0.7111111111111111,3.8092804155050883,True,yearwise_pass
GW11,0.7777777777777778,3.374120827419298,True,yearwise_pass
