window_id,start_day,end_day,peak_day,width_days,peak_score_raw,peak_score_smooth,candidate_source,candidate_rank,base_threshold,edge_threshold
GW01,4,9,4,6,,1.507541969875003e-07,base,1,8.758185117875054e-08,8.53965047903167e-08
GW02,173,178,178,6,,1.4153748547606406e-07,base,2,8.758185117875054e-08,8.53965047903167e-08
GW03,85,96,94,12,1.336828169861405e-07,1.2316631023024896e-07,base,3,8.758185117875054e-08,8.53965047903167e-08
GW04,160,168,163,9,1.205183190456142e-07,1.195062851164199e-07,base,4,8.758185117875054e-08,8.53965047903167e-08
GW05,100,103,101,4,1.2943889679040572e-07,1.1527329499367306e-07,base,5,8.758185117875054e-08,8.53965047903167e-08
GW06,63,65,64,3,1.2105917923640826e-07,1.0619033997664103e-07,base,6,8.758185117875054e-08,8.53965047903167e-08
GW07,119,122,119,4,9.134891857791903e-08,9.336992160385335e-08,base,7,8.758185117875054e-08,8.53965047903167e-08
GW08,171,174,173,4,7.102991475126826e-08,8.792714091506756e-08,edge,8,8.758185117875054e-08,8.53965047903167e-08
GW09,90,91,91,2,7.333756203793468e-08,8.753067518247589e-08,edge,9,8.758185117875054e-08,8.53965047903167e-08
GW10,15,16,15,2,8.425984526569806e-08,8.723588006078871e-08,edge,10,8.758185117875054e-08,8.53965047903167e-08
GW11,135,136,136,2,8.862630367595968e-08,8.678062744947001e-08,edge,11,8.758185117875054e-08,8.53965047903167e-08
