day_index,score_raw,score_smooth,local_scale
0,,,
1,,,
2,,,
3,,,
4,,1.507541969875003e-07,
5,1.507541969875003e-07,1.0627818012150195e-07,1.64608135217054e-14
6,6.180216325550359e-08,9.700125896232454e-08,1.7397045875853317e-14
7,7.844741664396969e-08,7.859426120529821e-08,1.6536932184328664e-14
8,9.553320371642132e-08,8.821634949692369e-08,1.6288144042266554e-14
9,9.066842813038003e-08,8.763302717502518e-08,1.6805157213690688e-14
10,7.669744967827416e-08,7.483480496286467e-08,1.5754207437364503e-14
11,5.713853707993986e-08,6.19044277452212e-08,1.5050751564277046e-14
12,5.187729647744959e-08,6.134744292826545e-08,1.5156922286181474e-14
13,7.50264952274069e-08,6.860149593476963e-08,1.4953412161648905e-14
14,7.890069609945237e-08,7.939567886418578e-08,1.408446719855411e-14
15,8.425984526569806e-08,8.723588006078871e-08,1.4773191161967573e-14
16,9.85470988172157e-08,8.598689052692448e-08,1.5185418814320332e-14
17,7.515372749785972e-08,7.494073473283256e-08,1.4641769480572563e-14
18,5.112137788342227e-08,6.30313303455139e-08,1.4013062352127404e-14
19,6.281888565525965e-08,5.437525376762369e-08,1.4174164779506232e-14
20,4.918549776418913e-08,6.175381349430238e-08,1.4171645214517639e-14
21,7.325705706345836e-08,6.623053424669547e-08,1.4837061459784854e-14
22,7.624904791243892e-08,7.175205659699066e-08,1.4699443016379888e-14
23,6.575006481507471e-08,6.724330389584839e-08,1.5612965894517254e-14
24,5.973079896003154e-08,6.526530066757845e-08,1.4731991058225617e-14
25,7.031503822762913e-08,6.559488719639176e-08,1.4060320329743776e-14
26,6.673882440151463e-08,6.621243995639427e-08,1.3849157414022122e-14
27,6.158345724003903e-08,6.296903112978484e-08,1.4092750366906717e-14
28,6.058481174780087e-08,5.73956181851014e-08,1.3582773894595296e-14
29,5.0018585567464306e-08,6.074677652680547e-08,1.3700969203699104e-14
30,7.163693226515126e-08,6.24672661795344e-08,1.3392580527757268e-14
31,6.574628070598765e-08,5.9311563929266365e-08,1.2722552961168471e-14
32,4.0551478816660156e-08,5.5627619449131916e-08,1.2323537533357146e-14
33,6.058509882474794e-08,5.609152830450118e-08,1.3087105325667978e-14
34,6.713800727209547e-08,6.735604769442672e-08,1.3955004219582787e-14
35,7.434503698643676e-08,7.230053178959261e-08,1.4350263726644623e-14
36,7.541855111024557e-08,7.712291669695227e-08,1.4569095026043072e-14
37,8.160516199417448e-08,7.95551157071957e-08,1.4486097613624236e-14
38,8.164163401716706e-08,7.771643608526669e-08,1.4375728096829095e-14
39,6.990251224445853e-08,7.332321809034274e-08,1.4005904826170568e-14
40,6.842550800940263e-08,6.327992501990891e-08,1.4323439377552116e-14
41,5.151175480586559e-08,5.741237757577933e-08,1.4625094385105154e-14
42,5.229986991206976e-08,6.345459477368771e-08,1.483961498986381e-14
