window_id,peak_day,block_name,full_peak_score,isolated_peak_score,isolated_to_full_ratio
GW01,4,P,1.507541969875003e-07,3.7488992048726593e-10,0.002486762743450185
GW01,4,V,1.507541969875003e-07,4.624859478884775e-10,0.0030678147416806196
GW01,4,H,1.507541969875003e-07,1.5072770620018852e-07,0.9998242782765512
GW01,4,Je,1.507541969875003e-07,2.2759307152220823e-09,0.015096964202003542
GW01,4,Jw,1.507541969875003e-07,1.5659492512305155e-09,0.0103874338660061
GW02,178,P,1.4153748547606406e-07,7.410372181139654e-10,0.005235625146380638
GW02,178,V,1.4153748547606406e-07,1.4727848034213768e-10,0.0010405616564881288
GW02,178,H,1.4153748547606406e-07,1.415275675086641e-07,0.999929926921009
GW02,178,Je,1.4153748547606406e-07,8.536789768595804e-10,0.006031469147471532
GW02,178,Jw,1.4153748547606406e-07,1.227939414273901e-09,0.008675718733759493
GW03,94,P,1.2316631023024896e-07,3.7163899086900707e-10,0.0030173753697278058
GW03,94,V,1.2316631023024896e-07,4.0626330200189125e-10,0.003298493729676699
GW03,94,H,1.2316631023024896e-07,1.2316250037779685e-07,0.9999690674142548
GW03,94,Je,1.2316631023024896e-07,4.499231837962467e-10,0.0036529728215057636
GW03,94,Jw,1.2316631023024896e-07,6.403351494224564e-10,0.005198947246413441
GW04,163,P,1.195062851164199e-07,2.9906972147299487e-10,0.002502543871911414
GW04,163,V,1.195062851164199e-07,1.264303256722296e-10,0.0010579387146798552
GW04,163,H,1.195062851164199e-07,1.19502874231497e-07,0.9999714585310757
GW04,163,Je,1.195062851164199e-07,5.784041044099618e-10,0.004839947152959325
GW04,163,Jw,1.195062851164199e-07,6.106239899538578e-10,0.005109555446050422
GW05,101,P,1.1527329499367306e-07,3.2393244422131494e-10,0.00281012566040638
GW05,101,V,1.1527329499367306e-07,4.178576288442461e-10,0.0036249300314281883
GW05,101,H,1.1527329499367306e-07,1.1527038298860587e-07,0.9999747382508034
GW05,101,Je,1.1527329499367306e-07,3.5944407285884677e-10,0.00311819032221275
GW05,101,Jw,1.1527329499367306e-07,4.98741367695619e-10,0.004326599389069196
GW06,64,P,1.0619033997664103e-07,3.5183268149485367e-10,0.0033132268111416468
GW06,64,V,1.0619033997664103e-07,2.1544812031316811e-10,0.0020288862467203778
GW06,64,H,1.0619033997664103e-07,1.0618436109210277e-07,0.9999436965307807
GW06,64,Je,1.0619033997664103e-07,5.252079431564922e-10,0.004945910741711756
GW06,64,Jw,1.0619033997664103e-07,8.801520116067959e-10,0.008288437646968691
GW07,119,P,9.336992160385335e-08,4.5068831605775727e-10,0.00482691115421433
GW07,119,V,9.336992160385335e-08,2.823097833496482e-10,0.003023562390331892
GW07,119,H,9.336992160385335e-08,9.336498315616545e-08,0.9999471087947481
GW07,119,Je,9.336992160385335e-08,5.319016731592909e-10,0.0056967132886329794
GW07,119,Jw,9.336992160385335e-08,5.717077330293731e-10,0.006123039659977383
GW08,173,P,8.792714091506756e-08,3.3707715873660864e-10,0.0038335962619574465
GW08,173,V,8.792714091506756e-08,1.2020906058877787e-10,0.0013671439709940388
GW08,173,H,8.792714091506756e-08,8.791706218960476e-08,0.9998853741250096
GW08,173,Je,8.792714091506756e-08,7.149748193516906e-10,0.008131446239589597
GW08,173,Jw,8.792714091506756e-08,1.046720659655469e-09,0.011904409136497906
GW09,91,P,8.753067518247589e-08,3.130255361562564e-10,0.0035761809845941393
GW09,91,V,8.753067518247589e-08,4.797964341368315e-10,0.005481466161852358
GW09,91,H,8.753067518247589e-08,8.752424976280346e-08,0.9999265923670869
GW09,91,Je,8.753067518247589e-08,3.7361756843865185e-10,0.004268418673336729
GW09,91,Jw,8.753067518247589e-08,7.653903128870583e-10,0.008744252358289743
GW10,15,P,8.723588006078871e-08,1.6814300813230056e-10,0.001927452419980554
GW10,15,V,8.723588006078871e-08,2.109024682859123e-10,0.0024176115164878122
GW10,15,H,8.723588006078871e-08,8.722094175767724e-08,0.9998287596445286
GW10,15,Je,8.723588006078871e-08,1.3180232442941617e-09,0.015108728694841176
GW10,15,Jw,8.723588006078871e-08,8.55884453345892e-10,0.009811151704430388
GW11,136,P,8.678062744947001e-08,3.3785135616594805e-10,0.0038931656303438193
GW11,136,V,8.678062744947001e-08,2.6451724058563125e-10,0.0030481139438597905
GW11,136,H,8.678062744947001e-08,8.677592713462545e-08,0.9999458368188534
GW11,136,Je,8.678062744947001e-08,5.369381239019034e-10,0.0061873040064678924
GW11,136,Jw,8.678062744947001e-08,5.699117494194183e-10,0.006567269287736624
