object,mode,cluster_id,source_key,reducer
P,anomaly,E1,precip_smoothed,spatial_rms
P,anomaly,E2,precip_smoothed,spatial_rms
P,anomaly,M,precip_smoothed,spatial_rms
P,local_background_removed,E1,precip_smoothed,spatial_rms
P,local_background_removed,E2,precip_smoothed,spatial_rms
P,local_background_removed,M,precip_smoothed,spatial_rms
P,raw,E1,precip_smoothed,spatial_rms
P,raw,E2,precip_smoothed,spatial_rms
P,raw,M,precip_smoothed,spatial_rms
V,anomaly,E1,v850_smoothed,spatial_rms
V,anomaly,E2,v850_smoothed,spatial_rms
V,anomaly,M,v850_smoothed,spatial_rms
V,local_background_removed,E1,v850_smoothed,spatial_rms
V,local_background_removed,E2,v850_smoothed,spatial_rms
V,local_background_removed,M,v850_smoothed,spatial_rms
V,raw,E1,v850_smoothed,spatial_rms
V,raw,E2,v850_smoothed,spatial_rms
V,raw,M,v850_smoothed,spatial_rms
H,anomaly,E1,z500_smoothed,spatial_rms
H,anomaly,E2,z500_smoothed,spatial_rms
H,anomaly,M,z500_smoothed,spatial_rms
H,local_background_removed,E1,z500_smoothed,spatial_rms
H,local_background_removed,E2,z500_smoothed,spatial_rms
H,local_background_removed,M,z500_smoothed,spatial_rms
H,raw,E1,z500_smoothed,spatial_rms
H,raw,E2,z500_smoothed,spatial_rms
H,raw,M,z500_smoothed,spatial_rms
Je,anomaly,E1,u200_smoothed,jet_q90_strength
Je,anomaly,E2,u200_smoothed,jet_q90_strength
Je,anomaly,M,u200_smoothed,jet_q90_strength
Je,local_background_removed,E1,u200_smoothed,jet_q90_strength
Je,local_background_removed,E2,u200_smoothed,jet_q90_strength
Je,local_background_removed,M,u200_smoothed,jet_q90_strength
Je,raw,E1,u200_smoothed,jet_q90_strength
Je,raw,E2,u200_smoothed,jet_q90_strength
Je,raw,M,u200_smoothed,jet_q90_strength
Jw,anomaly,E1,u200_smoothed,jet_q90_strength
Jw,anomaly,E2,u200_smoothed,jet_q90_strength
Jw,anomaly,M,u200_smoothed,jet_q90_strength
Jw,local_background_removed,E1,u200_smoothed,jet_q90_strength
Jw,local_background_removed,E2,u200_smoothed,jet_q90_strength
Jw,local_background_removed,M,u200_smoothed,jet_q90_strength
Jw,raw,E1,u200_smoothed,jet_q90_strength
Jw,raw,E2,u200_smoothed,jet_q90_strength
Jw,raw,M,u200_smoothed,jet_q90_strength
