mode,mapping_method,alpha_or_components,target_set,status,n_years,cv_r2_mean,cv_rmse_mean,null_cv_r2_mean,null_cv_r2_p90,null_cv_r2_p95,permutation_p,mapping_status
anomaly,ridge,0.1,"P,V,H,Je,Jw_M",ok,45,-0.19264089969902942,1.1261630568249812,-0.19841924546095327,-0.1308005351963996,-0.11544663428392236,0.4925373134328358,no_mapping
anomaly,ridge,1.0,"P,V,H,Je,Jw_M",ok,45,-0.18087805436472015,1.1205957033328782,-0.18557328196738326,-0.11678547512205123,-0.09392561646866783,0.44776119402985076,no_mapping
anomaly,ridge,10.0,"P,V,H,Je,Jw_M",ok,45,-0.11725982591492556,1.0899925221811082,-0.11916178936860321,-0.06760027632405863,-0.051342622214887945,0.48756218905472637,no_mapping
local_background_removed,ridge,0.1,"P,V,H,Je,Jw_M",ok,45,-0.1214099458610094,1.1553981149841623,-0.19091187009733113,-0.11951710292215764,-0.1013824505622868,0.10945273631840796,weak_mapping
local_background_removed,ridge,1.0,"P,V,H,Je,Jw_M",ok,45,-0.10702002897569529,1.147961153907949,-0.17290906839811437,-0.10837123381353023,-0.08459064655346211,0.1044776119402985,weak_mapping
local_background_removed,ridge,10.0,"P,V,H,Je,Jw_M",ok,45,-0.04655230974962943,1.116168914421132,-0.1123929213627552,-0.05543094368700412,-0.032631019212381804,0.07960199004975124,mapping_detected
raw,ridge,0.1,"P,V,H,Je,Jw_M",ok,45,-0.1760050643093798,1.0286798227225051,-0.1854271857025354,-0.11854326474928414,-0.09943802856549742,0.417910447761194,no_mapping
raw,ridge,1.0,"P,V,H,Je,Jw_M",ok,45,-0.1582845171624394,1.020900110767027,-0.16829192932892678,-0.11176758671640728,-0.09446443830043227,0.3582089552238806,no_mapping
raw,ridge,10.0,"P,V,H,Je,Jw_M",ok,45,-0.08493270417981247,0.9880456847538326,-0.10466441479391435,-0.050463778622598494,-0.03150258893809883,0.29850746268656714,no_mapping
