mode,status,n_years,source_object_E2,target_object_M,pearson_r,pearson_permutation_p,spearman_r,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,spearman_permutation_p,support_class,is_diagonal_same_object,interpretation_hint
anomaly,ok,45,P,P,-0.12437910013256226,0.42786069651741293,-0.2840579710144927,-0.5453670113224071,0.09600313675632371,0.08955223880597014,weak_mapping_support,True,Same-object E2-to-M persistence candidate for P; not cross-object reorganization evidence.
anomaly,ok,45,P,V,-0.1897798258317787,0.16417910447761194,-0.16179183135704872,-0.4927103589324584,0.14531342631417646,0.22885572139303484,no_mapping_support,False,No route-level support for P_E2 to V_M under this scalar mapping.
anomaly,ok,45,P,H,-0.08085377071667355,0.6069651741293532,-0.11989459815546771,-0.3601103466225038,0.17527660528957065,0.373134328358209,no_mapping_support,False,No route-level support for P_E2 to H_M under this scalar mapping.
anomaly,ok,45,P,Je,-0.15790180900977505,0.29850746268656714,-0.22977602108036888,-0.4545611714779619,0.1067135800419737,0.12935323383084577,weak_mapping_support,False,Cross-object E2-to-M mapping candidate: P_E2 may correspond to Je_M in same-year variability.
anomaly,ok,45,P,Jw,-0.24023836878548974,0.1044776119402985,-0.07193675889328062,-0.3801214289403271,0.24111655982799418,0.6119402985074627,no_mapping_support,False,No route-level support for P_E2 to Jw_M under this scalar mapping.
anomaly,ok,45,V,P,-0.11384596326529833,0.4925373134328358,-0.30237154150197626,-0.5521806706645328,0.005329537568281013,0.03980099502487562,clear_mapping_support,False,Cross-object E2-to-M mapping candidate: V_E2 may correspond to P_M in same-year variability.
anomaly,ok,45,V,V,-0.17060286919943746,0.2835820895522388,-0.25283267457180497,-0.5055966152017676,0.013358991663863335,0.12437810945273632,weak_mapping_support,True,Same-object E2-to-M persistence candidate for V; not cross-object reorganization evidence.
anomaly,ok,45,V,H,0.01386331327532776,0.9502487562189055,-0.08379446640316204,-0.4166746652953811,0.21398427720890423,0.6268656716417911,no_mapping_support,False,No route-level support for V_E2 to H_M under this scalar mapping.
anomaly,ok,45,V,Je,-0.3563329585523063,0.009950248756218905,-0.4466403162055335,-0.6541596962255208,-0.16789215915390168,0.004975124378109453,clear_mapping_support,False,Cross-object E2-to-M mapping candidate: V_E2 may correspond to Je_M in same-year variability.
anomaly,ok,45,V,Jw,-0.3013967494696575,0.05472636815920398,-0.21857707509881422,-0.49535509625153745,0.03736068056196396,0.15920398009950248,weak_mapping_support,False,Cross-object E2-to-M mapping candidate: V_E2 may correspond to Jw_M in same-year variability.
anomaly,ok,45,H,P,-0.1229073095852755,0.3880597014925373,-0.15928853754940708,-0.45608365206906437,0.11227859252723651,0.30845771144278605,no_mapping_support,False,No route-level support for H_E2 to P_M under this scalar mapping.
