year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z
2021,anomaly,E2,P,27,38,2.129246276826915,,-0.923474101533685
2022,anomaly,E2,P,27,38,3.7013198165242467,,0.36326874009772187
2023,anomaly,E2,P,27,38,2.3140963682424625,,-0.772174225352536
1979,anomaly,M,P,40,48,4.503205246416132,,1.019612295705535
1980,anomaly,M,P,40,48,6.7126577484975565,,2.828050081335608
1981,anomaly,M,P,40,48,4.40756697117584,,0.9413323279152795
1982,anomaly,M,P,40,48,3.4251820005009916,,0.137249823616205
1983,anomaly,M,P,40,48,4.523454637605783,,1.0361864307588442
1984,anomaly,M,P,40,48,2.951285028210787,,-0.2506350439597854
1985,anomaly,M,P,40,48,3.9228904251498737,,0.5446243747837622
1986,anomaly,M,P,40,48,4.67340507707559,,1.1589209274061227
1987,anomaly,M,P,40,48,3.6119086146166404,,0.29008563440253726
1988,anomaly,M,P,40,48,3.08610000062791,,-0.1402889333472586
1989,anomaly,M,P,40,48,4.144473067629551,,0.7259898591843139
1990,anomaly,M,P,40,48,3.3041586098524633,,0.038192128378273085
1991,anomaly,M,P,40,48,4.899358542332519,,1.3438639320553456
1992,anomaly,M,P,40,48,2.2167734750363426,,-0.8518330536437003
1993,anomaly,M,P,40,48,3.9031922104213956,,0.5285013778916019
1994,anomaly,M,P,40,48,3.817276707072949,,0.45817950291108617
1995,anomaly,M,P,40,48,5.2029962018253375,,1.5923914817762832
1996,anomaly,M,P,40,48,7.18025237066815,,3.210776472735334
1997,anomaly,M,P,40,48,2.8352021301537307,,-0.3456489439707882
1998,anomaly,M,P,40,48,3.491298909320957,,0.19136654079679347
1999,anomaly,M,P,40,48,3.1842755396932865,,-0.059932214068083266
2000,anomaly,M,P,40,48,5.861358525127662,,2.1312613153542896
2001,anomaly,M,P,40,48,5.13277927924958,,1.5349189016429532
2002,anomaly,M,P,40,48,2.9199775752677355,,-0.27626020712609606
2003,anomaly,M,P,40,48,4.035485808852439,,0.6367837428549982
2004,anomaly,M,P,40,48,4.040850029733134,,0.6411743598616894
2005,anomaly,M,P,40,48,3.3190114360626515,,0.05034917276668921
2006,anomaly,M,P,40,48,6.302573689487509,,2.4923961096391425
2007,anomaly,M,P,40,48,3.4311073061975796,,0.14209968877647625
2008,anomaly,M,P,40,48,8.932008100225332,,4.644589260989805
2009,anomaly,M,P,40,48,3.6803905888866253,,0.3461381586309233
2010,anomaly,M,P,40,48,3.890053213676474,,0.5177471036284517
2011,anomaly,M,P,40,48,3.641194182197637,,0.31405588356480946
2012,anomaly,M,P,40,48,3.397790348133555,,0.11482974483856652
2013,anomaly,M,P,40,48,4.544747890541271,,1.0536149670823172
2014,anomaly,M,P,40,48,3.9986197985700387,,0.6066088982103124
2015,anomaly,M,P,40,48,4.508528927944606,,1.0239697312356866
2016,anomaly,M,P,40,48,2.4878314198908695,,-0.6299720138121708
2017,anomaly,M,P,40,48,3.7126813399404193,,0.37256815170705554
2018,anomaly,M,P,40,48,4.092615160215502,,0.6835441405445487
2019,anomaly,M,P,40,48,2.8214975055031437,,-0.3568661849083739
2020,anomaly,M,P,40,48,3.06795092775523,,-0.1551439569905313
2021,anomaly,M,P,40,48,5.362732715051327,,1.7231358838354098
2022,anomaly,M,P,40,48,5.505573138964063,,1.8400508298122347
2023,anomaly,M,P,40,48,2.7590401374945754,,-0.40798756642315753
