mode,year,source_cluster,target_cluster,X_E2,Y_M,n_valid_source,n_valid_target,missing_objects
anomaly,1979,E2,M,"[-0.779251620552217, -1.1702980160866636, -0.8460824329328918, 0.8133664427882137, 0.8380124599781218]","[1.019612295705535, 1.0079779619352596, 2.020627308066308, 0.7740250974276676, 2.4944521049530284]",5,5,
anomaly,1980,E2,M,"[0.1300738210319262, -0.4438892693595573, -1.1618726056156157, 0.7416467636271914, -0.201730865386044]","[2.828050081335608, 0.8889049781039249, -0.5931060818375012, 0.7562051895593874, -0.8885325654129013]",5,5,
anomaly,1981,E2,M,"[-0.9567029713061254, -0.699769598671127, -0.8968510924391081, -1.6450354256531887, -1.7865473698108625]","[0.9413323279152795, 0.6424292935366649, 1.324271014344877, -1.015297536472303, -0.6805009214606735]",5,5,
anomaly,1982,E2,M,"[0.35747540363416325, 0.965689115758056, 0.2846868583318958, -1.084571507564751, 1.0494204590127811]","[0.137249823616205, -0.6146731063458458, -0.7893605784135987, -0.37809777545507445, -0.25276033701241124]",5,5,
anomaly,1983,E2,M,"[-0.7364887472200121, -0.44719299873370677, 0.45192603444173174, -1.0899427742909158, 0.03331552657250502]","[1.0361864307588442, 0.0009338684496717566, -0.8337539754769432, 0.3111272257469893, 0.3178467220702134]",5,5,
anomaly,1984,E2,M,"[0.3771116768065756, -0.10737493115695963, 0.6611039225649935, -0.25140976600280834, -1.2323427912793363]","[-0.2506350439597854, -0.7719850261648561, 0.1936520595433985, -0.6122023180630236, 0.4031808626181023]",5,5,
anomaly,1985,E2,M,"[-0.03299174589290082, 1.872938790804515, 0.29536055479934487, 0.1548935254736305, -0.1608332027153622]","[0.5446243747837622, 0.38201779857664236, 0.7981792919975945, -0.6530111129062957, -0.8707655763103924]",5,5,
anomaly,1986,E2,M,"[-1.1639090231316973, -0.8356491982791235, -0.7065580770849241, -0.746552943459522, -0.645770028327292]","[1.1589209274061227, 0.2972639625440485, 0.22671926955578228, -0.10749119361622399, -1.2446608326935744]",5,5,
anomaly,1987,E2,M,"[-1.0688927878360313, -0.520046031366513, -0.8294200460162047, -1.3936986924260992, -0.0058547820983606644]","[0.29008563440253726, -0.09154986752886135, -0.9466994471114122, -0.5740416957145857, 0.7698193839337434]",5,5,
anomaly,1988,E2,M,"[-0.40348609320624557, -0.5069589114068282, -1.0094024666783863, 0.47406360094866923, -0.6382670733012844]","[-0.1402889333472586, -0.2897688637751869, -0.7718260230116428, 0.08204535544178189, 0.08302842492319351]",5,5,
anomaly,1989,E2,M,"[-0.6373738582336382, -1.2516695747070938, 0.0683860150421583, 0.4157624135660893, -0.35581270453947456]","[0.7259898591843139, -0.2149823156301488, -0.6692324496325313, 1.600258672873232, -0.16486630590742324]",5,5,
anomaly,1990,E2,M,"[-0.8065921705325673, -0.35762627112965106, -1.0933018260899376, -1.4062884481587599, -0.19660407801380198]","[0.038192128378273085, -0.7162983673922637, -0.7194595014102739, -0.2257109796357169, -1.4153420000357317]",5,5,
anomaly,1991,E2,M,"[-1.1393582228395214, 0.03366077304495861, 0.41177975027646624, 0.8010376670842008, 1.3012788314378567]","[1.3438639320553456, -0.48697120324545146, -0.12323157408946896, 0.11284553019629512, -0.41461732756856123]",5,5,
anomaly,1992,E2,M,"[-0.6884912109259074, 0.35553050724636504, -0.8269986497401756, -1.7857283410386313, -0.07607838379741819]","[-0.8518330536437003, -0.8563871371946367, -0.8609984142866959, -0.8656991957240766, -0.2904665978794694]",5,5,
anomaly,1993,E2,M,"[0.22856772338985704, 0.07204847805487617, -1.0271055991835956, 2.0028064364081875, 1.0952736033131654]","[0.5285013778916019, 1.2217412783008954, -0.13107115746548872, 0.09352794481014445, -0.637899453704044]",5,5,
anomaly,1994,E2,M,"[-0.1458105241932237, 0.03809234069882771, -0.06547581654056381, 0.21513833142569777, 0.9959210771832943]","[0.45817950291108617, 0.8733984515587198, -0.6827177998978624, -0.6990626610471278, -1.2739760827453637]",5,5,
anomaly,1995,E2,M,"[-0.7355697341959349, -0.7046478521366057, -0.8790658839409589, -1.3497200960489222, 0.0917761850692605]","[1.5923914817762832, -0.7638095980786113, 0.5099096532269206, 0.4014586096832207, 3.0215019837434007]",5,5,
anomaly,1996,E2,M,"[-1.2310588812682506, -0.6560367705833188, -0.6064224384885218, -0.09076284512834876, 1.9352056154191242]","[3.210776472735334, 3.0180258505347934, 0.30013890863109666, 1.5629465703826428, 0.33456874650866014]",5,5,
anomaly,1997,E2,M,"[-0.623363622842668, 1.0711996598517153, 0.18470132671538508, 1.9680038751927713, -0.8853182390580318]","[-0.3456489439707882, -0.3833779951478441, -0.9804351248131106, -2.335516432696988, 0.45688345543833814]",5,5,
anomaly,1998,E2,M,"[-0.23208822795187417, 1.1544437505964564, 3.6229080204584467, 1.4703423717723063, 0.5519094201390757]","[0.19136654079679347, 0.39330770957534383, 1.2021074809894672, -1.574051382977299, 0.6811987334816739]",5,5,
anomaly,1999,E2,M,"[1.575328428349929, 1.200923277151018, -0.07117033135878165, 0.15193366418963775, 0.5755980598977433]","[-0.059932214068083266, -1.2141354961573085, -0.3401391971773692, -1.1392283545196256, -1.945359451246741]",5,5,
anomaly,2000,E2,M,"[0.17742323781251876, 1.8173973619778447, 0.23571878961545778, 1.7698378770378518, -1.0029710106743912]","[2.1312613153542896, 0.9739170761048043, 1.4592341854202424, 0.9144352809208979, -0.07298622364679828]",5,5,
anomaly,2001,E2,M,"[-0.8307582913880105, -1.1119901015667182, -1.50099193523481, -0.04170738678796716, -0.0829561954136482]","[1.5349189016429532, -0.05871567346834675, -1.3520836471915203, 1.2712319104064493, -1.1900156053462616]",5,5,
anomaly,2002,E2,M,"[0.05722899658389934, 0.5810994164433677, 1.3264577528722161, -0.38162015874314853, -0.6053158209375565]","[-0.27626020712609606, -0.5459877017782807, -0.9542138308415841, -0.9646340611034252, -1.607176170260625]",5,5,
anomaly,2003,E2,M,"[-0.5288810298966228, -0.6843990681276348, -0.2147676844619603, 1.0034599839537495, -0.17621127861958527]","[0.6367837428549982, -0.7753287537670607, -1.1641336147881671, -0.752390830038669, 2.1499703020930494]",5,5,
anomaly,2004,E2,M,"[-0.6356584172026039, -0.48874229163884936, -0.7836878826599375, 0.7764748004697998, 0.04560436621806334]","[0.6411743598616894, 1.4799869888150363, 0.14417513180995814, 1.888860574005574, 0.7035113516522611]",5,5,
anomaly,2005,E2,M,"[-0.7313031835398527, -0.1640203978282183, -0.5563013128693114, -0.6002739811089614, -1.249405575843933]","[0.05034917276668921, 1.4348784204153824, -0.8500414957012357, 0.25958098385767125, 0.8916511445077038]",5,5,
anomaly,2006,E2,M,"[-1.1313631304327672, -0.9904442519511573, -0.2073336225173937, -0.5314044197608551, 0.4316133666733504]","[2.4923961096391425, 2.49975382453066, 1.0716179748725643, 2.3086006964747936, -1.1399780516123548]",5,5,
anomaly,2007,E2,M,"[-0.20424321411292348, -0.20048778273179593, -0.12800880755393118, 0.5570361634843105, -1.350112912296081]","[0.14209968877647625, 0.025595969889179993, -0.006653803713073846, -0.4404608970461379, -1.079948197324524]",5,5,
anomaly,2008,E2,M,"[0.30884224968358676, 0.8065000149063201, 0.3923526961100334, -1.6372539279641942, 0.6195984528927123]","[4.644589260989805, 3.8909890426618663, 2.010865427438292, 0.012773760158662226, -1.5920196027242433]",5,5,
anomaly,2009,E2,M,"[2.6974018582469728, 3.0718287589417748, 1.0361271786408146, -0.3416444268051523, -0.45510168029379133]","[0.3461381586309233, -0.5747158051368824, -0.05447858464439416, 0.7440961101749978, -1.1145864332087425]",5,5,
anomaly,2010,E2,M,"[0.6178794600819514, -0.7389322691634418, -0.6686826264829772, 0.17358778021799456, 0.02847547619794826]","[0.5177471036284517, -0.13472037095531256, -0.8939432672118389, -0.4699959877048598, 0.6521987493374031]",5,5,
anomaly,2011,E2,M,"[-0.20618582827287665, 0.7057235303196843, -0.967088493432121, 1.0124801716432037, 0.4885616319233422]","[0.31405588356480946, -0.6281070779538837, -1.4544746281901446, 0.2480131804406479, 0.38918421707985834]",5,5,
anomaly,2012,E2,M,"[-1.0252611073276814, -0.1941068207748303, 0.33770613297933055, -0.41934919557644257, -0.3213276398057105]","[0.11482974483856652, -0.6514632061448586, -0.47953896289526715, -0.39858204480125764, 0.4510943806993726]",5,5,
anomaly,2013,E2,M,"[-0.6521827552808309, 0.040121867631712785, 0.49055630186415883, 0.6996686016395498, -1.1707998353256726]","[1.0536149670823172, -0.11137644210740401, -1.072951828572943, -0.6761794014985152, 0.36492688937881423]",5,5,
anomaly,2014,E2,M,"[-0.18011244000544896, -0.8916454613032679, -0.6606679494325375, 0.4587401730536763, -0.14134996439750658]","[0.6066088982103124, 0.3560875024655672, -1.132790819760036, -0.0412696064932155, 1.7594933366701215]",5,5,
anomaly,2015,E2,M,"[-1.058072789617614, -1.3820748744677678, -1.6595124334988642, -0.735028323740642, 0.02951398656259278]","[1.0239697312356866, 0.9808207523632141, 0.5032150583470778, 1.4575105317970498, -0.6473599133389734]",5,5,
