mode,year,source_cluster,target_cluster,X_E2,Y_M,n_valid_source,n_valid_target,missing_objects
anomaly,2016,E2,M,"[-0.4154914068867132, -0.30677438970343907, -0.2764295502131358, -1.0825664767744305, 0.6872435210439142]","[-0.6299720138121708, -0.3432858439466862, 0.9921470680915008, -1.318098074536463, 0.2937700081220811]",5,5,
anomaly,2017,E2,M,"[-0.9064629797589729, -0.8095624779304532, -0.744507322492623, -1.0207182653222928, -0.2095037792987538]","[0.37256815170705554, -0.35656794919834434, -1.0513937256274224, 0.13833432358997258, -0.4057031243740028]",5,5,
anomaly,2018,E2,M,"[-0.7974061916275648, -0.8238764601269648, 0.8888573117523904, -0.9943746367428108, -0.6669755728347613]","[0.6835441405445487, 1.5151397859508802, 1.8644752000660376, -0.6459344742465323, 0.47281522893594885]",5,5,
anomaly,2019,E2,M,"[0.7081918497060719, 0.4023173942041514, -0.5871864469184471, 0.3202958828862437, 2.73309150809112]","[-0.3568661849083739, 0.24564679671100845, -0.5463842186548299, 0.5882792640932544, 0.4125415465067906]",5,5,
anomaly,2020,E2,M,"[-0.15120492285477968, -0.9858686033343679, 0.7284887567124654, -0.7097523287941122, -0.16913360433354271]","[-0.1551439569905313, -0.13693216966950145, -0.524011839325284, 0.7140317287612573, 0.2419674487902665]",5,5,
anomaly,2021,E2,M,"[-0.923474101533685, -1.3583304333267194, -0.4086799417788682, -0.5329016122095004, -1.116816528337539]","[1.7231358838354098, 2.1124066116752203, 1.526032679127152, 0.09752188734670697, -0.29595982565129625]",5,5,
anomaly,2022,E2,M,"[0.36326874009772187, -0.33273879259740186, -0.8349445705919729, -0.8555219500149824, -1.5483940606774276]","[1.8400508298122347, 0.9869037144000095, -0.5860616750218464, -0.4593317940455115, 0.6965384286124097]",5,5,
anomaly,2023,E2,M,"[-0.772174225352536, -1.1518484224617964, -0.5624979701622941, -0.36154415714366933, 1.2456176357183066]","[-0.40798756642315753, -0.34294997812595707, -0.0027965364637547547, 2.0428011643267694, 1.0568165265880927]",5,5,
local_background_removed,1979,E2,M,"[0.4855873429075836, -0.017229657748075108, -0.9463747538265329, -0.7867883888670119, -0.35895521468512503]","[0.4682648991702451, 0.6555173452270581, 1.0710522618914855, 0.2079299348050238, 1.8582708234048002]",5,5,
local_background_removed,1980,E2,M,"[0.8154946476260778, -0.7040576073938875, -0.8929898010903616, -0.05000289301000053, -1.0679961802764781]","[3.0845474502646746, 0.8659014864915966, -0.4615536792610221, -0.4842990471928541, -0.4770105398889192]",5,5,
local_background_removed,1981,E2,M,"[0.0841022806070543, 0.7856761529860969, 1.6658558191759083, 0.03384446009598274, -1.2098309418175046]","[0.8904507018131994, 0.30270226019471375, 1.243409381635014, -1.2894624948509068, -0.4690071949836239]",5,5,
local_background_removed,1982,E2,M,"[0.18883121404036124, 1.395164126066616, 1.000795236302397, -0.452977354893374, 0.3940103985752299]","[0.2684626515849227, 0.4312544264866614, 0.5137987868558194, 0.6211667195984594, 1.8477379928402091]",5,5,
local_background_removed,1983,E2,M,"[-0.17783479437329075, -1.0604617957072673, -0.7166085899655054, -0.9086787545845784, -1.3235712452511994]","[0.7640498554851013, 0.19685593394272022, -0.14188102136184316, 0.12897006657798396, -0.2592700880682273]",5,5,
local_background_removed,1984,E2,M,"[-0.012270503056592861, -0.7598807025526341, -1.5232549642213151, 0.2003305876994091, -1.1413228454346704]","[0.198127058124177, -0.37375616462288513, -1.6755066658411968, 1.547717487378277, 0.6902506592458297]",5,5,
local_background_removed,1985,E2,M,"[-0.32071953639915296, 1.8695133587946935, -0.2534667390173501, 0.562392888903346, -0.42275886666547924]","[-0.10514025888538582, -0.542446590257704, 1.2657651079687584, -1.6605332943646434, -1.0712371155662332]",5,5,
local_background_removed,1986,E2,M,"[-0.22101967720004023, -0.03913511206758896, -1.3104404051256064, -1.245955782788337, 0.010554089125674479]","[0.0856826212235388, -0.19106218594669733, -1.3889715430737062, -0.14532175603704664, -1.0709905341432704]",5,5,
local_background_removed,1987,E2,M,"[-1.1026743634574334, -0.5429881812542975, 0.2280069705849823, -0.7259458799799774, 0.6077151047770347]","[-0.492059697316655, -0.5303252413213456, -0.9540466870194478, -0.796002953049722, 0.6681496933214333]",5,5,
local_background_removed,1988,E2,M,"[-0.2274401644459914, 0.34751821772339414, 0.4153907685026606, 0.6779998757321154, 0.012219572369900155]","[0.3147822231929034, -0.3263445774426833, -0.7245415624555387, -0.6114928403607558, 0.28100566659777015]",5,5,
local_background_removed,1989,E2,M,"[-0.4942887893679697, -1.2749442100055906, -0.8585969375191775, -0.8543520744957709, -1.3619568372466895]","[0.3479192670669702, -0.505652407409195, -0.2050852988184892, 1.1993771697661095, 0.3033031144257011]",5,5,
local_background_removed,1990,E2,M,"[-0.1916435173492367, 0.19746027784888973, -0.13259335800549743, -0.22937949727092644, 0.674620514542552]","[0.2365760616651395, -0.94603734554957, -0.5841277063111329, 0.36948194699942966, -0.8213834210480706]",5,5,
local_background_removed,1991,E2,M,"[-0.10249636777298994, 0.5384859518451155, 1.6567303844263523, -0.10781675555691402, 1.8402674330642645]","[1.2273793686264292, 1.9444835787325163, -0.16719604215005443, 1.8417952899596168, -0.1290994651254625]",5,5,
local_background_removed,1992,E2,M,"[-0.8972498637860599, 0.9488356651489049, -0.06604415228884178, -1.8715120708461763, 0.6770785793661497]","[-0.23560202036764183, 0.5212747944629432, 1.5865529176576072, 2.4292238784426914, 0.9629275508703664]",5,5,
local_background_removed,1993,E2,M,"[-0.020004175860617254, -0.3416712652469907, -1.1474949218213426, 0.6805158164998649, 0.8767009044047673]","[0.8861282497074939, 1.7317872436509032, 1.5787313205291507, -0.03776366669846244, -0.7375885966400804]",5,5,
local_background_removed,1994,E2,M,"[0.6549461469912757, 0.6875163651405394, 0.9607910565310507, 0.2780731651925838, 1.0592559917816393]","[1.9954318270779061, 1.8664893559331215, 0.14779432216534194, -0.05006616950060379, -1.1768000464707147]",5,5,
local_background_removed,1995,E2,M,"[-0.22951509545536322, -0.48625608158280187, -1.0456200512542921, -1.3852051525405147, 1.4950878660809717]","[2.0280002680652998, -0.7362000605477769, 1.1637937614480491, 0.889220460202446, 1.732685561938002]",5,5,
local_background_removed,1996,E2,M,"[1.7886698626961242, 1.5568723949959604, -0.12213485918545079, -0.4054431629037684, 2.0560796748317305]","[3.7695786907435385, 2.796839950416997, -0.508963996435952, -0.019830822138451547, 0.7816463057904118]",5,5,
local_background_removed,1997,E2,M,"[-0.276462011902058, 2.942786182579682, 1.7492737924132375, 3.3810359160691643, 0.5013184191112519]","[0.378687279483057, -0.10655812722475927, -0.7311372597090403, -2.443624338795882, 2.4829894443105083]",5,5,
local_background_removed,1998,E2,M,"[-0.6855664950372934, -1.3580307536584173, 0.3399027341391941, 1.074667688661271, -0.9050059568258714]","[0.5504005989857061, -0.6281517866867199, -1.3794988652583322, -1.0100930760054334, 1.6184731490209237]",5,5,
local_background_removed,1999,E2,M,"[1.3752265981293303, 0.5851034471230828, -0.9006142522116344, 0.05689582577089431, -0.14100890547689449]","[0.3417027645878203, -0.5119547023320528, -1.109162909314282, -0.922134262773755, -0.8988773970766567]",5,5,
local_background_removed,2000,E2,M,"[0.40959543181549646, 0.8729012842443368, 0.08708936169245102, -0.9350728690458278, -0.6594810411608646]","[1.6813020716087375, 0.669718057490351, 1.8799891987901618, 0.7085090769297901, -0.20243278345880528]",5,5,
local_background_removed,2001,E2,M,"[-0.41641155744614605, -0.8547725861176858, -1.6029027519709282, -0.6689917112256069, -0.26474120119463534]","[0.09449946056722285, -0.9508659786706501, -1.777159250926294, 0.5694738163931076, -1.3687999120739547]",5,5,
local_background_removed,2002,E2,M,"[-0.38681267840615374, -0.2028284942554165, 0.8221245270547779, 0.44723174656092796, 0.8329790238950449]","[0.4880796228659128, 0.0163773184367, -0.14803634104671698, -0.42988352650160044, -0.6429392541017693]",5,5,
local_background_removed,2003,E2,M,"[-0.19112236807375693, -0.2797086561158163, -0.9394112392071797, -0.8750162534152247, -0.31607716233232014]","[1.8111083316053769, -0.3068328618019021, -0.20637912988861581, 0.8185007237954671, 1.702949864013176]",5,5,
local_background_removed,2004,E2,M,"[-0.7845221491954221, -0.6315674793636437, -1.2803563076632976, -1.1316244564233342, 0.7256723399191525]","[0.767140876559858, 0.8754952385856232, -0.11031581136541349, 1.178573355393204, 1.284531993800958]",5,5,
local_background_removed,2005,E2,M,"[-0.5878075406467294, -0.14010918811050074, 0.07866123103816168, -0.03373113023971841, -0.5015368821243509]","[-0.4794384022198365, 0.6711056368316541, -0.3928299482441659, -0.25600211373013826, 0.932312237479547]",5,5,
local_background_removed,2006,E2,M,"[0.4544573081534392, 1.7090709207207575, 0.8254528446329829, -0.7468333316775011, 0.8514776916107129]","[2.967534575301109, 3.24115119293586, 0.8263766614172221, 1.820044256509888, -0.7548879958698647]",5,5,
local_background_removed,2007,E2,M,"[-0.8216426385296245, -1.4736996177022692, -0.5265880725110375, 0.043342456659455304, -0.45565902690075827]","[-0.7248719064071703, -1.0158771378199614, -0.5640124173816053, -0.9070155083922881, 0.11366873030175044]",5,5,
local_background_removed,2008,E2,M,"[0.09074514655518047, 0.260015641377393, -0.20955666551772195, 0.33720575832590344, 1.6107605769685462]","[3.69867557283957, 2.7265310453493776, 1.2554787683287951, 0.5415016107345996, -0.4395344458588244]",5,5,
local_background_removed,2009,E2,M,"[1.4806173907758038, 2.3658470147475454, 1.342204214053547, 1.2935108261594959, -1.2837956034531408]","[0.7130299118945739, 1.6410655164964605, 3.505905591980435, 2.9860196039784452, -0.1794540569209821]",5,5,
local_background_removed,2010,E2,M,"[0.8617641464925243, -0.6219520565926198, -0.5037753641816529, -0.5570182398485551, -0.3126267335569781]","[1.1006186779470464, 0.3555952857660007, -0.17800709408672152, -0.9954271342977786, 0.08776520737238762]",5,5,
local_background_removed,2011,E2,M,"[0.2864552178803808, 1.3645054609447056, 1.5552060248751467, 0.16709431541652864, 0.11145116449766604]","[1.0274330878093865, -0.31717412073639284, -0.845701562743746, -1.1544596760651802, -0.7476409167823889]",5,5,
local_background_removed,2012,E2,M,"[-0.3388893255302125, 0.7807774382390017, 0.1760205292620397, -0.9102043952184574, -1.4632127009758424]","[-0.2923622675915151, -0.061125444925539126, -0.9911083982594503, -0.3495485951298076, -0.4744180044007914]",5,5,
local_background_removed,2013,E2,M,"[-0.08857803949134846, -0.20884332882153434, 0.4235706384201787, -0.38138397737681967, -1.248246159874266]","[1.0572586168616234, -0.06521373534238972, -1.0136177938269677, -0.09726460270763795, 1.3006241002147712]",5,5,
local_background_removed,2014,E2,M,"[-0.23729719564809565, -0.4009107536537874, 0.18822636436123513, -0.2718534419290502, -0.96529975530933]","[-0.3784267161769751, -0.04938666581293969, -1.249637708365866, -0.04142767903302428, 1.30866756490123]",5,5,
local_background_removed,2015,E2,M,"[-1.0245344079779348, -0.8994161814532425, -0.037862204447481805, -0.20258108482581813, 0.014233107754204439]","[0.8982395698956713, 0.575444518776482, 0.19929244686948155, 1.8956293462295606, -0.9431530349002558]",5,5,
local_background_removed,2016,E2,M,"[-0.9508959588136645, -0.9442572068581243, -0.7624775590842442, -0.24522101968689583, 0.9374239262079614]","[-0.1700652494492196, 0.3389487152528477, -0.48006037640248356, -1.8042652571178164, 0.253038127861968]",5,5,
local_background_removed,2017,E2,M,"[-0.22139596208614948, -1.0595626863157912, 0.7967727535384004, -0.8737847106495457, -0.39168886101959427]","[-0.33316295099643006, -1.7392692474602711, -0.5882603267584436, -0.49565958081093314, -0.6525411953918518]",5,5,
local_background_removed,2018,E2,M,"[-1.118698136725926, -0.6417313936486896, 0.7791663148371173, 0.5539818256572377, 0.8632079800861374]","[-1.0200945455343555, 0.4929894056639048, 0.21721558439496835, -0.37578940022263285, 0.13517061900669386]",5,5,
local_background_removed,2019,E2,M,"[0.33056743558998186, 0.7843619118508466, 1.293228157383337, -0.16269876767659075, 2.332714986886431]","[-0.2168459491369602, -0.22662480375304525, -0.8734684505869124, 0.28777485430131633, 0.22820775368962656]",5,5,
local_background_removed,2020,E2,M,"[-0.31628838113006347, -0.29545083836096675, 1.492694902483028, -0.61225555390051, 0.8006705655230492]","[0.10875000239610697, -0.6876803166266421, -0.09485421651828052, 0.3560220020261013, -0.9119516530837235]",5,5,
local_background_removed,2021,E2,M,"[0.16208902843747258, -0.2647373284363472, 0.8253918353146589, 0.2589647605862293, -2.0366874204247996]","[0.1660277230638395, 0.8436749420819935, 0.7190617677573299, -0.17123609405983511, 1.36405863992236]",5,5,
local_background_removed,2022,E2,M,"[0.18921383671615413, -0.3155594112692444, -0.7153440477127991, 0.16784626258310076, -1.210577999822013]","[0.7134965505805227, 0.04369389973594753, -0.2744156098824876, 1.2224314312620754, 2.6422993399317654]",5,5,
local_background_removed,2023,E2,M,"[-0.5118187501356215, -0.1028522516131826, -0.2919072353672289, -1.3616447231328033, 0.32403803856290053]","[0.4267540216631801, 0.43850176963054494, 2.0627127452740903, 2.981955081990105, 0.3292006539894148]",5,5,
raw,1979,E2,M,"[0.16389054544405185, 0.09863319887169611, -0.3541961810992826, 0.7912759748838465, 0.21069646551785653]","[1.824693310292677, 1.0951205460629114, -0.7720658115026392, 0.6427551420568702, 2.2061413490893176]",5,5,
raw,1980,E2,M,"[0.740558707728675, 0.5722901350941143, 0.40543972663544986, 0.8286723634493782, -0.6936613801022421]","[2.454579879333363, 1.322006884387134, 0.5767812315179097, -0.9228284470969997, -1.1703466160184162]",5,5,
raw,1981,E2,M,"[-0.6214777972683944, -0.39447529677969234, 0.37745206049600455, -0.80162713970457, -2.2889538128995084]","[1.5066280532029968, -0.29888279407198554, -0.9563532759734101, -0.5940722717578876, -1.3197774560061004]",5,5,
raw,1982,E2,M,"[0.8474930893896454, 1.808094564161563, -0.32587724062360524, -0.7933204408927521, 0.8663556525602178]","[-0.33130080001483136, -0.47019472211408075, 0.9568278731801155, -0.01608898629771572, 0.04753618020097305]",5,5,
raw,1983,E2,M,"[-0.34618428020168535, 0.8786238744900898, 1.19882880963099, -0.6825717130991769, -0.2463061183810643]","[1.7539823451610677, 1.2458814954234387, 0.15232077821679815, -1.5932614010959305, -0.4057048916871794]",5,5,
raw,1984,E2,M,"[0.177083883966785, -1.3278312967431711, -1.0957762362046208, -0.5836572567616845, -0.9577465176238722]","[0.8971978501481607, 0.2426929391961858, -0.4490558594068829, -0.7196964833883319, 0.05157800864405005]",5,5,
raw,1985,E2,M,"[-1.0010539611297373, 1.2490840169678898, 0.1611868826641946, -1.5523665194280112, -0.911258612114635]","[-0.9713320902382615, -0.8072803283153561, 1.22523154365569, -1.4180145503413626, -1.3899834403905253]",5,5,
raw,1986,E2,M,"[-0.9059834800341174, -0.9596293798872422, -0.3535648182246647, -0.9169488544184553, -0.4253617086801609]","[1.4100227361559943, 0.3003436646617661, -0.33663521138826696, -1.2474982607847382, -1.5540631157191636]",5,5,
raw,1987,E2,M,"[-0.8136893720870396, -0.5778492677287304, 0.24070673321902963, -0.747829509971945, -0.5397924031218667]","[0.8063787642494473, 0.7336014279303369, 0.9219690418701961, -0.809627320687566, 0.29561708090966937]",5,5,
raw,1988,E2,M,"[-0.06690419360589375, 0.9065893263807062, 0.5335903968356788, 0.45965449405479164, -1.3181639888388437]","[0.32948246016085, -0.3987889741691164, 1.1606832341110576, 0.5328528289683223, 0.3024939948673323]",5,5,
raw,1989,E2,M,"[0.37370166511688063, -0.024263327568801608, -0.7910309961351355, 0.5782157575608714, -0.6650304974945636]","[1.164910091342029, 0.7433777672976852, 0.534189526944858, 1.327377788210567, 0.13592301010759747]",5,5,
raw,1990,E2,M,"[-0.6091289058035534, -0.03179543802184671, -0.017019956309485666, -1.0641036844435467, -0.45898816416448673]","[0.3217534494455611, 0.33224805214407865, 0.790271480560699, 0.36931618607173866, -1.3963548100822865]",5,5,
raw,1991,E2,M,"[-0.6151588455934248, -0.7629544399858733, -0.07538706739175284, 0.6656308060917759, 0.7696134660605279]","[0.5258124241416927, 0.021668888071409983, 1.4368778601431014, 0.1784204562575775, -1.244089773761231]",5,5,
raw,1992,E2,M,"[-0.267144563259221, 1.070506451077929, 0.19165360515688962, -1.7489860350490494, -0.8390241234331475]","[0.2762749518901921, 0.03047072865909386, 0.12842256651714373, -0.7681683533903774, -0.259850478994891]",5,5,
raw,1993,E2,M,"[0.8592076554505635, 1.5319151953713093, 0.6456557492020025, 1.1548298063551181, 0.3336449178236202]","[-0.902879662261735, 0.16991309077141098, 1.279375352521704, -0.7340776658917288, -0.7369929914952936]",5,5,
raw,1994,E2,M,"[0.11223866276900035, -0.051929740032107326, -0.4838209756320312, 0.05372225048217025, 0.64126318546021]","[-0.13669500693927264, -0.8327764539648996, 0.9783384013270792, -0.04512507538819877, -0.9608349420401037]",5,5,
raw,1995,E2,M,"[-0.40226000295090497, -0.35417777432603187, -0.09602247011161703, -0.7606837960684094, 0.2126646327664023]","[1.9116026873867438, 0.18996123283300553, -0.4407534073447299, -0.8143620977715501, 2.562347933669659]",5,5,
raw,1996,E2,M,"[-0.4097795627318188, -1.0172738634645844, -0.41352273433859627, 0.31335750902862697, 1.1684654347603494]","[2.1019981617088668, 0.2981701628809836, -0.24997606938552222, 1.0204309506726668, 0.09019626415305705]",5,5,
raw,1997,E2,M,"[-0.3032479570053813, 2.2215257786643647, 0.7480067705161951, -0.4785876658214066, -1.0459626383698424]","[-0.25247549521866397, 0.47952832967249087, 0.12111991102985233, -1.2493509951217512, 0.6925280338071488]",5,5,
raw,1998,E2,M,"[0.4562882790892722, 2.0707110141480873, 2.176626861912506, -0.7946555147096611, -0.30380525924701113]","[1.2061608465481908, 1.6121095872309485, 1.786068218428844, -1.5841325729634645, -0.6433506440500923]",5,5,
raw,1999,E2,M,"[0.7500975207031279, -1.3152063290949605, -0.7291762752856632, 0.44486704683880296, 0.18511853866862168]","[0.33403143854407097, -0.002245196529034469, -0.17313284428333683, -0.44807348708698136, -1.3700967876403847]",5,5,
raw,2000,E2,M,"[-0.6768046065441683, -1.2372674637348142, -0.6504839835174381, 0.8796445808449975, -0.7249870169271826]","[1.422566020371158, -0.9779612028325204, -0.9360677099970665, 0.5217620752747055, -0.10724550720087085]",5,5,
raw,2001,E2,M,"[0.011665047905345607, -0.8896592749965809, -0.02075858683342768, 0.248984642102222, -0.2287419952568068]","[1.7192518549135012, -0.1301556842577537, 0.42026896023595134, 1.0844782102397856, -0.7648611122556828]",5,5,
raw,2002,E2,M,"[-0.856283416954042, -0.08614872994351819, 0.8934949571244895, -1.3288425407308602, -0.41592995865230437]","[0.5991751149889677, -0.10740396068576642, 0.27254920210608147, -0.15512283616326886, -1.3201539279884316]",5,5,
