baseline_config,field,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,P_proj_reference,S_pattern,S_pattern_dynamic_range,branch_validity_flag
C0_full_stage,H,0,,,,,,,,,0.017864114227701303,valid
C0_full_stage,H,1,,,,,,,,,0.017864114227701303,valid
C0_full_stage,H,2,,,,,,,,,0.017864114227701303,valid
C0_full_stage,H,3,,,,,,,,,0.017864114227701303,valid
C0_full_stage,H,4,20.860995061866376,56.864313516582044,0.2683938532172092,0.9991912260249356,0.986608780077187,-0.0125824459477486,-0.568206914841089,-0.22843496382227976,0.017864114227701303,valid
C0_full_stage,H,5,19.238630044477006,55.25328070264515,0.258264687420711,0.9992380657753194,0.9867213616222279,-0.012516704153091474,-0.5240913995404051,-0.22475486002204867,0.017864114227701303,valid
C0_full_stage,H,6,18.055463591667852,54.09128387052631,0.2502602574167207,0.9993729042016612,0.9871586194384646,-0.012214284763196637,-0.492433846722777,-0.20782598316646494,0.017864114227701303,valid
C0_full_stage,H,7,17.330850179764223,53.39253689234277,0.24505119023915412,0.9995465998473061,0.9878365007792257,-0.011710099068080404,-0.4735527456669891,-0.17960260255605615,0.017864114227701303,valid
C0_full_stage,H,8,16.94192357711926,53.03380937472701,0.24211141294908373,0.9997189930451039,0.9884856371968781,-0.011233355848225823,-0.46406746964739826,-0.15291540084104974,0.017864114227701303,valid
C0_full_stage,H,9,16.967084841953756,53.07094230260646,0.24225532233986652,0.9997987069880389,0.9889381159164264,-0.010860591071612413,-0.4652457726855935,-0.13204871963525136,0.017864114227701303,valid
C0_full_stage,H,10,17.08043112204945,53.185782329317696,0.24308170716885444,0.9998104866099684,0.9891845966930242,-0.010625889916944242,-0.46843064249315103,-0.11891058405928043,0.017864114227701303,valid
C0_full_stage,H,11,16.831137646552058,52.92382976478494,0.24128944892627907,0.9997985713719418,0.9895349522073851,-0.010263619164556759,-0.4610474156407526,-0.09863133887701878,0.017864114227701303,valid
C0_full_stage,H,12,15.937125342719737,52.01768950185898,0.23452532950269916,0.9997637886328135,0.9897336662725297,-0.010030122360283777,-0.43593125644154096,-0.08556062060368254,0.017864114227701303,valid
C0_full_stage,H,13,14.877499013376669,50.94311874607559,0.22603098420844228,0.9997258615238291,0.9898878882076958,-0.009837973316133342,-0.4061618027305513,-0.07480447329622318,0.017864114227701303,valid
C0_full_stage,H,14,13.305701782040222,49.35790576838088,0.21233539373445803,0.9997102000737197,0.9900561151534499,-0.009654084920269757,-0.3623778862712972,-0.06451074176720982,0.017864114227701303,valid
C0_full_stage,H,15,10.991557019590406,47.08047542913672,0.18927453640089237,0.9998345039362383,0.9902356494229746,-0.0095988545132637,-0.30000240136378753,-0.06141904596286855,0.017864114227701303,valid
C0_full_stage,H,16,8.716567295941019,44.834757982146805,0.1627703376279965,0.9999116351664284,0.9904037483500946,-0.009507886816333855,-0.2383233573503246,-0.05632684291432423,0.017864114227701303,valid
C0_full_stage,H,17,6.815452287516165,42.92519680871412,0.1370197697728213,0.9999186094555506,0.9906611952648582,-0.00925741419069237,-0.18562439593877092,-0.04230584962862945,0.017864114227701303,valid
C0_full_stage,H,18,4.876710091247895,40.970082113419785,0.10636971218133327,0.9999238814890813,0.9909438711698878,-0.008980010319193488,-0.13166499543252633,-0.02677729512192341,0.017864114227701303,valid
C0_full_stage,H,19,2.6471385975835697,38.69698278345627,0.06402696463632025,0.9999169625896773,0.9909520406424339,-0.00896492194724341,-0.0689414262479804,-0.02593267602926886,0.017864114227701303,valid
C0_full_stage,H,20,0.7436545685483557,36.42161247349974,0.020009396615043785,0.9999579933785548,0.9909644427197395,-0.008993550658815352,-0.006159793871579358,-0.027535258234411136,0.017864114227701303,valid
C0_full_stage,H,21,1.5733668134843097,34.98799359488918,0.04303359601258076,0.9999588506860052,0.9911469707633682,-0.00881187992263699,0.033652814697334235,-0.017365667183730758,0.017864114227701303,valid
C0_full_stage,H,22,2.3942238049197098,34.16112018170165,0.06549586308901799,0.9999452054054034,0.9914215836720579,-0.008523621733345532,0.056722120621321696,-0.0012295080874983547,0.017864114227701303,valid
C0_full_stage,H,23,2.9383306684919295,33.67511667897192,0.08025277272055244,0.9999307795216374,0.9915751153039767,-0.008355664217660763,0.07041463883214912,0.008172442299961816,0.017864114227701303,valid
