baseline_config,field,branch,event_name,observed_day,event_status,invalid_reason,bootstrap_median,q05,q95,q025,q975,valid_bootstrap_count,total_bootstrap_count,valid_fraction
C0_full_stage,H,distance,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,36.0,35.0,50.0,35.0,51.0,306,1000,0.306
C0_full_stage,H,distance,growth_peak_day,36.0,valid,,37.0,36.0,51.0,36.0,51.0,669,1000,0.669
C0_full_stage,H,distance,growth_window_center,35.996217847929984,left_censored,positive_growth_window_active_before_search_start,36.53238100824015,35.0,50.983802711683474,35.0,51.05151283378811,526,1000,0.526
C0_full_stage,H,distance,growth_window_end,37.0,left_censored,positive_growth_window_active_before_search_start,38.0,35.0,52.0,35.0,52.0,526,1000,0.526
C0_full_stage,H,distance,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,36.0,35.0,50.0,35.0,50.875,526,1000,0.526
C0_full_stage,H,pattern,growth_onset_day,36.0,valid,,36.0,35.0,38.0,35.0,41.0,865,1000,0.865
C0_full_stage,H,pattern,growth_peak_day,38.0,valid,,39.0,36.0,43.0,36.0,45.0,916,1000,0.916
C0_full_stage,H,pattern,growth_window_center,38.50059322696508,valid,,39.047604614559205,36.45243707213963,42.487945170524284,36.41656181389694,43.70086315272814,891,1000,0.891
C0_full_stage,H,pattern,growth_window_end,41.0,valid,,42.0,38.0,46.0,38.0,48.5,891,1000,0.891
C0_full_stage,H,pattern,growth_window_start,36.0,valid,,36.0,35.0,40.0,35.0,42.0,891,1000,0.891
C0_full_stage,Jw,distance,growth_onset_day,43.0,valid,,43.0,36.0,48.0,36.0,49.0,998,1000,0.998
C0_full_stage,Jw,distance,growth_peak_day,50.0,valid,,50.0,43.5,52.0,38.0,52.0,991,1000,0.991
C0_full_stage,Jw,distance,growth_window_center,48.321815806186756,valid,,48.08342081246988,40.94475705072993,50.477654590540034,38.56297115698989,50.56671671037923,613,1000,0.613
C0_full_stage,Jw,distance,growth_window_end,53.0,valid,,52.0,45.0,53.0,41.0,53.0,613,1000,0.613
C0_full_stage,Jw,distance,growth_window_start,43.0,valid,,44.0,36.0,48.0,36.0,49.0,613,1000,0.613
C0_full_stage,Jw,pattern,growth_onset_day,37.0,valid,,37.0,36.0,45.0,36.0,46.57499999999993,938,1000,0.938
C0_full_stage,Jw,pattern,growth_peak_day,38.0,valid,,39.0,37.0,49.0,37.0,50.0,990,1000,0.99
C0_full_stage,Jw,pattern,growth_window_center,37.99464428531994,valid,,42.60695439107213,37.43634441595587,48.54710316496449,37.005643317120764,49.46336840190177,967,1000,0.967
C0_full_stage,Jw,pattern,growth_window_end,39.0,valid,,47.0,38.0,52.0,38.0,52.0,967,1000,0.967
C0_full_stage,Jw,pattern,growth_window_start,37.0,valid,,37.0,36.0,47.0,36.0,48.0,967,1000,0.967
C1_buffered_stage,H,distance,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,37.0,36.0,50.0,36.0,50.875,166,1000,0.166
C1_buffered_stage,H,distance,growth_peak_day,36.0,valid,,37.0,36.0,51.0,36.0,51.0,672,1000,0.672
C1_buffered_stage,H,distance,growth_window_center,35.99468158000736,valid,,37.01364596522356,35.48786385486523,50.99061120815389,35.0,51.412116052691594,374,1000,0.374
C1_buffered_stage,H,distance,growth_window_end,37.0,valid,,38.0,36.0,52.0,35.0,53.0,374,1000,0.374
C1_buffered_stage,H,distance,growth_window_start,35.0,valid,,36.0,35.0,50.0,35.0,50.0,374,1000,0.374
C1_buffered_stage,H,pattern,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,37.0,36.0,41.0,36.0,43.0,245,1000,0.245
C1_buffered_stage,H,pattern,growth_peak_day,38.0,valid,,39.0,36.0,49.0,36.0,50.0,913,1000,0.913
C1_buffered_stage,H,pattern,growth_window_center,39.13514538403352,left_censored,positive_growth_window_active_before_search_start,40.0741840187912,37.49661036485159,46.550594405667205,36.97864193975609,48.95010642236709,366,1000,0.366
C1_buffered_stage,H,pattern,growth_window_end,44.0,left_censored,positive_growth_window_active_before_search_start,44.0,39.0,52.0,38.0,52.875,366,1000,0.366
C1_buffered_stage,H,pattern,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,36.0,35.0,43.0,35.0,45.0,366,1000,0.366
C1_buffered_stage,Jw,distance,growth_onset_day,44.0,valid,,43.0,36.0,49.0,36.0,49.0,937,1000,0.937
C1_buffered_stage,Jw,distance,growth_peak_day,50.0,valid,,50.0,44.0,52.0,38.0,52.0,986,1000,0.986
C1_buffered_stage,Jw,distance,growth_window_center,48.71655778003682,right_censored,positive_growth_window_continues_after_search_end,48.43424689604892,44.258624544468226,50.93624064596106,41.26686941370047,51.02238559682851,562,1000,0.562
C1_buffered_stage,Jw,distance,growth_window_end,53.0,right_censored,positive_growth_window_continues_after_search_end,52.0,50.0,53.0,46.0,53.0,562,1000,0.562
C1_buffered_stage,Jw,distance,growth_window_start,44.0,right_censored,positive_growth_window_continues_after_search_end,44.0,37.0,49.0,36.0,49.0,562,1000,0.562
