bootstrap_id,field,baseline_config,branch,event_name,event_family,event_day,event_status
0,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
0,H,C0_full_stage,distance,S50_day,state,35.0,valid
0,H,C0_full_stage,distance,S75_day,state,51.0,valid
0,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
0,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
0,H,C0_full_stage,pattern,S25_day,state,36.0,valid
0,H,C0_full_stage,pattern,S50_day,state,40.0,valid
0,H,C0_full_stage,pattern,S75_day,state,63.0,right_censored
0,H,C0_full_stage,pattern,durable_S50_day,state,40.0,valid
0,H,C0_full_stage,pattern,durable_S75_day,state,63.0,right_censored
1,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
1,H,C0_full_stage,distance,S50_day,state,35.0,valid
1,H,C0_full_stage,distance,S75_day,state,41.0,valid
1,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
1,H,C0_full_stage,distance,durable_S75_day,state,41.0,valid
1,H,C0_full_stage,pattern,S25_day,state,40.0,valid
1,H,C0_full_stage,pattern,S50_day,state,44.0,valid
1,H,C0_full_stage,pattern,S75_day,state,52.0,valid
1,H,C0_full_stage,pattern,durable_S50_day,state,44.0,valid
1,H,C0_full_stage,pattern,durable_S75_day,state,52.0,not_durable
2,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
2,H,C0_full_stage,distance,S50_day,state,36.0,valid
2,H,C0_full_stage,distance,S75_day,state,51.0,valid
2,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
2,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
2,H,C0_full_stage,pattern,S25_day,state,38.0,valid
2,H,C0_full_stage,pattern,S50_day,state,42.0,valid
2,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
2,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
2,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
3,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
3,H,C0_full_stage,distance,S50_day,state,36.0,valid
3,H,C0_full_stage,distance,S75_day,state,49.0,valid
3,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
3,H,C0_full_stage,distance,durable_S75_day,state,49.0,valid
3,H,C0_full_stage,pattern,S25_day,state,39.0,valid
3,H,C0_full_stage,pattern,S50_day,state,43.0,valid
3,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
3,H,C0_full_stage,pattern,durable_S50_day,state,43.0,valid
3,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
4,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
4,H,C0_full_stage,distance,S50_day,state,37.0,valid
4,H,C0_full_stage,distance,S75_day,state,50.0,valid
4,H,C0_full_stage,distance,durable_S50_day,state,37.0,valid
4,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
4,H,C0_full_stage,pattern,S25_day,state,36.0,valid
4,H,C0_full_stage,pattern,S50_day,state,41.0,valid
4,H,C0_full_stage,pattern,S75_day,state,57.0,right_censored
4,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
4,H,C0_full_stage,pattern,durable_S75_day,state,57.0,right_censored
5,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
5,H,C0_full_stage,distance,S50_day,state,36.0,valid
5,H,C0_full_stage,distance,S75_day,state,51.0,valid
5,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
5,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
5,H,C0_full_stage,pattern,S25_day,state,36.0,valid
5,H,C0_full_stage,pattern,S50_day,state,41.0,valid
5,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
5,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
5,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
6,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
6,H,C0_full_stage,distance,S50_day,state,35.0,valid
