baseline_config,branch,event_family,event_name,H_event_status,Jw_event_status,H_day_observed,Jw_day_observed,observed_delta_Jw_minus_H,delta_median,delta_q05,delta_q95,delta_q025,delta_q975,P_H_leads,P_Jw_leads,sync_equivalence_pass,bootstrap_valid_fraction,final_decision,decision_level
C0_full_stage,distance,state,S25_day,left_censored,left_censored,4.0,32.0,28.0,,,,,,,,False,0.0,invalid_event,observed_event_invalid
C0_full_stage,distance,state,S50_day,valid,valid,35.0,46.0,11.0,,,,,,,,False,0.75,invalid_event,invalid_or_low_valid_fraction
C0_full_stage,distance,state,S75_day,valid,valid,51.0,52.0,1.0,,,,,,,,False,0.795,invalid_event,invalid_or_low_valid_fraction
C0_full_stage,distance,state,durable_S50_day,valid,valid,35.0,46.0,11.0,,,,,,,,False,0.75,invalid_event,invalid_or_low_valid_fraction
C0_full_stage,distance,state,durable_S75_day,valid,not_durable,51.0,52.0,1.0,,,,,,,,False,0.084,invalid_event,observed_event_invalid
C0_full_stage,pattern,state,S25_day,valid,valid,37.0,37.0,0.0,,,,,,,,False,0.736,invalid_event,invalid_or_low_valid_fraction
C0_full_stage,pattern,state,S50_day,valid,valid,41.0,42.0,1.0,1.0,-6.0,6.0,-9.0,6.0,0.440320962888666,0.25576730190571717,False,0.997,unresolved,method_unclosed
C0_full_stage,pattern,state,S75_day,right_censored,valid,58.0,48.0,-10.0,,,,,,,,False,0.366,invalid_event,observed_event_invalid
C0_full_stage,pattern,state,durable_S50_day,valid,valid,41.0,42.0,1.0,1.0,-5.799999999999997,6.0,-8.0,6.0,0.4527918781725888,0.23857868020304568,False,0.985,unresolved,method_unclosed
C0_full_stage,pattern,state,durable_S75_day,right_censored,valid,58.0,48.0,-10.0,,,,,,,,False,0.283,invalid_event,observed_event_invalid
C1_buffered_stage,distance,state,S25_day,left_censored,left_censored,27.0,30.0,3.0,,,,,,,,False,0.0,invalid_event,observed_event_invalid
C1_buffered_stage,distance,state,S50_day,left_censored,valid,34.0,45.0,11.0,,,,,,,,False,0.475,invalid_event,observed_event_invalid
C1_buffered_stage,distance,state,S75_day,valid,valid,50.0,52.0,2.0,2.0,-1.0,14.0,-2.0,15.0,0.6153846153846154,0.028985507246376812,False,0.897,unresolved,method_unclosed
C1_buffered_stage,distance,state,durable_S50_day,left_censored,valid,34.0,45.0,11.0,,,,,,,,False,0.475,invalid_event,observed_event_invalid
C1_buffered_stage,distance,state,durable_S75_day,valid,not_durable,50.0,52.0,2.0,,,,,,,,False,0.232,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,state,S25_day,valid,valid,37.0,36.0,-1.0,,,,,,,,False,0.51,invalid_event,invalid_or_low_valid_fraction
C1_buffered_stage,pattern,state,S50_day,valid,valid,40.0,41.0,1.0,0.0,-7.0,6.0,-9.0,7.0,0.35477386934673366,0.32763819095477387,False,0.995,unresolved,method_unclosed
C1_buffered_stage,pattern,state,S75_day,right_censored,valid,55.0,48.0,-7.0,,,,,,,,False,0.611,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,state,durable_S50_day,valid,valid,40.0,41.0,1.0,0.0,-7.0,6.0,-8.0,7.0,0.36585365853658536,0.31910569105691056,False,0.984,unresolved,method_unclosed
C1_buffered_stage,pattern,state,durable_S75_day,right_censored,valid,55.0,48.0,-7.0,,,,,,,,False,0.482,invalid_event,observed_event_invalid
C2_immediate_pre,distance,state,S25_day,left_censored,left_censored,4.0,4.0,0.0,,,,,,,,False,0.0,invalid_event,observed_event_invalid
C2_immediate_pre,distance,state,S50_day,valid,valid,39.0,47.0,8.0,8.0,-3.0,12.0,-4.0,12.0,0.8438438438438438,0.0980980980980981,False,0.999,unresolved,directional_tendency_only
C2_immediate_pre,distance,state,S75_day,right_censored,valid,54.0,53.0,-1.0,,,,,,,,False,0.236,invalid_event,observed_event_invalid
C2_immediate_pre,distance,state,durable_S50_day,valid,valid,39.0,47.0,8.0,8.0,-3.0,12.0,-4.0,12.0,0.82744702320888,0.10898082744702321,False,0.991,unresolved,directional_tendency_only
C2_immediate_pre,distance,state,durable_S75_day,right_censored,not_durable,54.0,53.0,-1.0,,,,,,,,False,0.011,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,state,S25_day,valid,valid,38.0,38.0,0.0,0.0,-5.0,3.0,-6.0,5.0,0.22376873661670235,0.30728051391862954,False,0.934,unresolved,method_unclosed
C2_immediate_pre,pattern,state,S50_day,valid,valid,42.0,43.0,1.0,0.0,-8.0,6.0,-9.0,7.0,0.3971915747241725,0.3370110330992979,False,0.997,unresolved,method_unclosed
C2_immediate_pre,pattern,state,S75_day,right_censored,valid,54.0,48.0,-6.0,,,,,,,,False,0.603,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,state,durable_S50_day,valid,valid,42.0,43.0,1.0,0.0,-7.0,6.0,-9.0,7.0,0.4024390243902439,0.33434959349593496,False,0.984,unresolved,method_unclosed
C2_immediate_pre,pattern,state,durable_S75_day,right_censored,valid,54.0,48.0,-6.0,,,,,,,,False,0.415,invalid_event,observed_event_invalid
