baseline_config,field,branch,event_family,event_name,observed_day,event_status,invalid_reason,threshold
C0_full_stage,H,distance,growth,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,0.039137818011322004
C0_full_stage,H,distance,growth,growth_peak_day,36.0,valid,,0.039137818011322004
C0_full_stage,H,distance,growth,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,0.039137818011322004
C0_full_stage,H,distance,growth,growth_window_center,35.996217847929984,left_censored,positive_growth_window_active_before_search_start,0.039137818011322004
C0_full_stage,H,distance,growth,growth_window_end,37.0,left_censored,positive_growth_window_active_before_search_start,0.039137818011322004
C0_full_stage,H,pattern,growth,growth_onset_day,36.0,valid,,0.05441111256562479
C0_full_stage,H,pattern,growth,growth_peak_day,38.0,valid,,0.05441111256562479
C0_full_stage,H,pattern,growth,growth_window_start,36.0,valid,,0.05441111256562479
C0_full_stage,H,pattern,growth,growth_window_center,38.50059322696508,valid,,0.05441111256562479
C0_full_stage,H,pattern,growth,growth_window_end,41.0,valid,,0.05441111256562479
C0_full_stage,Jw,distance,growth,growth_onset_day,43.0,valid,,0.020310565110665924
C0_full_stage,Jw,distance,growth,growth_peak_day,50.0,valid,,0.020310565110665924
C0_full_stage,Jw,distance,growth,growth_window_start,43.0,valid,,0.020310565110665924
C0_full_stage,Jw,distance,growth,growth_window_center,48.321815806186756,valid,,0.020310565110665924
C0_full_stage,Jw,distance,growth,growth_window_end,53.0,valid,,0.020310565110665924
C0_full_stage,Jw,pattern,growth,growth_onset_day,37.0,valid,,0.0459634996687795
C0_full_stage,Jw,pattern,growth,growth_peak_day,38.0,valid,,0.0459634996687795
C0_full_stage,Jw,pattern,growth,growth_window_start,37.0,valid,,0.0459634996687795
C0_full_stage,Jw,pattern,growth,growth_window_center,37.99464428531994,valid,,0.0459634996687795
C0_full_stage,Jw,pattern,growth,growth_window_end,39.0,valid,,0.0459634996687795
C1_buffered_stage,H,distance,growth,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,0.03587889537526132
C1_buffered_stage,H,distance,growth,growth_peak_day,36.0,valid,,0.03587889537526132
C1_buffered_stage,H,distance,growth,growth_window_start,35.0,valid,,0.03587889537526132
C1_buffered_stage,H,distance,growth,growth_window_center,35.99468158000736,valid,,0.03587889537526132
C1_buffered_stage,H,distance,growth,growth_window_end,37.0,valid,,0.03587889537526132
C1_buffered_stage,H,pattern,growth,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,0.02245633076401052
C1_buffered_stage,H,pattern,growth,growth_peak_day,38.0,valid,,0.02245633076401052
C1_buffered_stage,H,pattern,growth,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,0.02245633076401052
C1_buffered_stage,H,pattern,growth,growth_window_center,39.13514538403352,left_censored,positive_growth_window_active_before_search_start,0.02245633076401052
C1_buffered_stage,H,pattern,growth,growth_window_end,44.0,left_censored,positive_growth_window_active_before_search_start,0.02245633076401052
C1_buffered_stage,Jw,distance,growth,growth_onset_day,44.0,valid,,0.020869291036945858
C1_buffered_stage,Jw,distance,growth,growth_peak_day,50.0,valid,,0.020869291036945858
C1_buffered_stage,Jw,distance,growth,growth_window_start,44.0,right_censored,positive_growth_window_continues_after_search_end,0.020869291036945858
C1_buffered_stage,Jw,distance,growth,growth_window_center,48.71655778003682,right_censored,positive_growth_window_continues_after_search_end,0.020869291036945858
C1_buffered_stage,Jw,distance,growth,growth_window_end,53.0,right_censored,positive_growth_window_continues_after_search_end,0.020869291036945858
C1_buffered_stage,Jw,pattern,growth,growth_onset_day,36.0,valid,,0.030588739628714418
C1_buffered_stage,Jw,pattern,growth,growth_peak_day,38.0,valid,,0.030588739628714418
C1_buffered_stage,Jw,pattern,growth,growth_window_start,43.0,valid,,0.030588739628714418
C1_buffered_stage,Jw,pattern,growth,growth_window_center,46.53434164868127,valid,,0.030588739628714418
