baseline_config,field,branch,event_name,observed_day,event_status,invalid_reason,bootstrap_median,q05,q95,q025,q975,valid_bootstrap_count,total_bootstrap_count,valid_fraction
C0_full_stage,H,distance,S25_day,4.0,left_censored,threshold_already_reached_before_search_start,,,,,,0,1000,0.0
C0_full_stage,H,distance,S50_day,35.0,valid,,36.0,35.0,38.0,35.0,38.27499999999998,750,1000,0.75
C0_full_stage,H,distance,S75_day,51.0,valid,,51.0,39.0,53.0,38.0,53.0,938,1000,0.938
C0_full_stage,H,distance,durable_S50_day,35.0,valid,,36.0,35.0,38.0,35.0,38.27499999999998,750,1000,0.75
C0_full_stage,H,distance,durable_S75_day,51.0,valid,,50.0,38.0,51.0,38.0,51.0,683,1000,0.683
C0_full_stage,H,pattern,S25_day,37.0,valid,,37.0,35.0,40.0,35.0,40.0,980,1000,0.98
C0_full_stage,H,pattern,S50_day,41.0,valid,,41.0,38.0,47.0,38.0,50.0,999,1000,0.999
C0_full_stage,H,pattern,S75_day,58.0,right_censored,threshold_reached_after_search_end,44.0,41.0,52.0,40.0,52.0,366,1000,0.366
C0_full_stage,H,pattern,durable_S50_day,41.0,valid,,41.0,38.0,46.0,38.0,49.0,987,1000,0.987
C0_full_stage,H,pattern,durable_S75_day,58.0,right_censored,threshold_reached_after_search_end,43.0,41.0,50.0,40.0,51.0,285,1000,0.285
C0_full_stage,Jw,distance,S25_day,32.0,left_censored,threshold_already_reached_before_search_start,36.0,35.0,38.0,35.0,38.0,78,1000,0.078
C0_full_stage,Jw,distance,S50_day,46.0,valid,,46.0,43.0,48.0,43.0,48.0,1000,1000,1.0
C0_full_stage,Jw,distance,S75_day,52.0,valid,,52.0,51.0,53.0,50.0,53.0,842,1000,0.842
C0_full_stage,Jw,distance,durable_S50_day,46.0,valid,,46.0,43.0,48.0,43.0,48.0,1000,1000,1.0
C0_full_stage,Jw,distance,durable_S75_day,52.0,not_durable,first_passage_not_sustained_3d,51.0,50.0,51.0,50.0,51.0,129,1000,0.129
C0_full_stage,Jw,pattern,S25_day,37.0,valid,,37.0,35.0,39.0,35.0,40.0,754,1000,0.754
C0_full_stage,Jw,pattern,S50_day,42.0,valid,,42.0,38.0,45.0,38.0,46.0,998,1000,0.998
C0_full_stage,Jw,pattern,S75_day,48.0,valid,,48.0,45.0,50.0,44.975,50.0,1000,1000,1.0
C0_full_stage,Jw,pattern,durable_S50_day,42.0,valid,,42.0,38.0,45.0,38.0,46.0,998,1000,0.998
C0_full_stage,Jw,pattern,durable_S75_day,48.0,valid,,48.0,45.0,50.0,44.875,50.0,996,1000,0.996
C1_buffered_stage,H,distance,S25_day,27.0,left_censored,threshold_already_reached_before_search_start,,,,,,0,1000,0.0
C1_buffered_stage,H,distance,S50_day,34.0,left_censored,threshold_already_reached_before_search_start,35.0,35.0,38.0,35.0,38.0,475,1000,0.475
C1_buffered_stage,H,distance,S75_day,50.0,valid,,50.0,38.0,53.0,37.0,53.0,966,1000,0.966
C1_buffered_stage,H,distance,durable_S50_day,34.0,left_censored,threshold_already_reached_before_search_start,35.0,35.0,38.0,35.0,38.0,475,1000,0.475
C1_buffered_stage,H,distance,durable_S75_day,50.0,valid,,50.0,38.0,51.0,37.0,51.0,809,1000,0.809
C1_buffered_stage,H,pattern,S25_day,37.0,valid,,37.0,35.0,41.0,35.0,42.0,904,1000,0.904
C1_buffered_stage,H,pattern,S50_day,40.0,valid,,41.0,37.0,47.0,37.0,50.0,1000,1000,1.0
C1_buffered_stage,H,pattern,S75_day,55.0,right_censored,threshold_reached_after_search_end,45.0,40.0,53.0,40.0,53.0,611,1000,0.611
