window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W113,W113_P_vs_V_delta_peak,H,0.16628714136693987,0.4495286729094524,0.5504713270905476,0.5894127458313217,0.41058725416867836,89.0,146.0,0.0,10.0,4
W113,W113_P_vs_V_delta_peak,Je,0.1348630408633066,0.6156208534840603,0.38437914651593974,0.5185246041979725,0.48147539580202753,88.0,154.0,0.0,10.0,5
W113,W113_P_vs_V_delta_peak,Jw,0.19482144584985356,0.559519997678253,0.44048000232174694,0.6704160524057399,0.32958394759426,88.0,154.0,0.0,10.0,3
W113,W113_P_vs_V_delta_peak,P,0.2513326836411066,0.4599269287112293,0.5400730712887706,0.5769711315404771,0.42302886845952287,88.0,154.0,0.0,12.0,2
W113,W113_P_vs_V_delta_peak,V,0.25269568827879346,0.38845776947733185,0.611542230522668,0.4933308829384678,0.5066691170615323,88.0,152.0,0.0,10.0,1
W113,W113_P_vs_H_delta_peak,H,0.16904299230381928,0.37212972106266173,0.6278702789373383,0.5878614962993165,0.4121385037006835,92.0,145.0,0.0,10.0,4
W113,W113_P_vs_H_delta_peak,Je,0.11916547456482476,0.6035172877265915,0.3964827122734087,0.5712544452728663,0.4287455547271338,90.0,150.0,1.0,10.0,5
W113,W113_P_vs_H_delta_peak,Jw,0.21723955136021814,0.4594136407712933,0.5405863592287067,0.6896432904629582,0.3103567095370417,89.0,154.0,0.0,10.0,3
W113,W113_P_vs_H_delta_peak,P,0.24983699447405958,0.43096611656859846,0.5690338834314017,0.6000008908741675,0.3999991091258326,88.0,154.0,0.0,12.0,1
W113,W113_P_vs_H_delta_peak,V,0.24471498729707822,0.3523621805875469,0.6476378194124531,0.44419819811114714,0.5558018018888529,88.0,150.0,0.0,10.0,2
W113,W113_P_vs_Je_delta_peak,H,0.2052250828604886,0.3055674246162916,0.6944325753837083,0.5399381171942182,0.46006188280578175,92.0,140.0,2.0,10.0,2
W113,W113_P_vs_Je_delta_peak,Je,0.2331332045475691,0.4992540474900154,0.5007459525099845,0.638264794748639,0.36173520525136116,91.0,134.0,0.0,10.0,1
W113,W113_P_vs_Je_delta_peak,Jw,0.18790150523632798,0.402140124707416,0.597859875292584,0.5709564387304152,0.42904356126958476,97.0,135.0,0.0,10.0,4
W113,W113_P_vs_Je_delta_peak,P,0.19890413241152705,0.4608455891042125,0.5391544108957875,0.6625759920000709,0.33742400799992917,88.0,154.0,0.0,12.0,3
W113,W113_P_vs_Je_delta_peak,V,0.17483607494408726,0.47606537128022147,0.5239346287197785,0.46676711505946233,0.5332328849405376,96.0,136.0,0.0,10.0,5
W113,W113_P_vs_Jw_delta_peak,H,0.176584508022277,0.5678628111752968,0.4321371888247033,0.6508201611161155,0.34917983888388443,92.0,154.0,0.0,10.0,4
W113,W113_P_vs_Jw_delta_peak,Je,0.15272554068061778,0.6666071769808573,0.3333928230191428,0.5081511849190922,0.4918488150809078,89.0,152.0,1.0,10.0,5
W113,W113_P_vs_Jw_delta_peak,Jw,0.21189598388614655,0.5896022789009678,0.41039772109903194,0.6859112937482765,0.3140887062517232,88.0,154.0,0.0,10.0,3
