window_id,target_name,object_A,object_B,score_bin,score_bin_index,n_bootstrap,score_min,score_max,score_mean,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,dominant_order_direction,dominant_order_probability,order_level
W113,W113_P_vs_V_delta_peak,P,V,Q1,1,200,-1.5656758025653492,-0.4034355219432593,-0.703350086968248,-3.0,-8.0,3.0,0.125,0.82,0.055,V_earlier,0.82,weak_or_none
W113,W113_P_vs_V_delta_peak,P,V,Q2,2,200,-0.4026703613087577,-0.11745309638787971,-0.2531482362427957,0.0,-5.0,5.0,0.4,0.41,0.19,V_earlier,0.41,weak_or_none
W113,W113_P_vs_V_delta_peak,P,V,Q3,3,200,-0.11418560357007157,0.14395139669891208,0.017754881594678657,1.0,-4.0,10.0,0.66,0.215,0.125,P_earlier,0.66,weak_or_none
W113,W113_P_vs_V_delta_peak,P,V,Q4,4,200,0.1448131276497993,0.42934231260604044,0.27464412066001354,3.0,-4.0249999999999995,13.025000000000006,0.87,0.09,0.04,P_earlier,0.87,weak_or_none
W113,W113_P_vs_V_delta_peak,P,V,Q5,5,200,0.42942795971936487,1.222598078605744,0.6640993209563513,6.0,-9.0,16.025000000000006,0.935,0.055,0.01,P_earlier,0.935,usable_90
W113,W113_P_vs_H_delta_peak,P,H,Q1,1,200,-1.63583510675905,-0.41501584535812946,-0.7078681501761384,-1.0,-6.0,2.0,0.22,0.58,0.2,H_earlier,0.58,weak_or_none
W113,W113_P_vs_H_delta_peak,P,H,Q2,2,200,-0.41405437653835253,-0.11385987504781711,-0.2557794125463658,1.0,-3.0,5.0,0.635,0.175,0.19,P_earlier,0.635,weak_or_none
W113,W113_P_vs_H_delta_peak,P,H,Q3,3,200,-0.11190586932532039,0.14840561008774233,0.0022489076542697097,2.0,-3.0,7.0,0.83,0.07,0.1,P_earlier,0.83,weak_or_none
W113,W113_P_vs_H_delta_peak,P,H,Q4,4,200,0.149125457319667,0.42854611145849186,0.28364060541286307,3.0,-4.0249999999999995,12.025000000000006,0.925,0.05,0.025,P_earlier,0.925,usable_90
W113,W113_P_vs_H_delta_peak,P,H,Q5,5,200,0.42990038885728366,1.4294323324339304,0.6777580496553713,5.0,-8.0,14.025000000000006,0.94,0.05,0.01,P_earlier,0.94,usable_90
W113,W113_P_vs_Je_delta_peak,P,Je,Q1,1,200,-1.6122990908491777,-0.44182290859876533,-0.7489764802258171,-5.0,-13.024999999999999,2.0500000000000114,0.06,0.895,0.045,Je_earlier,0.895,weak_or_none
W113,W113_P_vs_Je_delta_peak,P,Je,Q2,2,200,-0.43804871099351034,-0.14318644236995084,-0.29548120112509346,-3.0,-11.024999999999999,3.0250000000000057,0.09,0.82,0.09,Je_earlier,0.82,weak_or_none
W113,W113_P_vs_Je_delta_peak,P,Je,Q3,3,200,-0.14191605104742763,0.15785374570223643,0.0026658242273315215,-2.0,-11.0,4.025000000000006,0.17,0.68,0.15,Je_earlier,0.68,weak_or_none
W113,W113_P_vs_Je_delta_peak,P,Je,Q4,4,200,0.15821991309376038,0.4651631074128583,0.2986017818572885,-1.0,-6.0249999999999995,6.025000000000006,0.26,0.585,0.155,Je_earlier,0.585,weak_or_none
W113,W113_P_vs_Je_delta_peak,P,Je,Q5,5,199,0.4659013703435933,1.7941724545434503,0.7469246987600909,0.0,-4.0,11.0,0.4723618090452261,0.35175879396984927,0.17587939698492464,P_earlier,0.4723618090452261,weak_or_none
W113,W113_P_vs_Jw_delta_peak,P,Jw,Q1,1,200,-1.5430849326724392,-0.3854583904306427,-0.6469243787010535,-9.0,-17.0,2.0250000000000057,0.055,0.92,0.025,Jw_earlier,0.92,usable_90
W113,W113_P_vs_Jw_delta_peak,P,Jw,Q2,2,200,-0.38543718831096446,-0.12402605560957074,-0.24721548201050994,-6.5,-15.024999999999999,2.0,0.05,0.925,0.025,Jw_earlier,0.925,usable_90
W113,W113_P_vs_Jw_delta_peak,P,Jw,Q3,3,200,-0.12207967683330911,0.11853921564871076,-0.006018729441923622,-5.0,-13.024999999999999,3.0250000000000057,0.06,0.9,0.04,Jw_earlier,0.9,usable_90
W113,W113_P_vs_Jw_delta_peak,P,Jw,Q4,4,200,0.1202477948264411,0.38912883789311214,0.24674642506052216,-3.0,-11.075,3.0250000000000057,0.09,0.845,0.065,Jw_earlier,0.845,weak_or_none
