rep_id,pattern_corr_with_full,sign_flipped,fit_status,window_id,target_name
79,0.9406586331540716,False,ok,W113,W113_P_vs_V_delta_peak
80,0.9613691629296984,False,ok,W113,W113_P_vs_V_delta_peak
81,0.9810653061315261,False,ok,W113,W113_P_vs_V_delta_peak
82,0.9762666566259856,False,ok,W113,W113_P_vs_V_delta_peak
83,0.9823862652744187,False,ok,W113,W113_P_vs_V_delta_peak
84,0.992867449738232,False,ok,W113,W113_P_vs_V_delta_peak
85,0.978693345913649,False,ok,W113,W113_P_vs_V_delta_peak
86,0.9747397582261251,False,ok,W113,W113_P_vs_V_delta_peak
87,0.9867907845505832,False,ok,W113,W113_P_vs_V_delta_peak
88,0.9856569668731813,False,ok,W113,W113_P_vs_V_delta_peak
89,0.9789066201877502,False,ok,W113,W113_P_vs_V_delta_peak
90,0.987429433464547,False,ok,W113,W113_P_vs_V_delta_peak
91,0.9767521961184937,False,ok,W113,W113_P_vs_V_delta_peak
92,0.9685284599784062,False,ok,W113,W113_P_vs_V_delta_peak
93,0.9718339246694754,False,ok,W113,W113_P_vs_V_delta_peak
94,0.978284927371366,False,ok,W113,W113_P_vs_V_delta_peak
95,0.9791302899246405,False,ok,W113,W113_P_vs_V_delta_peak
96,0.9561074916302772,False,ok,W113,W113_P_vs_V_delta_peak
97,0.9622154747308579,False,ok,W113,W113_P_vs_V_delta_peak
98,0.9703686971861556,False,ok,W113,W113_P_vs_V_delta_peak
99,0.9840343737741248,False,ok,W113,W113_P_vs_V_delta_peak
100,0.9683911344026921,False,ok,W113,W113_P_vs_V_delta_peak
101,0.9779972115083629,False,ok,W113,W113_P_vs_V_delta_peak
102,0.9788692561778843,False,ok,W113,W113_P_vs_V_delta_peak
103,0.9826149821811943,False,ok,W113,W113_P_vs_V_delta_peak
104,0.9822420509578933,False,ok,W113,W113_P_vs_V_delta_peak
105,0.9696754826010657,False,ok,W113,W113_P_vs_V_delta_peak
106,0.9671816236632383,False,ok,W113,W113_P_vs_V_delta_peak
107,0.9827843941999067,False,ok,W113,W113_P_vs_V_delta_peak
108,0.9628949267125103,False,ok,W113,W113_P_vs_V_delta_peak
109,0.9797745699099246,False,ok,W113,W113_P_vs_V_delta_peak
110,0.9716067992315603,False,ok,W113,W113_P_vs_V_delta_peak
111,0.9793318070217355,False,ok,W113,W113_P_vs_V_delta_peak
112,0.9875709758137604,False,ok,W113,W113_P_vs_V_delta_peak
113,0.9843600046352918,False,ok,W113,W113_P_vs_V_delta_peak
114,0.9813866875366228,False,ok,W113,W113_P_vs_V_delta_peak
115,0.983392374788573,False,ok,W113,W113_P_vs_V_delta_peak
116,0.9789849069360581,False,ok,W113,W113_P_vs_V_delta_peak
117,0.9733377928933897,False,ok,W113,W113_P_vs_V_delta_peak
118,0.9712636829950275,False,ok,W113,W113_P_vs_V_delta_peak
