window_id,target_name,target_pair,unordered_pair,object_A,object_B,Y_definition,target_priority,target_set,was_in_original_v9_1_f,target_source_reason,method_role,result_scope_note
W113,W113_P_vs_V_delta_peak,P-V,P-V,P,V,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original_priority,True,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_H_delta_peak,P-H,H-P,P,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added_all_pair,False,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_Je_delta_peak,P-Je,Je-P,P,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added_all_pair,False,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_Jw_delta_peak,P-Jw,Jw-P,P,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added_all_pair,False,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_V_vs_H_delta_peak,V-H,H-V,V,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added_all_pair,False,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_V_vs_Je_delta_peak,V-Je,Je-V,V,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original_priority,True,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_Jw_vs_V_delta_peak,Jw-V,Jw-V,Jw,V,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original_priority,True,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_H_vs_Je_delta_peak,H-Je,H-Je,H,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original_priority,True,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_Jw_vs_H_delta_peak,Jw-H,H-Jw,Jw,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original_priority,True,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,Je-Jw,Je,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added_all_pair,False,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,all-pair extension result; original priority targets are marked separately
