window_id,target_name,top1_year,top1_fraction_of_total_abs_leverage,top3_fraction_of_total_abs_leverage,top5_fraction_of_total_abs_leverage,extreme_year_dominated_flag
W113,W113_P_vs_V_delta_peak,2022,0.06231427953968339,0.17765381406042705,0.28026080405328335,False
W113,W113_P_vs_H_delta_peak,2004,0.06144183981685396,0.1693266655640764,0.26294673038477495,False
W113,W113_P_vs_Je_delta_peak,2021,0.06288158338689559,0.1822737675209656,0.2901995569472413,False
W113,W113_P_vs_Jw_delta_peak,1994,0.06132936496119967,0.17429471565293517,0.2658886255218538,False
W113,W113_V_vs_H_delta_peak,2022,0.0772404831359734,0.19323144912671744,0.2934550793361839,False
W113,W113_V_vs_Je_delta_peak,2002,0.0553842748271699,0.1585864558287471,0.25499776453163664,False
W113,W113_Jw_vs_V_delta_peak,1979,0.05361563936850906,0.14661418687781608,0.2321741367186572,False
W113,W113_H_vs_Je_delta_peak,1983,0.05683834929254984,0.16285088463629385,0.2530317237967307,False
W113,W113_Jw_vs_H_delta_peak,1998,0.06361091576000771,0.17677742691187445,0.2759001089369683,False
W113,W113_Je_vs_Jw_delta_peak,2006,0.08155092305168873,0.20347606411924937,0.29266326050399555,False
