window_id,target_name,year,mean_count_high,mean_count_low,count_difference_high_minus_low,present_prob_high,present_prob_low,present_prob_difference,abs_count_difference,year_leverage_rank
W113,W113_P_vs_V_delta_peak,1979,0.8233532934131736,1.093093093093093,-0.26973979967991946,0.5688622754491018,0.6816816816816816,-0.1128194062325798,0.26973979967991946,20.0
W113,W113_P_vs_V_delta_peak,1980,1.2095808383233533,0.7297297297297297,0.47985110859362357,0.6856287425149701,0.5405405405405406,0.1450882019744295,0.47985110859362357,8.0
W113,W113_P_vs_V_delta_peak,1981,1.1287425149700598,0.8918918918918919,0.23685062307816795,0.6826347305389222,0.5855855855855856,0.09704914495333661,0.23685062307816795,23.0
W113,W113_P_vs_V_delta_peak,1982,0.7514970059880239,1.1891891891891893,-0.4376921832011653,0.5538922155688623,0.7177177177177178,-0.1638255021488555,0.4376921832011653,11.0
W113,W113_P_vs_V_delta_peak,1983,1.0389221556886228,0.8708708708708709,0.1680512848177519,0.6347305389221557,0.6096096096096096,0.02512092931254606,0.1680512848177519,24.0
W113,W113_P_vs_V_delta_peak,1984,0.8592814371257484,1.015015015015015,-0.15573357788926656,0.5658682634730539,0.6606606606606606,-0.09479239718760679,0.15573357788926656,27.0
W113,W113_P_vs_V_delta_peak,1985,0.9580838323353293,1.021021021021021,-0.06293718868569176,0.6137724550898204,0.6096096096096096,0.004162845480210731,0.06293718868569176,38.0
W113,W113_P_vs_V_delta_peak,1986,1.1167664670658684,0.7687687687687688,0.3479976982970996,0.688622754491018,0.5675675675675675,0.12105518692345041,0.3479976982970996,14.0
W113,W113_P_vs_V_delta_peak,1987,1.0239520958083832,0.9279279279279279,0.09602416788045531,0.6407185628742516,0.6396396396396397,0.0010789232346118949,0.09602416788045531,35.0
W113,W113_P_vs_V_delta_peak,1988,1.0568862275449102,1.09009009009009,-0.03320386254517982,0.6766467065868264,0.6636636636636637,0.012983042923162658,0.03320386254517982,42.0
W113,W113_P_vs_V_delta_peak,1989,1.2574850299401197,0.7957957957957958,0.46168923414432383,0.7455089820359282,0.5915915915915916,0.1539173904443366,0.46168923414432383,10.0
W113,W113_P_vs_V_delta_peak,1990,1.095808383233533,0.8138138138138138,0.28199456941971923,0.6916167664670658,0.5435435435435435,0.14807322292352232,0.28199456941971923,18.0
W113,W113_P_vs_V_delta_peak,1991,1.3682634730538923,0.7357357357357357,0.6325277373181566,0.7574850299401198,0.5375375375375375,0.21994749240258227,0.6325277373181566,4.0
W113,W113_P_vs_V_delta_peak,1992,1.2335329341317365,0.6366366366366366,0.5968962974950999,0.7664670658682635,0.45645645645645644,0.3100106094118071,0.5968962974950999,5.0
W113,W113_P_vs_V_delta_peak,1993,0.8922155688622755,1.057057057057057,-0.1648414881947815,0.5958083832335329,0.6486486486486487,-0.05284026541511577,0.1648414881947815,26.0
W113,W113_P_vs_V_delta_peak,1994,0.7305389221556886,1.3033033033033032,-0.5727643811476146,0.5449101796407185,0.7447447447447447,-0.1998345651040262,0.5727643811476146,6.0
W113,W113_P_vs_V_delta_peak,1995,0.8562874251497006,1.177177177177177,-0.3208897520274765,0.5838323353293413,0.6816816816816816,-0.09784934635234033,0.3208897520274765,15.0
W113,W113_P_vs_V_delta_peak,1996,1.1616766467065869,0.8918918918918919,0.269784754814695,0.6497005988023952,0.5855855855855856,0.06411501321680957,0.269784754814695,19.0
W113,W113_P_vs_V_delta_peak,1997,0.9401197604790419,1.027027027027027,-0.08690726654798508,0.6077844311377245,0.6186186186186187,-0.010834187480894153,0.08690726654798508,36.0
W113,W113_P_vs_V_delta_peak,1998,0.7395209580838323,1.177177177177177,-0.43765621909334473,0.5419161676646707,0.6936936936936937,-0.15177752602902306,0.43765621909334473,12.0
W113,W113_P_vs_V_delta_peak,1999,1.0568862275449102,1.078078078078078,-0.021191850533167855,0.655688622754491,0.6576576576576577,-0.0019690349031666887,0.021191850533167855,43.0
W113,W113_P_vs_V_delta_peak,2000,0.9910179640718563,0.8528528528528528,0.13816511121900343,0.6077844311377245,0.5705705705705706,0.03721386056715392,0.13816511121900343,29.0
W113,W113_P_vs_V_delta_peak,2001,1.035928143712575,0.9519519519519519,0.08397619176062299,0.6616766467065869,0.6186186186186187,0.043058028087968214,0.08397619176062299,37.0
