window_id,k,year_index,year,cluster_id,cluster_size,cluster_label_provisional,cluster_stability,peak_P,relative_peak_P,peak_V,relative_peak_V,peak_H,relative_peak_H,peak_Je,relative_peak_Je,peak_Jw,relative_peak_Jw,method_role
W081,2,0,1979,1,16,k2_cluster1,not_tested_first_pass,79.0,-2.0,78.0,-3.0,73.0,-8.0,68.0,-13.0,77.0,-4.0,provisional_year_type_cluster_not_physical_type
W081,2,1,1980,2,29,k2_cluster2,not_tested_first_pass,84.0,3.0,67.0,-14.0,88.0,7.0,84.0,3.0,85.0,4.0,provisional_year_type_cluster_not_physical_type
W081,2,2,1981,2,29,k2_cluster2,not_tested_first_pass,82.0,1.0,80.0,-1.0,79.0,-2.0,69.0,-12.0,85.0,4.0,provisional_year_type_cluster_not_physical_type
W081,2,3,1982,2,29,k2_cluster2,not_tested_first_pass,83.0,2.0,82.0,1.0,81.0,0.0,83.0,2.0,79.0,-2.0,provisional_year_type_cluster_not_physical_type
W081,2,4,1983,2,29,k2_cluster2,not_tested_first_pass,82.0,1.0,71.0,-10.0,84.0,3.0,85.0,4.0,82.0,1.0,provisional_year_type_cluster_not_physical_type
W081,2,5,1984,2,29,k2_cluster2,not_tested_first_pass,78.0,-3.0,76.0,-5.0,86.0,5.0,79.0,-2.0,84.0,3.0,provisional_year_type_cluster_not_physical_type
W081,2,6,1985,2,29,k2_cluster2,not_tested_first_pass,87.0,6.0,88.0,7.0,89.0,8.0,79.0,-2.0,79.0,-2.0,provisional_year_type_cluster_not_physical_type
W081,2,7,1986,2,29,k2_cluster2,not_tested_first_pass,82.0,1.0,79.0,-2.0,75.0,-6.0,77.0,-4.0,91.0,10.0,provisional_year_type_cluster_not_physical_type
W081,2,8,1987,1,16,k2_cluster1,not_tested_first_pass,80.0,-1.0,75.0,-6.0,76.0,-5.0,88.0,7.0,79.0,-2.0,provisional_year_type_cluster_not_physical_type
W081,2,9,1988,2,29,k2_cluster2,not_tested_first_pass,89.0,8.0,67.0,-14.0,79.0,-2.0,91.0,10.0,84.0,3.0,provisional_year_type_cluster_not_physical_type
W081,2,10,1989,2,29,k2_cluster2,not_tested_first_pass,77.0,-4.0,76.0,-5.0,77.0,-4.0,80.0,-1.0,86.0,5.0,provisional_year_type_cluster_not_physical_type
W081,2,11,1990,1,16,k2_cluster1,not_tested_first_pass,74.0,-7.0,78.0,-3.0,74.0,-7.0,87.0,6.0,79.0,-2.0,provisional_year_type_cluster_not_physical_type
W081,2,12,1991,2,29,k2_cluster2,not_tested_first_pass,78.0,-3.0,76.0,-5.0,86.0,5.0,76.0,-5.0,82.0,1.0,provisional_year_type_cluster_not_physical_type
W081,2,13,1992,1,16,k2_cluster1,not_tested_first_pass,82.0,1.0,79.0,-2.0,80.0,-1.0,79.0,-2.0,76.0,-5.0,provisional_year_type_cluster_not_physical_type
W081,2,14,1993,2,29,k2_cluster2,not_tested_first_pass,76.0,-5.0,82.0,1.0,80.0,-1.0,82.0,1.0,83.0,2.0,provisional_year_type_cluster_not_physical_type
W081,2,15,1994,2,29,k2_cluster2,not_tested_first_pass,81.0,0.0,83.0,2.0,83.0,2.0,76.0,-5.0,88.0,7.0,provisional_year_type_cluster_not_physical_type
W081,2,16,1995,2,29,k2_cluster2,not_tested_first_pass,76.0,-5.0,76.0,-5.0,87.0,6.0,86.0,5.0,88.0,7.0,provisional_year_type_cluster_not_physical_type
W081,2,17,1996,2,29,k2_cluster2,not_tested_first_pass,79.0,-2.0,86.0,5.0,82.0,1.0,81.0,0.0,78.0,-3.0,provisional_year_type_cluster_not_physical_type
W081,2,18,1997,1,16,k2_cluster1,not_tested_first_pass,87.0,6.0,86.0,5.0,73.0,-8.0,87.0,6.0,77.0,-4.0,provisional_year_type_cluster_not_physical_type
W081,2,19,1998,2,29,k2_cluster2,not_tested_first_pass,86.0,5.0,84.0,3.0,82.0,1.0,87.0,6.0,82.0,1.0,provisional_year_type_cluster_not_physical_type
W081,2,20,1999,1,16,k2_cluster1,not_tested_first_pass,83.0,2.0,69.0,-12.0,70.0,-11.0,75.0,-6.0,81.0,0.0,provisional_year_type_cluster_not_physical_type
W081,2,21,2000,1,16,k2_cluster1,not_tested_first_pass,80.0,-1.0,79.0,-2.0,78.0,-3.0,69.0,-12.0,84.0,3.0,provisional_year_type_cluster_not_physical_type
W081,2,22,2001,1,16,k2_cluster1,not_tested_first_pass,78.0,-3.0,80.0,-1.0,79.0,-2.0,85.0,4.0,78.0,-3.0,provisional_year_type_cluster_not_physical_type
W081,2,23,2002,1,16,k2_cluster1,not_tested_first_pass,78.0,-3.0,71.0,-10.0,78.0,-3.0,64.0,-17.0,79.0,-2.0,provisional_year_type_cluster_not_physical_type
W081,2,24,2003,2,29,k2_cluster2,not_tested_first_pass,79.0,-2.0,80.0,-1.0,84.0,3.0,79.0,-2.0,82.0,1.0,provisional_year_type_cluster_not_physical_type
W081,2,25,2004,2,29,k2_cluster2,not_tested_first_pass,85.0,4.0,74.0,-7.0,79.0,-2.0,81.0,0.0,83.0,2.0,provisional_year_type_cluster_not_physical_type
W081,2,26,2005,2,29,k2_cluster2,not_tested_first_pass,86.0,5.0,84.0,3.0,84.0,3.0,83.0,2.0,85.0,4.0,provisional_year_type_cluster_not_physical_type
W081,2,27,2006,1,16,k2_cluster1,not_tested_first_pass,77.0,-4.0,75.0,-6.0,75.0,-6.0,73.0,-8.0,81.0,0.0,provisional_year_type_cluster_not_physical_type
W081,2,28,2007,2,29,k2_cluster2,not_tested_first_pass,75.0,-6.0,85.0,4.0,78.0,-3.0,76.0,-5.0,89.0,8.0,provisional_year_type_cluster_not_physical_type
W081,2,29,2008,2,29,k2_cluster2,not_tested_first_pass,78.0,-3.0,78.0,-3.0,86.0,5.0,72.0,-9.0,88.0,7.0,provisional_year_type_cluster_not_physical_type
W081,2,30,2009,1,16,k2_cluster1,not_tested_first_pass,84.0,3.0,82.0,1.0,83.0,2.0,77.0,-4.0,75.0,-6.0,provisional_year_type_cluster_not_physical_type
