window_id,object_A,object_B,year,n_bootstrap,n_present,n_absent,P_A_earlier_present,P_A_earlier_absent,presence_effect_on_A_earlier,P_B_earlier_present,P_B_earlier_absent,presence_effect_on_B_earlier,n_high_count,high_count_effect_on_A_earlier,high_count_effect_on_B_earlier,ridge_coef_A_earlier,ridge_coef_B_earlier,permutation_percentile_A_earlier,permutation_percentile_B_earlier,max_permutation_percentile,influence_direction,influence_evidence_level,method_role
W113,H,Je,1979,1000,632,368,0.03481012658227848,0.04076086956521739,-0.005950742982938913,0.9113924050632911,0.9184782608695652,-0.007085855806274077,241,-0.007565848818329425,-0.013913945516868087,-0.0025590128370041013,-0.002293065141892392,0.3798666666666667,0.2956,0.3798666666666667,reduce_H_earlier,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1980,1000,632,368,0.0379746835443038,0.035326086956521736,0.002648596587782062,0.9161392405063291,0.9103260869565217,0.005813153549807382,248,-0.003068022440392705,0.00902875175315565,-0.002143157439107119,0.008045670368893377,0.15706666666666666,0.2547111111111111,0.2547111111111111,push_Je_earlier,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1981,1000,645,355,0.031007751937984496,0.04788732394366197,-0.016879572005677475,0.9271317829457364,0.8901408450704226,0.03699093787531382,271,-0.033127176342185954,0.05819863832441141,-0.013890419644307723,0.028320766930275524,0.8291111111111111,0.9550222222222222,0.9550222222222222,push_Je_earlier,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1982,1000,626,374,0.04472843450479233,0.02406417112299465,0.02066426338179768,0.9041533546325878,0.93048128342246,-0.026327928789872113,253,0.03127179725645199,-0.05301092769123461,0.012308171302140632,-0.02027078833538731,0.9048444444444445,0.8446666666666667,0.9048444444444445,push_H_earlier,usable_90,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1983,1000,631,369,0.05071315372424723,0.013550135501355014,0.03716301822289221,0.8906497622820919,0.9539295392953929,-0.06327977701330101,263,0.054890929137428254,-0.08320710583531687,0.02498698483191785,-0.03499628053961453,0.9972444444444445,0.9994666666666666,0.9994666666666666,reduce_Je_earlier,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1984,1000,622,378,0.04019292604501608,0.031746031746031744,0.008446894298984334,0.9115755627009646,0.917989417989418,-0.006413855288453396,250,-0.015746031746031744,0.022010582010581925,-0.005549884452226507,0.011448683387501673,0.5033777777777778,0.2712888888888889,0.5033777777777778,push_H_earlier,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1985,1000,621,379,0.028985507246376812,0.05013192612137203,-0.02114641887499522,0.9355877616747182,0.8786279683377308,0.05695979333698742,252,-0.03425891024835616,0.09359425388449139,-0.011051866917789857,0.03223147905489578,0.9116,0.9983555555555556,0.9983555555555556,push_Je_earlier,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1986,1000,630,370,0.02857142857142857,0.051351351351351354,-0.022779922779922784,0.9285714285714286,0.8891891891891892,0.03938223938223939,233,-0.03847581487066466,0.06360051038162629,-0.012547765456609144,0.02289111818836093,0.9382222222222222,0.9667555555555556,0.9667555555555556,push_Je_earlier,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1987,1000,645,355,0.021705426356589147,0.0647887323943662,-0.04308330603777705,0.9255813953488372,0.8929577464788733,0.03262364886996394,258,-0.045408887433125884,0.04115078065290967,-0.014037624577297523,0.010341659657431161,0.9996888888888888,0.9215555555555556,0.9996888888888888,reduce_H_earlier,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,Je,1988,1000,663,337,0.0392156862745098,0.032640949554896145,0.006574736719613658,0.8974358974358975,0.9465875370919882,-0.049151639656090707,286,0.0233031063891598,-0.0794546699591211,0.008425546372917262,-0.024282246564496925,0.3944888888888889,0.9926666666666667,0.9926666666666667,reduce_Je_earlier,strict_99,bootstrap_year_influence_candidate_not_physical_type
