window_id,anchor_day,field,day,projection_progress_observed,projection_progress_raw_observed,distance_progress_observed,dprojection_progress_observed,dist_to_pre_observed,dist_to_post_observed,projection_fraction_observed,residual_fraction_observed,projection_progress_bootstrap_median,projection_progress_q05,projection_progress_q25,projection_progress_q75,projection_progress_q95,distance_progress_bootstrap_median,distance_progress_q05,distance_progress_q25,distance_progress_q75,distance_progress_q95,dprojection_progress_bootstrap_median,dprojection_progress_q05,dprojection_progress_q25,dprojection_progress_q75,dprojection_progress_q95,residual_fraction_bootstrap_median,residual_fraction_q05,residual_fraction_q25,residual_fraction_q75,residual_fraction_q95,projection_fraction_bootstrap_median,projection_fraction_q05,projection_fraction_q25,projection_fraction_q75,projection_fraction_q95,prob_progress_above_010,prob_progress_above_025,prob_progress_above_050,prob_progress_above_075
W002,45,H,30,0.0,-0.27755918460996626,0.1824058853660682,,0.15065142927714423,0.675261775083676,0.9724924789332363,0.23293427915404044,0.0,0.0,0.0,0.0,0.0,0.19943403549780686,0.1302389167634979,0.17116769293738093,0.22749625450574604,0.27071926833933085,,,,,,0.43400201184663906,0.13735399214940708,0.25020019441457786,0.6726429109945467,0.9359693621206239,0.9009118960605713,0.3520814478423105,0.7399672223124818,0.9681940482591274,0.9905219370611538,0.001,0.0,0.0,0.0
W002,45,H,31,0.0,-0.2128121188211482,0.15224947542864944,0.0,0.11505708053583108,0.6406570538593278,0.9763081400180678,0.21638487867011064,0.0,0.0,0.0,0.0,0.0,0.16589208619239706,0.10932173797027117,0.14121026379535281,0.1922023047989906,0.23180046798413287,0.0,0.0,0.0,0.0,0.0,0.4239107588865412,0.12307827348131439,0.2502358560540836,0.6508542527874293,0.9172439870274748,0.9057037928392149,0.3983214892450232,0.7592026272299628,0.968184905899858,0.9923969659753583,0.0,0.0,0.0,0.0
W002,45,H,32,0.0,-0.14601302145761172,0.11470843235795927,0.0,0.0784016374228562,0.605084622576594,0.9830381208320523,0.18340134395766436,0.0,0.0,0.0,0.0,0.0,0.12473546348066485,0.08346707264551492,0.10675391670485931,0.1480366055345897,0.17669113706333173,0.0,0.0,0.0,0.0,0.0,0.41929513917384764,0.1399821189789361,0.26012418416085187,0.6313230922053563,0.9258081837958718,0.9078498576773182,0.3779898649554357,0.7755196159123064,0.9655751513347193,0.9901539469121984,0.0,0.0,0.0,0.0
W002,45,H,33,0.0,-0.07355119381222475,0.06690618750426895,0.0,0.040641084862616854,0.5667927920109809,0.955274837621364,0.29571943554366775,0.0,0.0,0.0,0.0,0.0,0.07380851503958302,0.040638839682068204,0.05798106625153325,0.09467268707327678,0.12478741333871413,0.0,0.0,0.0,0.0,0.0,0.514885282608283,0.19987192216597122,0.365414509177386,0.6947140980082763,0.9485576065151207,0.8572588371735644,0.31660458414461046,0.719285973032892,0.9308445924539877,0.9798220043494072,0.0,0.0,0.0,0.0
W002,45,H,34,0.015346260631071612,0.015346260631071612,0.03797825948295461,0.015346260631071612,0.020531635239262342,0.5200838515878622,0.39453263604621996,0.9188819287574493,0.013961178028804658,0.0,0.0,0.03292511183038105,0.06524922514671364,0.05349475961655439,0.021405058290236638,0.03744019224937549,0.073031321229308,0.10424129972514788,0.013891774302675157,0.0,0.0,0.03258376030766121,0.06495300046119944,0.8865995582895729,0.31608207878849,0.6633284287282347,0.9737970561816597,0.9993662238683495,0.46253780676908085,0.03559705706600354,0.2274182431526614,0.748328396140155,0.9487304173642819,0.008,0.0,0.0,0.0
W002,45,H,35,0.11806104856527726,0.11806104856527726,0.12538099231291777,0.10271478793420565,0.0668248016639438,0.46614913984898826,0.9325515800344781,0.361036771735607,0.11348158626349233,0.028780460483310455,0.07894725288213629,0.15083874548369064,0.20631165305453614,0.14031919453149738,0.07582917464179041,0.1100383994432026,0.17374262473577098,0.22792510126178994,0.09639714591560158,0.021035953543450177,0.06761540754656525,0.12208931368075884,0.16796079963686564,0.5007083310247306,0.1489511248631165,0.27277945301293616,0.7520871937568472,0.9652571846241748,0.8656158105060512,0.26130042919864943,0.6590628945486171,0.9620756898335188,0.9888445470020544,0.609,0.015,0.0,0.0
W002,45,H,36,0.23057379540273243,0.23057379540273243,0.2325428821934063,0.11251274683745517,0.1231969034616511,0.4065845385648371,0.9879024465626923,0.1550766135147801,0.22421396160490456,0.07598423082022779,0.16813547568473267,0.28369862520218525,0.3754319186831459,0.2452950240085404,0.14324604265437746,0.19443145480211688,0.3046438784829013,0.39062643096800453,0.10889347537021055,0.04131456551643715,0.08324488679380015,0.13698306896104998,0.1847510128014872,0.3927132701656436,0.12557186431968298,0.24212421552542035,0.6213563900714792,0.9123776821123215,0.9196609628995773,0.4093494370224556,0.783527903221602,0.9702452439644801,0.9920845246656368,0.925,0.375,0.004,0.0
W002,45,H,37,0.34595441410186906,0.34595441410186906,0.34693549195361495,0.11538061869913663,0.18371305312844996,0.3458178175634,0.9939917184617465,0.10945530420485541,0.33534517452937085,0.14473165688959724,0.26382303445954175,0.41209121666250764,0.5446342053315628,0.35197739420004215,0.20319266034509173,0.27870544669730224,0.4299551735344419,0.5330155789635258,0.10928138750335055,0.053354090324819387,0.0870015138384431,0.13551134548768523,0.17819171983486698,0.3608315129911016,0.12359250399044353,0.22507534770469745,0.5540622846483291,0.8522341390855587,0.9326309422536649,0.523152324712147,0.8324747905415172,0.9743413093614882,0.9923330536291892,0.983,0.786,0.088,0.003
W002,45,H,38,0.4617681824431798,0.4617681824431798,0.4624238798128952,0.11581376834131074,0.24620715070115642,0.28622026373149295,0.9899818843034398,0.14119443594875822,0.44401663285647747,0.21759737388971634,0.3576727499736424,0.5339676707823386,0.6961949488839085,0.451827548560485,0.26751603248325817,0.373047229759169,0.5262947115019666,0.6453217351001101,0.10902366616741885,0.061083850542180344,0.09006341045953378,0.12926420343115946,0.16235309469669357,0.3392576685067976,0.12455840168418036,0.21937994411796033,0.5159456441606736,0.798065408598073,0.9406929983161103,0.6025696105549272,0.8566213218757421,0.9756395011957217,0.9922122761583456,0.993,0.917,0.336,0.024
W002,45,H,39,0.5593252146627877,0.5593252146627877,0.5573878873925123,0.09755703221960793,0.29913757719682216,0.2375399932391716,0.986954952650007,0.16099665037800168,0.5344192118305817,0.27341259913660854,0.43872661177207606,0.6379130786557428,0.8161054733015407,0.5284523852143244,0.3296805859366866,0.448007257085846,0.6051105982692825,0.7288135823400469,0.09303664944747045,0.041944875582503136,0.07164560058056009,0.11134584075820442,0.14004088084842406,0.3310976450374643,0.12196371318687267,0.22369273333200007,0.49385651241956624,0.7870568109127766,0.9435964930136972,0.6168801263009004,0.8695433735645256,0.9746597131406541,0.9925345598715655,0.997,0.963,0.59,0.103
W002,45,H,40,0.6279891620298624,0.6279891620298624,0.621750474317666,0.0686639473670747,0.33648932951173793,0.2047074100330017,0.9851100653249761,0.17192486495407575,0.6036278189262142,0.3036119193102892,0.4925778628373385,0.71363971220108,0.9147128945741748,0.577222973663515,0.36797940136571583,0.49417767040107824,0.652189001847635,0.7667823803292981,0.06472276227207246,0.011001541277211393,0.04506085750723654,0.0851114704061076,0.11912247675566032,0.3340153187232635,0.13630257834716064,0.22995015873964159,0.49511991713879117,0.7811371211368247,0.9425676453233605,0.6243594602724987,0.8688246306667096,0.9732024067302091,0.9906672531460581,0.999,0.976,0.735,0.193
W002,45,H,41,0.6684212943160861,0.6684212943160861,0.6561650965843229,0.040432132286223665,0.3596860073417816,0.18847787582341005,0.9809133350223035,0.19444544008503248,0.6489213746003017,0.34113741838641654,0.5277354522902141,0.7651849660346579,0.9761266508555704,0.6018002355147324,0.38622903649390977,0.5196549000983727,0.6758193417571381,0.7887028297428409,0.0378852055948502,-0.010430088555787096,0.017803789325687908,0.0565101017559452,0.09101146295660549,0.33770221870708617,0.1522428532316825,0.24510903881781268,0.4862162564157696,0.7721001749488842,0.9412529870356561,0.6355008411427496,0.8738384930016856,0.9694955173169033,0.9883431145625916,0.999,0.979,0.798,0.272
