window_id,anchor_day,field,bootstrap_id,marker_extract_status,t10_day,t15_day,t20_day,t25_day,t30_day,t35_day,t40_day,t45_day,t50_day,t75_day,pre_progress_upper90,pre_progress_upper95,departure90_day,departure95_day,peak_change_day_raw,peak_change_value_raw,peak_change_day_smooth3,peak_change_value_smooth3,duration_25_75,tail_50_75,early_span_25_50
W002,45,P,0,success,38.0,39.0,40.0,41.0,41.0,42.0,43.0,44.0,44.0,46.0,0.06110955788401294,0.07282857749970396,37.0,37.0,45.0,0.17598733053878024,46.0,0.146870983189191,5.0,2.0,3.0
W002,45,V,0,success,40.0,41.0,42.0,42.0,43.0,44.0,44.0,45.0,45.0,48.0,0.019199550545204988,0.027084669938782748,37.0,37.0,45.0,0.12770831041264347,46.0,0.11022311907207338,6.0,3.0,3.0
W002,45,H,0,success,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,40.0,0.3846657143605986,0.4335779713043738,37.0,37.0,36.0,0.1506728744894644,36.0,0.146226229882386,4.0,2.0,2.0
W002,45,Je,0,success,30.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,48.0,0.11682902234155927,0.13407602481053763,42.0,42.0,46.0,0.12577884940825684,45.0,0.12078822726429883,4.0,2.0,2.0
W002,45,Jw,0,success,37.0,37.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,45.0,0.10476883601705816,0.13767643043110506,37.0,37.0,39.0,0.13097319444392275,38.0,0.11482839684912877,7.0,5.0,2.0
W002,45,P,1,success,34.0,37.0,39.0,40.0,44.0,44.0,45.0,45.0,45.0,47.0,0.15950752644703564,0.17362204812034696,39.0,39.0,47.0,0.1727855549866658,46.0,0.1608027230250777,7.0,2.0,5.0
W002,45,V,1,success,36.0,37.0,38.0,40.0,41.0,42.0,44.0,45.0,45.0,47.0,0.15600386471719843,0.1777121681275874,37.0,37.0,45.0,0.11875926771829137,46.0,0.11109202191294243,7.0,2.0,5.0
W002,45,H,1,success,35.0,36.0,36.0,37.0,37.0,38.0,38.0,39.0,39.0,42.0,0.25797407983251824,0.29221150132277324,37.0,37.0,35.0,0.1087324918570399,36.0,0.1016271083026464,5.0,3.0,2.0
W002,45,Je,1,success,43.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,52.0,0.024810342837659018,0.030868581112743692,41.0,41.0,46.0,0.09719366344098235,47.0,0.09576233897038877,6.0,4.0,2.0
W002,45,Jw,1,success,38.0,38.0,39.0,40.0,40.0,41.0,42.0,42.0,43.0,47.0,0.048502971644586855,0.06613278327589903,37.0,37.0,39.0,0.08570953595713876,40.0,0.0815635497612687,7.0,4.0,3.0
W002,45,P,2,success,36.0,37.0,38.0,39.0,40.0,40.0,41.0,42.0,43.0,46.0,0.12408982686293393,0.14532688789186426,37.0,37.0,46.0,0.12711198931809442,46.0,0.11008149743570728,7.0,3.0,4.0
W002,45,V,2,success,38.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,45.0,48.0,0.06681116439588004,0.0813673583723939,37.0,37.0,45.0,0.1148969545243897,45.0,0.1048688147875369,6.0,3.0,3.0
W002,45,H,2,success,36.0,37.0,38.0,38.0,39.0,39.0,40.0,42.0,42.0,54.0,0.15278184307736858,0.17130076811217637,37.0,37.0,55.0,0.10472046637543042,54.0,0.09196230917064552,16.0,12.0,4.0
W002,45,Je,2,success,40.0,40.0,40.0,41.0,42.0,42.0,43.0,44.0,44.0,46.0,0.0487966977873707,0.04937065532364957,38.0,38.0,46.0,0.1251035901134674,45.0,0.10911311931415013,5.0,2.0,3.0
W002,45,Jw,2,success,38.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,51.0,0.07436577385457471,0.076573371526743,37.0,37.0,46.0,0.12056027699672858,47.0,0.09879244148502486,5.0,3.0,2.0
W002,45,P,3,success,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,45.0,0.0349289497838473,0.05948628222856965,37.0,37.0,45.0,0.11867489309084267,46.0,0.10056027218407393,5.0,3.0,2.0
W002,45,V,3,success,37.0,38.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,47.0,0.11246793125584126,0.12782144052889757,37.0,37.0,45.0,0.13571207416075604,45.0,0.10860893462236054,6.0,2.0,4.0
W002,45,H,3,success,36.0,37.0,37.0,38.0,39.0,39.0,40.0,41.0,41.0,50.0,0.13759781330154675,0.17063686849795823,37.0,37.0,37.0,0.09439730056117575,37.0,0.08583038946445316,12.0,9.0,3.0
