window_id,field,marker_family,marker_name,source_column,observed_value,median,q05,q25,q75,q95,q025,q975,q90_width,q95_width,iqr,valid_fraction,edge_hit_fraction,marker_reliability_label,marker_interpretation
W002,Jw,threshold,t20,t20_day,38.0,38.0,37.0,38.0,39.0,42.0,37.0,44.0,5.0,7.0,1.0,1.0,0.0,usable,t20 progress crossing; threshold diagnostic only
W002,Jw,threshold,t25,t25_day,39.0,39.0,38.0,38.0,40.0,43.0,37.0,45.0,5.0,8.0,2.0,1.0,0.0,usable,t25 progress crossing; threshold diagnostic only
W002,Jw,threshold,t30,t30_day,40.0,40.0,38.0,39.0,42.0,44.0,38.0,46.0,6.0,8.0,3.0,1.0,0.0,usable,t30 progress crossing; threshold diagnostic only
W002,Jw,threshold,t35,t35_day,41.0,41.0,39.0,39.0,43.0,45.0,38.0,47.0,6.0,9.0,4.0,1.0,0.0,usable,t35 progress crossing; threshold diagnostic only
W002,Jw,threshold,t40,t40_day,42.0,42.0,39.0,40.0,43.0,46.0,39.0,47.0,7.0,8.0,3.0,1.0,0.0,usable_with_caution,t40 progress crossing; threshold diagnostic only
W002,Jw,threshold,t45,t45_day,43.0,43.0,39.0,41.0,44.0,47.0,39.0,48.0,8.0,9.0,3.0,1.0,0.0,usable_with_caution,t45 progress crossing; threshold diagnostic only
W002,Jw,threshold,t50,t50_day,44.0,43.0,40.0,42.0,45.0,48.0,40.0,49.0,8.0,9.0,3.0,1.0,0.0,usable_with_caution,t50 progress crossing; threshold diagnostic only
W002,Jw,threshold,t75,t75_day,48.0,48.0,44.0,46.0,50.0,52.0,43.0,52.0,8.0,9.0,4.0,1.0,0.0,usable_with_caution,t75 progress crossing; threshold diagnostic only
W002,Jw,peak_change,peak_change_raw,peak_change_day_raw,38.0,42.0,37.0,38.0,46.0,53.0,37.0,53.0,16.0,16.0,8.0,1.0,,broad_uncertain,fastest progress-change day; not onset
W002,Jw,peak_change,peak_change_smooth3,peak_change_day_smooth3,38.0,40.0,38.0,38.0,46.0,52.0,38.0,53.0,14.0,15.0,8.0,1.0,,broad_uncertain,fastest progress-change day; not onset
W002,Jw,duration,duration_25_75,duration_25_75,9.0,8.0,5.0,7.0,10.0,13.0,5.0,13.0,8.0,8.0,3.0,1.0,,usable_with_caution,process-shape duration/tail diagnostic
W002,Jw,tail,tail_50_75,tail_50_75,4.0,4.0,2.0,3.0,5.0,8.0,2.0,9.0,6.0,7.0,2.0,1.0,,usable,process-shape duration/tail diagnostic
W002,Jw,early_span,early_span_25_50,early_span_25_50,5.0,4.0,2.0,3.0,5.0,7.0,2.0,9.0,5.0,7.0,2.0,1.0,,usable,process-shape duration/tail diagnostic
