field,prepost_foundation_label,transition_direction_label,projection_progress_validity_label,single_curve_adequacy_label,field_curve_foundation_label,prepost_distance_ratio,projection_distance_corr,projection_distance_median_abs_diff,fraction_progress_outside_0_1,median_projection_fraction,median_residual_fraction,dominant_component_fraction,component_timing_iqr_proxy,allowed_uses,prohibited_uses
P,strong_prepost_foundation,dominant_prepost_direction,usable_progress_proxy_with_caution,single_curve_adequate,usable_with_caution,29.87265322552928,0.9927180463167498,0.05771076163893257,0.3225806451612903,0.9318009318118641,0.3629695505438433,0.17486543352908684,0.8641724912507217,field_process_diagnostic;layer_specific_pair_relation_with_caution;marker_family_summary,causality;physical_strength;global_clean_order_without_validation
V,strong_prepost_foundation,dominant_prepost_direction,usable_progress_proxy_with_caution,single_curve_adequate,usable_with_caution,86.44131968721695,0.9993678653450404,0.011891935247869682,0.2903225806451613,0.9580464584410464,0.28661266476356706,0.19691644373483116,0.9021030436497193,field_process_diagnostic;layer_specific_pair_relation_with_caution;marker_family_summary,causality;physical_strength;global_clean_order_without_validation
H,strong_prepost_foundation,dominant_prepost_direction,usable_progress_proxy_with_caution,single_curve_adequate,usable_with_caution,22.66696633629805,0.9927157520749713,0.012900462770337406,0.2903225806451613,0.9425676453233605,0.3340153187232635,0.15025521235289874,0.963603772702827,field_process_diagnostic;layer_specific_pair_relation_with_caution;marker_family_summary,causality;physical_strength;global_clean_order_without_validation
Je,strong_prepost_foundation,dominant_prepost_direction,usable_progress_proxy_with_caution,single_curve_adequate,usable_with_caution,23.774996796165695,0.9857003051944206,0.05187668072687829,0.3548387096774194,0.8790430395025921,0.47674188509023074,0.2075533593048232,0.8648425315898275,field_process_diagnostic;layer_specific_pair_relation_with_caution;marker_family_summary,causality;physical_strength;global_clean_order_without_validation
Jw,strong_prepost_foundation,dominant_prepost_direction,usable_progress_proxy_with_caution,single_curve_adequate,usable_with_caution,49.02855189863322,0.9976416524854809,0.029104308402953416,0.22580645161290322,0.9068503356302936,0.4214526793478459,0.17682331145994362,0.9329396665524569,field_process_diagnostic;layer_specific_pair_relation_with_caution;marker_family_summary,causality;physical_strength;global_clean_order_without_validation
