window_subwindow,v_index,region,p_response_high_minus_low,abs_p_response_high_minus_low,v_response_high_minus_low,p_diff_std_map,v_diff_std_map,n_high,n_low
T3_full,V_strength,meiyu_band,0.9681441927014742,0.9681441927014742,2.446296963012218,2.263574264907149,1.2716054189325712,169,169
T3_full,V_strength,northeast_china,0.9491332224427341,0.9491332224427341,-0.12220247192993684,2.263574264907149,1.2716054189325712,169,169
T3_full,V_strength,south_china_scs,-2.4443906531301014,2.4443906531301014,1.884177292292552,2.263574264907149,1.2716054189325712,169,169
T3_full,V_strength,main_easm_domain,-0.6450840131650022,0.6450840131650022,0.8352744297993538,2.263574264907149,1.2716054189325712,169,169
T3_full,V_pos_centroid_lat,meiyu_band,-0.9278885156058608,0.9278885156058608,1.8413971329505339,1.9672908701409682,1.0595162311478004,169,169
T3_full,V_pos_centroid_lat,northeast_china,0.3909373066353838,0.3909373066353838,0.4045502468388512,1.9672908701409682,1.0595162311478004,169,169
T3_full,V_pos_centroid_lat,south_china_scs,-2.9865206611968445,2.9865206611968445,-1.1460446925704135,1.9672908701409682,1.0595162311478004,169,169
T3_full,V_pos_centroid_lat,main_easm_domain,-1.3126791951071894,1.3126791951071894,-0.1322209632819039,1.9672908701409682,1.0595162311478004,169,169
T3_full,V_NS_diff,meiyu_band,0.5794766980644996,0.5794766980644996,2.780065508367407,2.558964863406254,1.375822215438803,169,169
T3_full,V_NS_diff,northeast_china,0.7937761597115145,0.7937761597115145,0.005685327090150727,2.558964863406254,1.375822215438803,169,169
T3_full,V_NS_diff,south_china_scs,-3.8620980895405346,3.8620980895405346,1.0021002225359934,2.558964863406254,1.375822215438803,169,169
T3_full,V_NS_diff,main_easm_domain,-1.386190991579708,1.386190991579708,0.5224141190406386,2.558964863406254,1.375822215438803,169,169
T3_early,V_strength,meiyu_band,1.3040034224400288,1.3040034224400288,2.2099433646939084,2.2827509214413926,1.2737749702194887,90,90
T3_early,V_strength,northeast_china,0.8781927312210102,0.8781927312210102,-0.43578809092071,2.2827509214413926,1.2737749702194887,90,90
T3_early,V_strength,south_china_scs,-2.4837781028347483,2.4837781028347483,1.559805587153107,2.2827509214413926,1.2737749702194887,90,90
T3_early,V_strength,main_easm_domain,-0.6337034252844488,0.6337034252844488,0.5062982881405211,2.2827509214413926,1.2737749702194887,90,90
T3_early,V_pos_centroid_lat,meiyu_band,-0.5073491197559364,0.5073491197559364,1.7749294929333457,2.0093162723911586,1.0274947366477454,90,90
T3_early,V_pos_centroid_lat,northeast_china,0.7765936150074654,0.7765936150074654,0.23071056291404743,2.0093162723911586,1.0274947366477454,90,90
T3_early,V_pos_centroid_lat,south_china_scs,-2.7373233615603616,2.7373233615603616,-0.8852488716244602,2.0093162723911586,1.0274947366477454,90,90
T3_early,V_pos_centroid_lat,main_easm_domain,-0.965945416802165,0.965945416802165,-0.043677556580301584,2.0093162723911586,1.0274947366477454,90,90
T3_early,V_NS_diff,meiyu_band,1.3411775834601964,1.3411775834601964,2.464503081516044,2.5299447333213845,1.3153939071109664,90,90
T3_early,V_NS_diff,northeast_china,0.6513145391226093,0.6513145391226093,-0.17525050647711732,2.5299447333213845,1.3153939071109664,90,90
T3_early,V_NS_diff,south_china_scs,-3.7981240139285184,3.7981240139285184,0.8386345440033925,2.5299447333213845,1.3153939071109664,90,90
T3_early,V_NS_diff,main_easm_domain,-1.1027249105037988,1.1027249105037988,0.3507887419965905,2.5299447333213845,1.3153939071109664,90,90
T3_late,V_strength,meiyu_band,0.016099765311331095,0.016099765311331095,2.30169642484051,2.41688762391324,1.3176428587862021,79,79
T3_late,V_strength,northeast_china,1.1671533124856575,1.1671533124856575,0.08818790016954267,2.41688762391324,1.3176428587862021,79,79
T3_late,V_strength,south_china_scs,-1.9698569942123187,1.9698569942123187,1.9505662425664028,2.41688762391324,1.3176428587862021,79,79
T3_late,V_strength,main_easm_domain,-0.6963370573666177,0.6963370573666177,0.944338832301572,2.41688762391324,1.3176428587862021,79,79
T3_late,V_pos_centroid_lat,meiyu_band,-1.4776790626405776,1.4776790626405776,1.9319588290361576,2.153958149805958,1.2398861139528958,79,79
T3_late,V_pos_centroid_lat,northeast_china,0.29871463924087394,0.29871463924087394,0.4646177881437791,2.153958149805958,1.2398861139528958,79,79
T3_late,V_pos_centroid_lat,south_china_scs,-2.742687763758139,2.742687763758139,-1.4274270735700192,2.153958149805958,1.2398861139528958,79,79
T3_late,V_pos_centroid_lat,main_easm_domain,-1.467734287888658,1.467734287888658,-0.23859122442139388,2.153958149805958,1.2398861139528958,79,79
T3_late,V_NS_diff,meiyu_band,-0.5006576832979255,0.5006576832979255,2.674777944289094,2.6821447217876075,1.3851216549191259,79,79
T3_late,V_NS_diff,northeast_china,0.8357257947115466,0.8357257947115466,0.2819380480382683,2.6821447217876075,1.3851216549191259,79,79
T3_late,V_NS_diff,south_china_scs,-3.688278372992886,3.688278372992886,0.9128565204063035,2.6821447217876075,1.3851216549191259,79,79
T3_late,V_NS_diff,main_easm_domain,-1.6084778072800678,1.6084778072800678,0.5866483316308969,2.6821447217876075,1.3851216549191259,79,79
