window_subwindow,source_index,target_index,lag,r,abs_r,n
S3,V_strength,P_main_band_share,-5,0.007980329373019058,0.007980329373019058,810
S3,V_strength,P_main_band_share,-4,0.04300780191759746,0.04300780191759746,810
S3,V_strength,P_main_band_share,-3,0.09478851212777287,0.09478851212777287,810
S3,V_strength,P_main_band_share,-2,0.15503709891092546,0.15503709891092546,810
S3,V_strength,P_main_band_share,-1,0.21714237126003633,0.21714237126003633,810
S3,V_strength,P_main_band_share,0,0.26920548984511006,0.26920548984511006,810
S3,V_strength,P_main_band_share,1,0.29747463526093254,0.29747463526093254,810
S3,V_strength,P_main_band_share,2,0.2983206256833771,0.2983206256833771,810
S3,V_strength,P_main_band_share,3,0.27595071944036537,0.27595071944036537,810
S3,V_strength,P_main_band_share,4,0.23888247517742106,0.23888247517742106,810
S3,V_strength,P_main_band_share,5,0.1944054840264445,0.1944054840264445,810
S3,V_strength,P_south_band_share_18_24,-5,-0.05895160860348007,0.05895160860348007,810
S3,V_strength,P_south_band_share_18_24,-4,-0.08963532296962996,0.08963532296962996,810
S3,V_strength,P_south_band_share_18_24,-3,-0.1263553016379947,0.1263553016379947,810
S3,V_strength,P_south_band_share_18_24,-2,-0.17035128557426502,0.17035128557426502,810
S3,V_strength,P_south_band_share_18_24,-1,-0.22265361299440198,0.22265361299440198,810
S3,V_strength,P_south_band_share_18_24,0,-0.28387573361880397,0.28387573361880397,810
S3,V_strength,P_south_band_share_18_24,1,-0.34589784536521917,0.34589784536521917,810
S3,V_strength,P_south_band_share_18_24,2,-0.39718101583531135,0.39718101583531135,810
S3,V_strength,P_south_band_share_18_24,3,-0.4257552248879833,0.4257552248879833,810
S3,V_strength,P_south_band_share_18_24,4,-0.42624846645029535,0.42624846645029535,810
S3,V_strength,P_south_band_share_18_24,5,-0.4009336817026758,0.4009336817026758,810
S3,V_strength,P_main_minus_south,-5,0.03175977417006385,0.03175977417006385,810
S3,V_strength,P_main_minus_south,-4,0.06917471359606561,0.06917471359606561,810
S3,V_strength,P_main_minus_south,-3,0.12062148286141146,0.12062148286141146,810
S3,V_strength,P_main_minus_south,-2,0.18104990229512852,0.18104990229512852,810
S3,V_strength,P_main_minus_south,-1,0.2464486303303076,0.2464486303303076,810
S3,V_strength,P_main_minus_south,0,0.3090431220558062,0.3090431220558062,810
S3,V_strength,P_main_minus_south,1,0.35590012874403554,0.35590012874403554,810
S3,V_strength,P_main_minus_south,2,0.3794048270045431,0.3794048270045431,810
S3,V_strength,P_main_minus_south,3,0.3770505122572285,0.3770505122572285,810
S3,V_strength,P_main_minus_south,4,0.35219659582697044,0.35219659582697044,810
S3,V_strength,P_main_minus_south,5,0.31079045343181355,0.31079045343181355,810
S3,V_strength,P_spread_lat,-5,0.047370911085764585,0.047370911085764585,810
S3,V_strength,P_spread_lat,-4,0.04838525086965995,0.04838525086965995,810
S3,V_strength,P_spread_lat,-3,0.04976314649707883,0.04976314649707883,810
S3,V_strength,P_spread_lat,-2,0.062144802526342004,0.062144802526342004,810
S3,V_strength,P_spread_lat,-1,0.08840542358000364,0.08840542358000364,810
S3,V_strength,P_spread_lat,0,0.1305160391284244,0.1305160391284244,810
S3,V_strength,P_spread_lat,1,0.1856688668118796,0.1856688668118796,810
