source_index,target_index,profile_type_early,profile_type_late,positive_peak_abs_r_early,positive_peak_abs_r_late,lag0_abs_r_early,lag0_abs_r_late,negative_peak_abs_r_early,negative_peak_abs_r_late,d_positive_late_minus_early,d_lag0_late_minus_early,d_negative_late_minus_early,dilution_class
V_NS_diff,P_main_band_share,flat_lag0_positive_close,weak_all_lags,0.26227227320823454,0.05762315810574365,0.2725819117587155,0.02851446397229253,0.24730434773806867,0.05413447259379495,-0.2046491151024909,-0.24406744778642295,-0.19316987514427372,profile_type_changed
V_NS_diff,P_main_minus_south,flat_lag0_positive_close,weak_all_lags,0.38791877702875577,0.17194119345427492,0.36037709796525114,0.029632249953143713,0.2991248933947545,0.1471679940764277,-0.21597758357448085,-0.3307448480121074,-0.15195689931832682,early_strong_late_weak
V_NS_diff,P_north_band_share_35_45,flat_lag0_positive_close,positive_peak_clear,0.3665293087173401,0.3157600523329387,0.33739724052248665,0.2462270446159465,0.2897304279352779,0.1619531602115936,-0.050769256384401384,-0.09117019590654016,-0.12777726772368433,profile_type_changed
V_NS_diff,P_north_minus_main_35_45,weak_all_lags,weak_all_lags,0.1178470914402263,0.14084286905216092,0.03730564428798893,0.1120756526349609,0.04564438176374658,0.08606173501750009,0.022995777611934623,0.07477000834697198,0.04041735325375351,both_weak
V_NS_diff,P_south_band_share_18_24,positive_peak_clear,multi_peak_close,0.49711874585766497,0.2612113866327208,0.40599194886371465,0.02096673827849287,0.30837467171024135,0.22053750178041928,-0.23590735922494416,-0.38502521058522177,-0.08783716992982207,profile_type_changed
V_NS_diff,P_spread_lat,positive_peak_clear,positive_peak_clear,0.4524701793896929,0.35305182901058346,0.3652773594129819,0.1638816605511173,0.2880689244756886,0.17712290884285653,-0.09941835037910945,-0.2013956988618646,-0.11094601563283207,both_similar_or_unclear
V_NS_diff,P_total_centroid_lat_10_50,flat_lag0_positive_close,positive_peak_clear,0.358626135446158,0.3294411924214718,0.3508255395563934,0.2537009353998923,0.3154055159335151,0.16519490836991452,-0.029184943024686216,-0.0971246041565011,-0.1502106075636006,early_reverse_late_positive_shift
V_pos_centroid_lat,P_main_band_share,reverse_peak,positive_peak_clear,0.17877661532618438,0.20255953271960003,0.17391736260633134,0.07577669368029775,0.31034408696665766,0.0715345057213468,0.023782917393415648,-0.09814066892603358,-0.23880958124531088,profile_type_changed
V_pos_centroid_lat,P_main_minus_south,flat_lag0_positive_close,weak_all_lags,0.22671519121994635,0.14411852600908917,0.3256786332611324,0.12283829325124594,0.3737624036970809,0.07744824325870257,-0.08259666521085718,-0.20284034000988643,-0.2963141604383783,profile_type_changed
V_pos_centroid_lat,P_north_band_share_35_45,flat_lag0_positive_close,flat_lag0_positive_close,0.34818494534779953,0.44415790418103096,0.39314757031627984,0.47378892810732276,0.40129242500481777,0.4653569098295265,0.09597295883323143,0.08064135779104292,0.06406448482470872,early_reverse_late_positive_shift
V_pos_centroid_lat,P_north_minus_main_35_45,positive_peak_clear,flat_lag0_positive_close,0.2214328284859022,0.30626808404105316,0.07483615041652165,0.31874044914227023,0.09577788961065149,0.3092419782817058,0.08483525555515095,0.2439042987257486,0.21346408867105432,profile_type_changed
V_pos_centroid_lat,P_south_band_share_18_24,flat_lag0_positive_close,flat_lag0_positive_close,0.4066691474893302,0.3842423732710325,0.46532592512175813,0.3342463824995801,0.4488880295316856,0.24103089829511978,-0.022426774218297696,-0.13107954262217802,-0.20785713123656582,early_reverse_late_positive_shift
V_pos_centroid_lat,P_spread_lat,flat_lag0_positive_close,flat_lag0_positive_close,0.5419867481238249,0.5672972739224792,0.559151378007707,0.5324543748490509,0.48752822890358155,0.450220781758972,0.025310525798654337,-0.026697003158656085,-0.03730744714460954,early_reverse_late_positive_shift
V_pos_centroid_lat,P_total_centroid_lat_10_50,reverse_peak,flat_lag0_positive_close,0.23750205026265933,0.23579761202366192,0.3437122627873055,0.272736662717745,0.43733881862935947,0.2712626152894196,-0.0017044382389974078,-0.0709756000695605,-0.1660762033399399,profile_type_changed
V_strength,P_main_band_share,positive_peak_clear,weak_all_lags,0.21141056972242836,0.08137948852361335,0.129075619880418,0.011374215151804996,0.07572198571127556,0.08244530905459166,-0.130031081198815,-0.117701404728613,0.006723323343316101,profile_type_changed
