window,family_direction,n_rows,n_stable_lag_dominant,n_tau0_coupled,n_audit_sensitive,stable_fraction,tau0_coupled_fraction
S3,H→Je,12,0,0,0,0.0,0.0
S3,H→Jw,12,0,0,0,0.0,0.0
S3,H→P,28,2,1,2,0.07142857142857142,0.03571428571428571
S3,H→V,12,1,2,0,0.08333333333333333,0.16666666666666666
S3,Je→H,12,1,1,0,0.08333333333333333,0.08333333333333333
S3,Je→Jw,9,0,0,0,0.0,0.0
S3,Je→P,21,0,1,0,0.0,0.047619047619047616
S3,Je→V,9,0,0,0,0.0,0.0
S3,Jw→H,12,0,0,0,0.0,0.0
S3,Jw→Je,9,1,0,0,0.1111111111111111,0.0
S3,Jw→P,21,3,0,0,0.14285714285714285,0.0
S3,Jw→V,9,0,0,0,0.0,0.0
S3,P→H,28,0,0,0,0.0,0.0
S3,P→Je,21,0,0,0,0.0,0.0
S3,P→Jw,21,0,0,0,0.0,0.0
S3,P→V,21,1,0,0,0.047619047619047616,0.0
S3,V→H,12,4,1,0,0.3333333333333333,0.08333333333333333
S3,V→Je,9,0,0,0,0.0,0.0
S3,V→Jw,9,0,0,0,0.0,0.0
S3,V→P,21,8,4,0,0.38095238095238093,0.19047619047619047
T3,H→Je,12,0,0,0,0.0,0.0
T3,H→Jw,12,0,0,0,0.0,0.0
T3,H→P,28,0,0,0,0.0,0.0
T3,H→V,12,0,0,0,0.0,0.0
T3,Je→H,12,0,0,0,0.0,0.0
T3,Je→Jw,9,0,0,0,0.0,0.0
T3,Je→P,21,0,2,0,0.0,0.09523809523809523
T3,Je→V,9,0,0,0,0.0,0.0
T3,Jw→H,12,0,0,0,0.0,0.0
T3,Jw→Je,9,0,0,0,0.0,0.0
T3,Jw→P,21,0,0,0,0.0,0.0
T3,Jw→V,9,0,0,0,0.0,0.0
T3,P→H,28,0,0,0,0.0,0.0
T3,P→Je,21,0,0,0,0.0,0.0
T3,P→Jw,21,0,2,0,0.0,0.09523809523809523
T3,P→V,21,1,1,0,0.047619047619047616,0.047619047619047616
T3,V→H,12,0,0,0,0.0,0.0
T3,V→Je,9,0,0,0,0.0,0.0
T3,V→Jw,9,0,0,0,0.0,0.0
T3,V→P,21,2,2,0,0.09523809523809523,0.09523809523809523
S4,H→Je,12,0,0,1,0.0,0.0
S4,H→Jw,12,1,0,0,0.08333333333333333,0.0
S4,H→P,28,1,3,0,0.03571428571428571,0.10714285714285714
S4,H→V,12,4,0,0,0.3333333333333333,0.0
S4,Je→H,12,0,0,0,0.0,0.0
S4,Je→Jw,9,0,0,0,0.0,0.0
S4,Je→P,21,0,0,0,0.0,0.0
S4,Je→V,9,0,0,0,0.0,0.0
S4,Jw→H,12,0,0,0,0.0,0.0
S4,Jw→Je,9,1,0,0,0.1111111111111111,0.0
S4,Jw→P,21,0,0,0,0.0,0.0
S4,Jw→V,9,0,0,0,0.0,0.0
S4,P→H,28,1,0,0,0.03571428571428571,0.0
S4,P→Je,21,0,0,0,0.0,0.0
S4,P→Jw,21,0,0,0,0.0,0.0
S4,P→V,21,0,1,0,0.0,0.047619047619047616
S4,V→H,12,0,0,0,0.0,0.0
S4,V→Je,9,1,1,0,0.1111111111111111,0.1111111111111111
S4,V→Jw,9,0,0,0,0.0,0.0
S4,V→P,21,6,3,0,0.2857142857142857,0.14285714285714285
