window_subwindow,p_target_group,n_pairs,mean_positive_peak_abs_r,mean_lag0_abs_r,mean_negative_peak_abs_r,n_positive_peak_clear,n_lag0_peak,n_weak_all_lags,n_flat_lag0_positive_close
T3_early,mainband_group,9,0.21574782134183262,0.17174340829663012,0.18386662702448797,3,0,2,3
T3_early,spread_centroid_south_group,9,0.3816075890570799,0.3340450559474912,0.29374001134806965,5,0,0,3
T3_early,north_group,3,0.32906997975038355,0.3058319242933641,0.27804366402723285,1,0,0,2
T3_late,mainband_group,9,0.14448157842903417,0.09201235154313903,0.11983206818823594,1,0,7,1
T3_late,spread_centroid_south_group,9,0.30341373009647876,0.21448559720333457,0.242184637935433,3,0,0,3
T3_late,north_group,3,0.32376009177452875,0.25379425650979304,0.28149528003462965,1,0,0,1
T3_full,mainband_group,9,0.18945635787760987,0.13912419377700547,0.12449275293079753,1,0,4,4
T3_full,spread_centroid_south_group,9,0.3383638119695525,0.25189730350130235,0.21199274987353434,5,0,0,4
T3_full,north_group,3,0.30791545764375977,0.2596244475631097,0.23612995858559438,2,0,0,1
