family_direction,t3_stable_fraction,neighbor_mean_stable_fraction,t3_minus_neighbor_stable_fraction,t3_tau0_coupled_fraction,neighbor_mean_tau0_coupled_fraction,t3_minus_neighbor_tau0_fraction
H→Je,0.0,0.0,0.0,0.0,0.0,0.0
H→Jw,0.0,0.041666666666666664,-0.041666666666666664,0.0,0.0,0.0
H→P,0.0,0.05357142857142857,-0.05357142857142857,0.0,0.07142857142857142,-0.07142857142857142
H→V,0.0,0.20833333333333331,-0.20833333333333331,0.0,0.08333333333333333,-0.08333333333333333
Je→H,0.0,0.041666666666666664,-0.041666666666666664,0.0,0.041666666666666664,-0.041666666666666664
Je→Jw,0.0,0.0,0.0,0.0,0.0,0.0
Je→P,0.0,0.0,0.0,0.09523809523809523,0.023809523809523808,0.07142857142857142
Je→V,0.0,0.0,0.0,0.0,0.0,0.0
Jw→H,0.0,0.0,0.0,0.0,0.0,0.0
Jw→Je,0.0,0.1111111111111111,-0.1111111111111111,0.0,0.0,0.0
Jw→P,0.0,0.07142857142857142,-0.07142857142857142,0.0,0.0,0.0
Jw→V,0.0,0.0,0.0,0.0,0.0,0.0
P→H,0.0,0.017857142857142856,-0.017857142857142856,0.0,0.0,0.0
P→Je,0.0,0.0,0.0,0.0,0.0,0.0
P→Jw,0.0,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523
P→V,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.023809523809523808
V→H,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.041666666666666664,-0.041666666666666664
V→Je,0.0,0.05555555555555555,-0.05555555555555555,0.0,0.05555555555555555,-0.05555555555555555
V→Jw,0.0,0.0,0.0,0.0,0.0,0.0
V→P,0.09523809523809523,0.3333333333333333,-0.23809523809523808,0.09523809523809523,0.16666666666666666,-0.07142857142857142
