window_subwindow,region,regional_p_mean,regional_p_variance_mean,regional_positive_weighted_sum,regional_positive_share_of_main_domain,n_samples
S3,meiyu_band,7.240380095104151,62.03730277723089,28595.29011396702,0.22850275948660786,810
S3,northeast_china,3.9465547758772077,15.878579076806574,11540.627629762697,0.09222026596331416,810
S3,south_china_scs,7.965199598787628,66.45389698658954,46664.32853512622,0.372891052945038,810
S3,main_easm_domain,6.498217980295014,48.93178712895867,125141.99031212549,1.0,810
T3_early,meiyu_band,6.486715001791337,49.02224528622076,25618.751353712898,0.20224829977055017,360
T3_early,northeast_china,4.438010015037677,18.76017659510933,12977.755006408897,0.10245342751665944,360
T3_early,south_china_scs,8.637012678598419,77.99836898037762,50600.16289579402,0.3994650938483013,360
T3_early,main_easm_domain,6.577552101502167,49.47558247389072,126669.79837544869,1.0,360
T3_late,meiyu_band,5.732649276438147,38.14737985860784,22640.630329921085,0.17413517526086017,315
T3_late,northeast_china,4.487609482405412,22.31540135342349,13122.795178415217,0.10093094604728126,315
T3_late,south_china_scs,9.48810625248232,87.22734986548679,55586.3166830636,0.4275293071199884,315
T3_late,main_easm_domain,6.751390432980985,51.82304860023096,130017.55846287048,1.0,315
S4,meiyu_band,5.94837966318104,39.63118513834945,23492.63988111614,0.18547828196271604,1755
S4,northeast_china,3.7435086868277447,18.76031060877791,10946.874485951677,0.0864273867385968,1755
S4,south_china_scs,9.121973347714745,84.00860133594959,53441.317559853334,0.4219280513806009,1755
S4,main_easm_domain,6.577032297699711,51.652223116249104,126659.78804913946,1.0,1755
