index_name,family,representativeness_tier,risk_flag,field_R2,eof_alignment,coverage_tier,joint_field_R2_year_cv,joint_eof_coverage_top5_year_cv,collapse_risk_update
V_strength,V,strong,low,0.2251071646042307,0.7958913304084595,high_joint_coverage,0.4129431736469598,0.5337056537980382,no_family_collapse_update_supported
V_pos_centroid_lat,V,strong,low,0.1613489571408796,0.5758838873814501,high_joint_coverage,0.4129431736469598,0.5337056537980382,no_family_collapse_update_supported
V_NS_diff,V,strong,low,0.2308565436270677,0.948703159271449,high_joint_coverage,0.4129431736469598,0.5337056537980382,no_family_collapse_update_supported
P_main_band_share,P,strong,low,0.1068676318368186,0.8073495403639289,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_south_band_share_18_24,P,strong,low,0.0867010872704704,0.7937156950430916,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_main_minus_south,P,strong,low,0.1064779006918225,0.888570638605066,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_spread_lat,P,strong,low,0.0536608165945662,0.543338170128637,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_north_band_share_35_45,P,strong,low,0.0521047310999036,0.4824369157559644,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_north_minus_main_35_45,P,strong,low,0.0764339882543444,0.5762412527966096,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
P_total_centroid_lat_10_50,P,strong,low,0.0906596249200422,0.7670718891233285,high_joint_coverage,0.2351246174754845,0.5582227633157968,no_family_collapse_update_supported
