positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,profile_type,subwindow,day_start,day_end,source_variable,target_variable
2,0.22982178057417796,0.22982178057417796,0.1452931863112429,0.1452931863112429,-5,-0.09219454579490588,0.09219454579490588,positive_peak_clear,T3_early,106,112,V_strength,P_main_band_share
3,-0.37403403704269567,0.37403403704269567,-0.24379179070590098,0.24379179070590098,-1,-0.17691274724871983,0.17691274724871983,positive_peak_clear,T3_early,106,112,V_strength,P_south_band_share_18_24
2,0.31220213195667784,0.31220213195667784,0.20399553621722596,0.20399553621722596,-1,0.12525249868455948,0.12525249868455948,positive_peak_clear,T3_early,106,112,V_strength,P_main_minus_south
4,0.2936251915614678,0.2936251915614678,0.20277981561598887,0.20277981561598887,-2,0.192898746607005,0.192898746607005,positive_peak_clear,T3_early,106,112,V_strength,P_spread_lat
4,0.28018918443786167,0.28018918443786167,0.20672283653792936,0.20672283653792936,-1,0.1774553920161297,0.1774553920161297,positive_peak_clear,T3_early,106,112,V_strength,P_north_band_share_35_45
5,0.06542252356283944,0.06542252356283944,-0.0028752770078508613,0.0028752770078508613,-4,0.14979121069433068,0.14979121069433068,weak_all_lags,T3_early,106,112,V_strength,P_north_minus_main_35_45
3,0.2952771905843345,0.2952771905843345,0.17455455848978182,0.17455455848978182,-1,0.11601573696100666,0.11601573696100666,positive_peak_clear,T3_early,106,112,V_strength,P_total_centroid_lat_10_50
4,-0.160025359871459,0.160025359871459,0.16924276045433298,0.16924276045433298,-3,0.3363463198413324,0.3363463198413324,reverse_peak,T3_early,106,112,V_pos_centroid_lat,P_main_band_share
1,-0.3855268078481143,0.3855268078481143,-0.45099642482058205,0.45099642482058205,-1,-0.43984288923168546,0.43984288923168546,lag0_peak,T3_early,106,112,V_pos_centroid_lat,P_south_band_share_18_24
1,0.20957706591982736,0.20957706591982736,0.3147887566973048,0.3147887566973048,-2,0.3766579960620761,0.3766579960620761,reverse_peak,T3_early,106,112,V_pos_centroid_lat,P_main_minus_south
1,0.5364406507822275,0.5364406507822275,0.5536842953943307,0.5536842953943307,-1,0.4710028759202951,0.4710028759202951,flat_lag0_positive_close,T3_early,106,112,V_pos_centroid_lat,P_spread_lat
1,0.3431915704196681,0.3431915704196681,0.3769820911841226,0.3769820911841226,-1,0.3754962572177617,0.3754962572177617,lag0_peak,T3_early,106,112,V_pos_centroid_lat,P_north_band_share_35_45
3,0.22837492059669245,0.22837492059669245,0.07326624176007612,0.07326624176007612,-4,-0.11913762266358989,0.11913762266358989,positive_peak_clear,T3_early,106,112,V_pos_centroid_lat,P_north_minus_main_35_45
1,0.23289473607956787,0.23289473607956787,0.32880579855259096,0.32880579855259096,-2,0.41941255386775217,0.41941255386775217,reverse_peak,T3_early,106,112,V_pos_centroid_lat,P_total_centroid_lat_10_50
