positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,profile_type,subwindow,day_start,day_end,source_variable,target_variable
1,0.2751285864172463,0.2751285864172463,0.2836930141112234,0.2836930141112234,-1,0.2527811528189986,0.2527811528189986,flat_lag0_positive_close,T3_early,106,112,V_NS_diff,P_main_band_share
2,-0.5090515293304958,0.5090515293304958,-0.4401214581479309,0.4401214581479309,-1,-0.34762999867493677,0.34762999867493677,positive_peak_clear,T3_early,106,112,V_NS_diff,P_south_band_share_18_24
1,0.4049540448987143,0.4049540448987143,0.3817278722643313,0.3817278722643313,-1,0.3195575954637242,0.3195575954637242,flat_lag0_positive_close,T3_early,106,112,V_NS_diff,P_main_minus_south
2,0.45617997897225165,0.45617997897225165,0.38940757327176034,0.38940757327176034,-1,0.3209187410958128,0.3209187410958128,positive_peak_clear,T3_early,106,112,V_NS_diff,P_spread_lat
1,0.3672113397768976,0.3672113397768976,0.3446289490577296,0.3446289490577296,-1,0.30616471073853013,0.30616471073853013,flat_lag0_positive_close,T3_early,106,112,V_NS_diff,P_north_band_share_35_45
5,0.12341934671331664,0.12341934671331664,-0.03958243092908313,0.03958243092908313,-5,0.07092173799093705,0.07092173799093705,weak_all_lags,T3_early,106,112,V_NS_diff,P_north_minus_main_35_45
1,0.3584023704322144,0.3584023704322144,0.3514285698564367,0.3514285698564367,-1,0.31837836083616305,0.31837836083616305,flat_lag0_positive_close,T3_early,106,112,V_NS_diff,P_total_centroid_lat_10_50
4,0.09589855156075394,0.09589855156075394,-0.0002909816956156127,0.0002909816956156127,-3,-0.07974370359828502,0.07974370359828502,weak_all_lags,T3_late,113,120,V_strength,P_main_band_share
5,-0.17020229259916195,0.17020229259916195,0.15578922460994613,0.15578922460994613,-2,0.23956301504883348,0.23956301504883348,reverse_peak,T3_late,113,120,V_strength,P_south_band_share_18_24
5,0.1493249198978485,0.1493249198978485,-0.07955850392826778,0.07955850392826778,-3,-0.17027212374237524,0.17027212374237524,weak_all_lags,T3_late,113,120,V_strength,P_main_minus_south
5,0.1748920107283323,0.1748920107283323,-0.06742677880738415,0.06742677880738415,-3,-0.22614891479002397,0.22614891479002397,reverse_peak,T3_late,113,120,V_strength,P_spread_lat
3,0.19752526985767985,0.19752526985767985,0.04644491138236358,0.04644491138236358,-4,-0.22210114542275117,0.22210114542275117,reverse_peak,T3_late,113,120,V_strength,P_north_band_share_35_45
2,0.05121082465387459,0.05121082465387459,0.024263608625722292,0.024263608625722292,-5,-0.08474323962212611,0.08474323962212611,weak_all_lags,T3_late,113,120,V_strength,P_north_minus_main_35_45
3,0.2797808144135396,0.2797808144135396,0.09830833268165313,0.09830833268165313,-4,-0.17805281483288127,0.17805281483288127,positive_peak_clear,T3_late,113,120,V_strength,P_total_centroid_lat_10_50
5,-0.2249657224437672,0.2249657224437672,-0.03338250363608582,0.03338250363608582,-5,-0.04326710749280102,0.04326710749280102,positive_peak_clear,T3_late,113,120,V_pos_centroid_lat,P_main_band_share
1,-0.4012371664366993,0.4012371664366993,-0.3602261175371134,0.3602261175371134,-1,-0.2761901984747238,0.2761901984747238,positive_peak_clear,T3_late,113,120,V_pos_centroid_lat,P_south_band_share_18_24
1,0.17104734296056626,0.17104734296056626,0.16166008932524092,0.16166008932524092,-1,0.1254049251592116,0.1254049251592116,weak_all_lags,T3_late,113,120,V_pos_centroid_lat,P_main_minus_south
1,0.5640945846943651,0.5640945846943651,0.5347217528019109,0.5347217528019109,-1,0.46153721390511226,0.46153721390511226,flat_lag0_positive_close,T3_late,113,120,V_pos_centroid_lat,P_spread_lat
1,0.4361448620959003,0.4361448620959003,0.47383753538843787,0.47383753538843787,-1,0.47277258886790213,0.47277258886790213,lag0_peak,T3_late,113,120,V_pos_centroid_lat,P_north_band_share_35_45
1,0.2746578409447062,0.2746578409447062,0.28409338074514917,0.28409338074514917,-1,0.2752869074806873,0.2752869074806873,flat_lag0_positive_close,T3_late,113,120,V_pos_centroid_lat,P_north_minus_main_35_45
1,0.24149425507821828,0.24149425507821828,0.2943232171324846,0.2943232171324846,-1,0.3078666251676635,0.3078666251676635,reverse_peak,T3_late,113,120,V_pos_centroid_lat,P_total_centroid_lat_10_50
2,0.08396226315252858,0.08396226315252858,0.060855122012278814,0.060855122012278814,-4,-0.043262356789761244,0.043262356789761244,weak_all_lags,T3_late,113,120,V_NS_diff,P_main_band_share
3,-0.286285799823797,0.286285799823797,-0.05676600136141695,0.05676600136141695,-4,0.21348245136028607,0.21348245136028607,positive_peak_clear,T3_late,113,120,V_NS_diff,P_south_band_share_18_24
3,0.19169314805870713,0.19169314805870713,0.06876939518132826,0.06876939518132826,-4,-0.13708953138504776,0.13708953138504776,weak_all_lags,T3_late,113,120,V_NS_diff,P_main_minus_south
3,0.35834898684763994,0.35834898684763994,0.1776221462600241,0.1776221462600241,-4,-0.1759517498324876,0.1759517498324876,positive_peak_clear,T3_late,113,120,V_NS_diff,P_spread_lat
2,0.3164469376474727,0.3164469376474727,0.25048681455755145,0.25048681455755145,-1,0.16594098588998854,0.16594098588998854,positive_peak_clear,T3_late,113,120,V_NS_diff,P_north_band_share_35_45
5,0.12904904077114587,0.12904904077114587,0.08836105666962091,0.08836105666962091,-1,0.062112228263019556,0.062112228263019556,weak_all_lags,T3_late,113,120,V_NS_diff,P_north_minus_main_35_45
2,0.3327610140288681,0.3327610140288681,0.27054483183916084,0.27054483183916084,-1,0.18628448605352038,0.18628448605352038,positive_peak_clear,T3_late,113,120,V_NS_diff,P_total_centroid_lat_10_50
