relation,index_name,field_key,n_total_samples,n_high_samples,n_low_samples,high_threshold,low_threshold,diff_mean,diff_std,diff_max_abs,zonal_profile_max_abs,meridional_profile_max_abs
P_index_to_P_field,P_main_band_share,precip,675,169,169,0.42254498962401554,0.2049186832197862,-0.4026160259057793,3.249375035880746,41.44481003665361,3.5802503865584754,2.5257944294988652
P_index_to_P_field,P_south_band_share_18_24,precip,675,169,169,0.3123330098051349,0.1322581270288882,0.43518382996350347,3.054534536036647,37.27208832509416,4.209289048873163,3.920463243395949
P_index_to_P_field,P_main_minus_south,precip,675,169,169,0.2510605650096486,-0.09571940124731054,-0.42550721329499275,3.3498979831597238,44.515052793152925,4.138938699645241,3.4119751709765076
P_index_to_P_field,P_spread_lat,precip,675,169,169,9.013039706372233,7.573664336138906,-0.17359871263356372,2.015691771515222,20.182552642370823,2.0252996189497945,2.4519445103020354
P_index_to_P_field,P_north_band_share_35_45,precip,675,169,169,0.22348329044957693,0.122426267457789,-0.24650796971992361,1.97369671054887,20.782806872757206,2.184153378748347,1.803267556199222
P_index_to_P_field,P_north_minus_main_35_45,precip,675,169,169,0.025271601825557752,-0.2080293123832354,0.19858454585798532,2.4176604807116187,28.482679319663887,2.334183300278128,1.4402879066605414
P_index_to_P_field,P_total_centroid_lat_10_50,precip,675,169,169,28.01705831751614,24.14498539872391,-0.43428623574730946,3.061267514275352,33.65560978319518,3.9060276393862017,2.5521152033889085
V_index_to_P_field,V_strength,precip,675,169,169,3.8410613823486166,2.118642654244128,-0.1447476606944188,2.1582199746426136,18.78220025463217,1.4526549218559306,2.375804357863619
V_index_to_P_field,V_pos_centroid_lat,precip,675,169,169,22.995681916129676,20.81325384875717,-0.3278450346828543,2.1596845155596505,29.97806231933231,2.633406143050704,3.4976710957295234
V_index_to_P_field,V_NS_diff,precip,675,169,169,233.26451603731152,101.20066836534096,-0.3252040084244433,2.5196129466089716,27.64330199202136,2.3796524368800993,3.223319986661135
V_index_to_V_field,V_strength,v850,675,169,169,3.8410613823486166,2.118642654244128,0.0022542686318665294,1.2540812838966218,7.1496380452441395,0.5007356760917822,1.8208645168177824
V_index_to_V_field,V_pos_centroid_lat,v850,675,169,169,22.995681916129676,20.81325384875717,0.03294732350580523,1.141537632173881,7.554832601450251,0.4015997050195692,1.029900303279585
V_index_to_V_field,V_NS_diff,v850,675,169,169,233.26451603731152,101.20066836534096,-0.03415130906960532,1.3676294133975762,8.070786946813554,0.48569906367432253,1.7775230763965855
