subwindow,day_start,day_end,source_variable,target_variable,lag,n_pairs,signed_r,abs_r
T3_early,106,112,V_strength,P_main_band_share,-5,315,-0.09219454579490588,0.09219454579490588
T3_early,106,112,V_strength,P_main_band_share,-4,315,-0.08673827879262229,0.08673827879262229
T3_early,106,112,V_strength,P_main_band_share,-3,315,-0.05154041088724472,0.05154041088724472
T3_early,106,112,V_strength,P_main_band_share,-2,315,0.0008200335107741637,0.0008200335107741637
T3_early,106,112,V_strength,P_main_band_share,-1,315,0.06920406644008444,0.06920406644008444
T3_early,106,112,V_strength,P_main_band_share,0,315,0.1452931863112429,0.1452931863112429
T3_early,106,112,V_strength,P_main_band_share,1,315,0.20780276610945683,0.20780276610945683
T3_early,106,112,V_strength,P_main_band_share,2,315,0.22982178057417796,0.22982178057417796
T3_early,106,112,V_strength,P_main_band_share,3,315,0.21438753759616835,0.21438753759616835
T3_early,106,112,V_strength,P_main_band_share,4,315,0.17698495329799746,0.17698495329799746
T3_early,106,112,V_strength,P_main_band_share,5,315,0.1263704199319126,0.1263704199319126
T3_early,106,112,V_strength,P_south_band_share_18_24,-5,315,-0.031313490710510615,0.031313490710510615
T3_early,106,112,V_strength,P_south_band_share_18_24,-4,315,-0.04139703958626414,0.04139703958626414
T3_early,106,112,V_strength,P_south_band_share_18_24,-3,315,-0.07858004131195856,0.07858004131195856
T3_early,106,112,V_strength,P_south_band_share_18_24,-2,315,-0.12534455687568058,0.12534455687568058
T3_early,106,112,V_strength,P_south_band_share_18_24,-1,315,-0.17691274724871983,0.17691274724871983
T3_early,106,112,V_strength,P_south_band_share_18_24,0,315,-0.24379179070590098,0.24379179070590098
T3_early,106,112,V_strength,P_south_band_share_18_24,1,315,-0.3179738464487377,0.3179738464487377
T3_early,106,112,V_strength,P_south_band_share_18_24,2,315,-0.3629556039283648,0.3629556039283648
T3_early,106,112,V_strength,P_south_band_share_18_24,3,315,-0.37403403704269567,0.37403403704269567
T3_early,106,112,V_strength,P_south_band_share_18_24,4,315,-0.3610601755237736,0.3610601755237736
T3_early,106,112,V_strength,P_south_band_share_18_24,5,315,-0.3206288989219406,0.3206288989219406
T3_early,106,112,V_strength,P_main_minus_south,-5,315,-0.043502080390310144,0.043502080390310144
