source_variable,target_variable,lag0_abs_r_T3_early,lag0_abs_r_T3_late,negative_peak_abs_r_T3_early,negative_peak_abs_r_T3_late,positive_peak_abs_r_T3_early,positive_peak_abs_r_T3_late,profile_type_T3_early,profile_type_T3_late,delta_positive_peak_abs_r_T3_late_minus_T3_early,delta_lag0_abs_r_T3_late_minus_T3_early,delta_negative_peak_abs_r_T3_late_minus_T3_early,profile_type_changed
V_NS_diff,P_main_band_share,0.2836930141112234,0.060855122012278814,0.2527811528189986,0.043262356789761244,0.2751285864172463,0.08396226315252858,flat_lag0_positive_close,weak_all_lags,-0.19116632326471772,-0.22283789209894456,-0.20951879602923734,True
V_NS_diff,P_main_minus_south,0.3817278722643313,0.06876939518132826,0.3195575954637242,0.13708953138504776,0.4049540448987143,0.19169314805870713,flat_lag0_positive_close,weak_all_lags,-0.21326089684000715,-0.31295847708300306,-0.18246806407867644,True
V_NS_diff,P_north_band_share_35_45,0.3446289490577296,0.25048681455755145,0.30616471073853013,0.16594098588998854,0.3672113397768976,0.3164469376474727,flat_lag0_positive_close,positive_peak_clear,-0.0507644021294249,-0.09414213450017817,-0.1402237248485416,True
V_NS_diff,P_north_minus_main_35_45,0.03958243092908313,0.08836105666962091,0.07092173799093705,0.062112228263019556,0.12341934671331664,0.12904904077114587,weak_all_lags,weak_all_lags,0.005629694057829232,0.048778625740537776,-0.008809509727917497,False
V_NS_diff,P_south_band_share_18_24,0.4401214581479309,0.05676600136141695,0.34762999867493677,0.21348245136028607,0.5090515293304958,0.286285799823797,positive_peak_clear,positive_peak_clear,-0.22276572950669882,-0.38335545678651395,-0.1341475473146507,False
V_NS_diff,P_spread_lat,0.38940757327176034,0.1776221462600241,0.3209187410958128,0.1759517498324876,0.45617997897225165,0.35834898684763994,positive_peak_clear,positive_peak_clear,-0.09783099212461172,-0.21178542701173625,-0.1449669912633252,False
V_NS_diff,P_total_centroid_lat_10_50,0.3514285698564367,0.27054483183916084,0.31837836083616305,0.18628448605352038,0.3584023704322144,0.3327610140288681,flat_lag0_positive_close,positive_peak_clear,-0.025641356403346305,-0.08088373801727589,-0.13209387478264267,True
V_pos_centroid_lat,P_main_band_share,0.16924276045433298,0.03338250363608582,0.3363463198413324,0.04326710749280102,0.160025359871459,0.2249657224437672,reverse_peak,positive_peak_clear,0.0649403625723082,-0.13586025681824715,-0.2930792123485314,True
V_pos_centroid_lat,P_main_minus_south,0.3147887566973048,0.16166008932524092,0.3766579960620761,0.1254049251592116,0.20957706591982736,0.17104734296056626,reverse_peak,weak_all_lags,-0.0385297229592611,-0.15312866737206385,-0.25125307090286453,True
V_pos_centroid_lat,P_north_band_share_35_45,0.3769820911841226,0.47383753538843787,0.3754962572177617,0.47277258886790213,0.3431915704196681,0.4361448620959003,lag0_peak,lag0_peak,0.09295329167623223,0.09685544420431524,0.09727633165014044,False
V_pos_centroid_lat,P_north_minus_main_35_45,0.07326624176007612,0.28409338074514917,0.11913762266358989,0.2752869074806873,0.22837492059669245,0.2746578409447062,positive_peak_clear,flat_lag0_positive_close,0.046282920348013734,0.21082713898507305,0.1561492848170974,True
V_pos_centroid_lat,P_south_band_share_18_24,0.45099642482058205,0.3602261175371134,0.43984288923168546,0.2761901984747238,0.3855268078481143,0.4012371664366993,lag0_peak,positive_peak_clear,0.01571035858858505,-0.09077030728346863,-0.16365269075696165,True
V_pos_centroid_lat,P_spread_lat,0.5536842953943307,0.5347217528019109,0.4710028759202951,0.46153721390511226,0.5364406507822275,0.5640945846943651,flat_lag0_positive_close,flat_lag0_positive_close,0.027653933912137663,-0.018962542592419807,-0.00946566201518284,False
V_pos_centroid_lat,P_total_centroid_lat_10_50,0.32880579855259096,0.2943232171324846,0.41941255386775217,0.3078666251676635,0.23289473607956787,0.24149425507821828,reverse_peak,reverse_peak,0.008599518998650413,-0.03448258142010635,-0.11154592870008867,False
V_strength,P_main_band_share,0.1452931863112429,0.0002909816956156127,0.09219454579490588,0.07974370359828502,0.22982178057417796,0.09589855156075394,positive_peak_clear,weak_all_lags,-0.13392322901342402,-0.1450022046156273,-0.012450842196620862,True
V_strength,P_main_minus_south,0.20399553621722596,0.07955850392826778,0.12525249868455948,0.17027212374237524,0.31220213195667784,0.1493249198978485,positive_peak_clear,weak_all_lags,-0.16287721205882935,-0.12443703228895818,0.04501962505781576,True
V_strength,P_north_band_share_35_45,0.20672283653792936,0.04644491138236358,0.1774553920161297,0.22210114542275117,0.28018918443786167,0.19752526985767985,positive_peak_clear,reverse_peak,-0.08266391458018182,-0.16027792515556577,0.04464575340662147,True
V_strength,P_north_minus_main_35_45,0.0028752770078508613,0.024263608625722292,0.14979121069433068,0.08474323962212611,0.06542252356283944,0.05121082465387459,weak_all_lags,weak_all_lags,-0.01421169890896485,0.02138833161787143,-0.06504797107220457,False
V_strength,P_south_band_share_18_24,0.24379179070590098,0.15578922460994613,0.17691274724871983,0.23956301504883348,0.37403403704269567,0.17020229259916195,positive_peak_clear,reverse_peak,-0.20383174444353372,-0.08800256609595486,0.06265026780011365,True
V_strength,P_spread_lat,0.20277981561598887,0.06742677880738415,0.192898746607005,0.22614891479002397,0.2936251915614678,0.1748920107283323,positive_peak_clear,reverse_peak,-0.11873318083313553,-0.13535303680860472,0.03325016818301896,True
V_strength,P_total_centroid_lat_10_50,0.17455455848978182,0.09830833268165313,0.11601573696100666,0.17805281483288127,0.2952771905843345,0.2797808144135396,positive_peak_clear,positive_peak_clear,-0.015496376170794912,-0.07624622580812869,0.06203707787187461,False
