year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,overlap_ratio_with_main_window,overlap_days_with_main_window
1986,Y1986_C03,112,119,117,8,W003,0.45454545454545453,5
1986,Y1986_C04,137,142,139,6,W004,0.0,0
1986,Y1986_C05,153,157,155,5,W005,0.18181818181818182,2
1987,Y1987_C01,46,46,46,1,W001,0.2,1
1987,Y1987_C02,88,92,89,5,W002,0.0,0
1987,Y1987_C03,128,132,130,5,W004,0.0,0
1987,Y1987_C04,151,157,154,7,W005,0.15384615384615385,2
1987,Y1987_C05,167,168,168,2,W005,0.0,0
1988,Y1988_C01,26,32,28,7,W001,0.0,0
1988,Y1988_C02,64,70,67,7,W002,0.0,0
1988,Y1988_C03,86,93,90,8,W002,0.0,0
1988,Y1988_C04,112,119,115,8,W003,0.45454545454545453,5
1988,Y1988_C05,131,140,137,10,W004,0.1,1
1988,Y1988_C06,159,161,159,3,W005,0.375,3
1989,Y1989_C01,36,36,36,1,W001,0.0,0
1989,Y1989_C02,61,65,63,5,W001,0.0,0
1989,Y1989_C03,74,78,76,5,W002,0.25,3
1989,Y1989_C04,112,118,115,7,W003,0.5,5
1989,Y1989_C05,127,130,129,4,W004,0.0,0
1989,Y1989_C06,155,159,157,5,W005,0.4444444444444444,4
1990,Y1990_C01,20,28,24,9,W001,0.0,0
1990,Y1990_C02,41,42,41,2,W001,0.0,0
1990,Y1990_C03,73,76,74,4,W002,0.07692307692307693,1
1990,Y1990_C04,86,93,89,8,W002,0.0,0
1990,Y1990_C05,112,116,114,5,W003,0.625,5
1990,Y1990_C06,126,137,134,12,W004,0.08333333333333333,1
1991,Y1991_C01,46,51,48,6,W001,0.2222222222222222,2
1991,Y1991_C02,86,89,88,4,W002,0.0,0
1991,Y1991_C03,99,106,103,8,W003,0.0,0
1991,Y1991_C04,119,122,120,4,W003,0.0,0
1991,Y1991_C05,131,134,132,4,W004,0.0,0
1991,Y1991_C06,147,151,149,5,W005,0.0,0
1992,Y1992_C01,17,19,18,3,W001,0.0,0
1992,Y1992_C02,44,51,48,8,W001,0.4444444444444444,4
1992,Y1992_C03,61,67,64,7,W002,0.0,0
1992,Y1992_C04,79,79,79,1,W002,0.1,1
1992,Y1992_C05,97,102,100,6,W003,0.0,0
1992,Y1992_C06,132,138,134,7,W004,0.14285714285714285,1
1992,Y1992_C07,155,160,157,6,W005,0.5555555555555556,5
1993,Y1993_C01,16,17,17,2,W001,0.0,0
