window_id,width,pen,legacy_match_flag,legacy_matched_window_id,legacy_matched_center_day,legacy_overlap_ratio,strict_match_flag,strict_matched_window_id,strict_matched_center_day,overlap_days,union_days,overlap_ratio,center_close_flag,match_decision_source
W002,16,4.0,True,RW02,80.0,0.9090909090909091,True,RW02,80,10,11,0.9090909090909091,True,strict_overlap
W003,16,4.0,True,RW04,113.0,1.0,True,RW04,113,8,8,1.0,True,strict_overlap
W004,16,4.0,True,RW05,135.0,1.0,True,RW05,135,1,1,1.0,True,strict_overlap
W005,16,4.0,True,RW06,160.0,0.8888888888888888,True,RW06,160,8,9,0.8888888888888888,True,strict_overlap
W001,16,8.0,True,RW01,45.0,0.8333333333333334,True,RW01,45,5,6,0.8333333333333334,True,strict_overlap
W002,16,8.0,True,RW02,80.0,0.9090909090909091,True,RW02,80,10,11,0.9090909090909091,True,strict_overlap
W003,16,8.0,True,RW04,113.0,1.0,True,RW04,113,8,8,1.0,True,strict_overlap
W004,16,8.0,True,RW05,135.0,1.0,True,RW05,135,1,1,1.0,True,strict_overlap
W005,16,8.0,True,RW06,160.0,0.8888888888888888,True,RW06,160,8,9,0.8888888888888888,True,strict_overlap
W001,20,1.0,True,RW01,45.0,1.0,True,RW01,45,5,5,1.0,True,strict_overlap
W002,20,1.0,True,RW02,81.0,1.0,True,RW02,81,10,10,1.0,True,strict_overlap
W003,20,1.0,True,RW03,113.0,1.0,True,RW03,113,8,8,1.0,True,strict_overlap
W004,20,1.0,True,RW04,135.0,1.0,True,RW04,135,1,1,1.0,True,strict_overlap
W005,20,1.0,True,RW05,160.0,1.0,True,RW05,160,8,8,1.0,True,strict_overlap
W001,20,2.0,True,RW01,45.0,1.0,True,RW01,45,5,5,1.0,True,strict_overlap
W002,20,2.0,True,RW02,81.0,1.0,True,RW02,81,10,10,1.0,True,strict_overlap
W003,20,2.0,True,RW03,113.0,1.0,True,RW03,113,8,8,1.0,True,strict_overlap
W004,20,2.0,True,RW04,135.0,1.0,True,RW04,135,1,1,1.0,True,strict_overlap
W005,20,2.0,True,RW05,160.0,1.0,True,RW05,160,8,8,1.0,True,strict_overlap
W001,20,4.0,True,RW01,45.0,1.0,True,RW01,45,5,5,1.0,True,strict_overlap
W002,20,4.0,True,RW02,81.0,1.0,True,RW02,81,10,10,1.0,True,strict_overlap
W003,20,4.0,True,RW03,113.0,1.0,True,RW03,113,8,8,1.0,True,strict_overlap
W004,20,4.0,True,RW04,135.0,1.0,True,RW04,135,1,1,1.0,True,strict_overlap
W005,20,4.0,True,RW05,160.0,1.0,True,RW05,160,8,8,1.0,True,strict_overlap
W001,20,8.0,True,RW01,45.0,1.0,True,RW01,45,5,5,1.0,True,strict_overlap
W002,20,8.0,True,RW02,81.0,1.0,True,RW02,81,10,10,1.0,True,strict_overlap
W003,20,8.0,True,RW03,113.0,1.0,True,RW03,113,8,8,1.0,True,strict_overlap
W004,20,8.0,True,RW04,135.0,1.0,True,RW04,135,1,1,1.0,True,strict_overlap
W005,20,8.0,True,RW05,160.0,1.0,True,RW05,160,8,8,1.0,True,strict_overlap
W001,24,1.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,24,1.0,True,RW02,81.0,0.7692307692307693,True,RW02,81,10,13,0.7692307692307693,True,strict_overlap
W003,24,1.0,True,RW03,113.0,0.875,True,RW03,113,7,8,0.875,True,strict_overlap
W004,24,1.0,True,RW04,134.0,0.0,False,RW04,134,0,2,0.0,True,center_close_but_not_match
W005,24,1.0,True,RW05,159.0,0.875,True,RW05,159,7,8,0.875,True,strict_overlap
W001,24,2.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,24,2.0,True,RW02,81.0,0.7692307692307693,True,RW02,81,10,13,0.7692307692307693,True,strict_overlap
W003,24,2.0,True,RW03,113.0,0.875,True,RW03,113,7,8,0.875,True,strict_overlap
W004,24,2.0,True,RW04,134.0,0.0,False,RW04,134,0,2,0.0,True,center_close_but_not_match
W005,24,2.0,True,RW05,159.0,0.875,True,RW05,159,7,8,0.875,True,strict_overlap
W001,24,4.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,24,4.0,True,RW02,81.0,0.7692307692307693,True,RW02,81,10,13,0.7692307692307693,True,strict_overlap
W003,24,4.0,True,RW03,113.0,0.875,True,RW03,113,7,8,0.875,True,strict_overlap
W004,24,4.0,True,RW04,134.0,0.0,False,RW04,134,0,2,0.0,True,center_close_but_not_match
W005,24,4.0,True,RW05,159.0,0.875,True,RW05,159,7,8,0.875,True,strict_overlap
W001,24,8.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,24,8.0,True,RW02,81.0,0.7692307692307693,True,RW02,81,10,13,0.7692307692307693,True,strict_overlap
W003,24,8.0,True,RW03,113.0,0.875,True,RW03,113,7,8,0.875,True,strict_overlap
W004,24,8.0,True,RW04,134.0,0.0,False,RW04,134,0,2,0.0,True,center_close_but_not_match
W005,24,8.0,True,RW05,159.0,0.875,True,RW05,159,7,8,0.875,True,strict_overlap
W001,28,1.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,28,1.0,True,RW02,80.0,0.7142857142857143,True,RW02,80,10,14,0.7142857142857143,True,strict_overlap
W003,28,1.0,True,RW03,111.0,0.6666666666666666,True,RW03,111,6,9,0.6666666666666666,True,strict_overlap
W004,28,1.0,False,,,0.0,False,RW03,111,0,28,0.0,False,best_nonmatch_candidate
W005,28,1.0,True,RW04,160.0,0.5,True,RW04,160,4,8,0.5,True,strict_overlap
W001,28,2.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,28,2.0,True,RW02,80.0,0.7142857142857143,True,RW02,80,10,14,0.7142857142857143,True,strict_overlap
W003,28,2.0,True,RW03,111.0,0.6666666666666666,True,RW03,111,6,9,0.6666666666666666,True,strict_overlap
W004,28,2.0,False,,,0.0,False,RW03,111,0,28,0.0,False,best_nonmatch_candidate
W005,28,2.0,True,RW04,160.0,0.5,True,RW04,160,4,8,0.5,True,strict_overlap
W001,28,4.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,28,4.0,True,RW02,80.0,0.7142857142857143,True,RW02,80,10,14,0.7142857142857143,True,strict_overlap
W003,28,4.0,True,RW03,111.0,0.6666666666666666,True,RW03,111,6,9,0.6666666666666666,True,strict_overlap
W004,28,4.0,False,,,0.0,False,RW03,111,0,28,0.0,False,best_nonmatch_candidate
W005,28,4.0,True,RW04,160.0,0.5,True,RW04,160,4,8,0.5,True,strict_overlap
W001,28,8.0,True,RW01,44.0,0.2,False,RW01,44,1,5,0.2,True,center_close_but_not_match
W002,28,8.0,True,RW02,80.0,0.7142857142857143,True,RW02,80,10,14,0.7142857142857143,True,strict_overlap
W003,28,8.0,True,RW03,111.0,0.6666666666666666,True,RW03,111,6,9,0.6666666666666666,True,strict_overlap
W004,28,8.0,False,,,0.0,False,RW03,111,0,28,0.0,False,best_nonmatch_candidate
W005,28,8.0,True,RW04,160.0,0.5,True,RW04,160,4,8,0.5,True,strict_overlap
