window_id,width,pen,legacy_match_flag,legacy_matched_window_id,legacy_matched_center_day,legacy_overlap_ratio,strict_match_flag,strict_matched_window_id,strict_matched_center_day,overlap_days,union_days,overlap_ratio,center_close_flag,match_decision_source
W001,12,1.0,True,RW02,45.0,0.8333333333333334,True,RW02,45,5,6,0.8333333333333334,True,strict_overlap
W002,12,1.0,True,RW03,83.0,0.8333333333333334,True,RW03,83,10,12,0.8333333333333334,True,strict_overlap
W003,12,1.0,True,RW05,113.0,0.875,True,RW05,113,7,8,0.875,True,strict_overlap
W004,12,1.0,False,,,0.0,False,RW06,127,0,9,0.0,False,best_nonmatch_candidate
W005,12,1.0,True,RW07,161.0,0.8,True,RW07,161,8,10,0.8,True,strict_overlap
W001,12,2.0,True,RW02,45.0,0.8333333333333334,True,RW02,45,5,6,0.8333333333333334,True,strict_overlap
W002,12,2.0,True,RW03,83.0,0.8333333333333334,True,RW03,83,10,12,0.8333333333333334,True,strict_overlap
W003,12,2.0,True,RW05,113.0,0.875,True,RW05,113,7,8,0.875,True,strict_overlap
W004,12,2.0,False,,,0.0,False,RW06,127,0,9,0.0,False,best_nonmatch_candidate
W005,12,2.0,True,RW07,161.0,0.8,True,RW07,161,8,10,0.8,True,strict_overlap
W001,12,4.0,True,RW02,45.0,0.8333333333333334,True,RW02,45,5,6,0.8333333333333334,True,strict_overlap
W002,12,4.0,True,RW03,83.0,0.8333333333333334,True,RW03,83,10,12,0.8333333333333334,True,strict_overlap
W003,12,4.0,True,RW05,113.0,0.875,True,RW05,113,7,8,0.875,True,strict_overlap
W004,12,4.0,False,,,0.0,False,RW06,127,0,9,0.0,False,best_nonmatch_candidate
W005,12,4.0,True,RW07,161.0,0.8,True,RW07,161,8,10,0.8,True,strict_overlap
W001,12,8.0,True,RW02,45.0,0.8333333333333334,True,RW02,45,5,6,0.8333333333333334,True,strict_overlap
W002,12,8.0,True,RW03,83.0,0.8333333333333334,True,RW03,83,10,12,0.8333333333333334,True,strict_overlap
W003,12,8.0,True,RW05,113.0,0.875,True,RW05,113,7,8,0.875,True,strict_overlap
W004,12,8.0,False,,,0.0,False,RW06,127,0,9,0.0,False,best_nonmatch_candidate
W005,12,8.0,True,RW07,161.0,0.8,True,RW07,161,8,10,0.8,True,strict_overlap
W001,16,1.0,True,RW01,45.0,0.8333333333333334,True,RW01,45,5,6,0.8333333333333334,True,strict_overlap
W002,16,1.0,True,RW02,80.0,0.9090909090909091,True,RW02,80,10,11,0.9090909090909091,True,strict_overlap
W003,16,1.0,True,RW04,113.0,1.0,True,RW04,113,8,8,1.0,True,strict_overlap
W004,16,1.0,True,RW05,135.0,1.0,True,RW05,135,1,1,1.0,True,strict_overlap
W005,16,1.0,True,RW06,160.0,0.8888888888888888,True,RW06,160,8,9,0.8888888888888888,True,strict_overlap
W001,16,2.0,True,RW01,45.0,0.8333333333333334,True,RW01,45,5,6,0.8333333333333334,True,strict_overlap
W002,16,2.0,True,RW02,80.0,0.9090909090909091,True,RW02,80,10,11,0.9090909090909091,True,strict_overlap
W003,16,2.0,True,RW04,113.0,1.0,True,RW04,113,8,8,1.0,True,strict_overlap
W004,16,2.0,True,RW05,135.0,1.0,True,RW05,135,1,1,1.0,True,strict_overlap
W005,16,2.0,True,RW06,160.0,0.8888888888888888,True,RW06,160,8,9,0.8888888888888888,True,strict_overlap
W001,16,4.0,True,RW01,45.0,0.8333333333333334,True,RW01,45,5,6,0.8333333333333334,True,strict_overlap
